"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.708999975E-3,7.838599548E0,-3.934717712E0,-4.932692413E0
1.173099992E-2,8.501570892E0,-4.341272278E0,-4.691244507E0
2.175299986E-2,8.646319885E0,-4.867128754E0,-4.430935822E0
3.177499981E-2,8.617579651E0,-5.049599304E0,-4.255201263E0
4.179699998E-2,8.353229370E0,-5.162464600E0,-4.257446594E0
5.181999994E-2,7.982600098E0,-5.272485809E0,-4.149071960E0
6.184199988E-2,7.806566162E0,-5.371130676E0,-3.896846466E0
7.186399982E-2,7.731272736E0,-5.429209900E0,-3.633544006E0
8.188600000E-2,7.524402924E0,-5.519921265E0,-3.628155212E0
9.190799994E-2,7.275620270E0,-5.583239594E0,-3.665727081E0
1.019299999E-1,7.082222443E0,-5.384602661E0,-3.675157471E0
1.119529998E-1,6.963070221E0,-5.225932617E0,-3.656895447E0
1.219749998E-1,6.886579285E0,-5.450465698E0,-3.616778870E0
1.319970000E-1,6.810836792E0,-5.735323334E0,-3.725153503E0
1.420189999E-1,6.724765778E0,-5.847440186E0,-3.836521912E0
1.520409998E-1,6.661746826E0,-5.761369171E0,-3.857628021E0
1.620629998E-1,6.649771729E0,-5.575755157E0,-3.935615845E0
1.720860000E-1,6.641688538E0,-5.426365814E0,-4.079017639E0
1.821079999E-1,6.665039978E0,-5.329367523E0,-4.319268036E0
1.921299999E-1,6.753955078E0,-5.347180481E0,-4.429289246E0
2.021519998E-1,6.923702087E0,-5.270539856E0,-4.514462128E0
2.121740000E-1,7.104526062E0,-5.015919342E0,-4.624782715E0
2.221959999E-1,7.170688477E0,-4.804259491E0,-4.727469177E0
2.322189999E-1,7.245532837E0,-4.737049255E0,-4.794529724E0
2.422409998E-1,7.336693268E0,-4.823868713E0,-4.791685638E0
2.522630000E-1,7.408843231E0,-4.856650543E0,-4.692292328E0
2.622849999E-1,7.408843231E0,-4.791835327E0,-4.630770264E0
2.723069999E-1,7.343578949E0,-4.770429840E0,-4.562961273E0
2.823289998E-1,7.363637238E0,-4.911137238E0,-4.555027771E0
2.923510000E-1,7.443121948E0,-5.131329346E0,-4.574187927E0
3.023740000E-1,7.663613434E0,-5.306914215E0,-4.539160767E0
3.123959999E-1,7.864495697E0,-5.397625580E0,-4.465663605E0
3.224179999E-1,7.901319122E0,-5.405110016E0,-4.331093445E0
3.324399998E-1,7.836204529E0,-5.500012665E0,-4.140689392E0
3.424620000E-1,7.634124756E0,-5.695805511E0,-3.951632538E0
3.524839999E-1,7.357949066E0,-5.624553680E0,-3.821103973E0
3.625069999E-1,7.066355438E0,-5.667963409E0,-4.045487366E0
3.725289998E-1,6.859785004E0,-5.191204834E0,-4.322261810E0
3.825510000E-1,6.727460175E0,-4.692292328E0,-4.342769165E0
3.925729999E-1,6.857839050E0,-4.418212280E0,-4.437522125E0
4.025949999E-1,7.045099640E0,-4.405937805E0,-4.513563995E0
4.126169998E-1,7.475604401E0,-4.411775665E0,-4.408632202E0
4.226400000E-1,7.873177643E0,-4.475393372E0,-4.228706360E0
4.326619999E-1,7.911348267E0,-4.682412872E0,-4.045487366E0
4.426839999E-1,7.555388489E0,-4.992867279E0,-4.026027832E0
4.527059998E-1,7.259304199E0,-5.203928375E0,-3.929029541E0
4.627279998E-1,7.051685944E0,-5.311704254E0,-3.901786194E0
4.727500000E-1,6.986421661E0,-5.284311218E0,-4.256847839E0
4.827719999E-1,6.904092865E0,-5.093458099E0,-4.575086060E0
4.927949999E-1,6.615642700E0,-4.893923035E0,-4.120930481E0
5.028169998E-1,6.523733826E0,-4.918022919E0,-4.108206940E0
5.128390000E-1,6.358776855E0,-5.193150787E0,-4.521198120E0
5.228609999E-1,6.310128021E0,-5.507796478E0,-4.847818909E0
5.328829999E-1,6.418502655E0,-5.813460846E0,-4.573888550E0
5.429059998E-1,6.280339966E0,-6.288722534E0,-3.748954010E0
5.529280000E-1,6.232589264E0,-6.900799713E0,-3.658542023E0
5.629499999E-1,6.615792389E0,-7.318580933E0,-3.854484558E0
5.729719999E-1,7.227570190E0,-7.494914246E0,-3.747756500E0
5.829939998E-1,8.220156097E0,-7.430548096E0,-4.359534302E0
5.930160000E-1,9.201515350E0,-7.243886261E0,-4.694537659E0
6.030379999E-1,9.637558594E0,-6.842870178E0,-4.515809326E0
6.130609999E-1,9.745035095E0,-6.303691406E0,-4.200864258E0
6.230829998E-1,9.536668396E0,-5.598807220E0,-2.922073517E0
6.331049998E-1,8.780890045E0,-4.725822601E0,-1.952090607E0
6.431270000E-1,7.846233673E0,-3.808829498E0,-1.843715973E0
6.531489999E-1,6.784192200E0,-3.018772430E0,-1.993704071E0
6.631709998E-1,5.647456055E0,-2.388732605E0,-2.165846100E0
6.731939998E-1,5.179080048E0,-2.150877228E0,-2.946472778E0
6.832160000E-1,5.576802979E0,-2.326013031E0,-3.442241821E0
6.932379999E-1,6.152505798E0,-2.978057098E0,-3.621568909E0
7.032599999E-1,6.976093140E0,-3.765719147E0,-3.755839691E0
7.132825833E-1,8.087082825E0,-4.328099670E0,-3.716471558E0
7.233045832E-1,8.974287872E0,-4.711901550E0,-4.191284180E0
7.333275832E-1,9.449100494E0,-4.894671478E0,-4.288581848E0
7.433495831E-1,9.380842438E0,-4.996459808E0,-4.501888275E0
7.533715833E-1,9.062604218E0,-5.074896698E0,-4.389172668E0
7.633935832E-1,8.806187439E0,-5.222938843E0,-4.347559204E0
7.734155832E-1,8.721313934E0,-5.295837250E0,-4.121678925E0
7.834375831E-1,8.825946350E0,-5.298681335E0,-3.643573151E0
7.934605833E-1,8.954379272E0,-5.240901489E0,-3.224893799E0
8.034825833E-1,8.767567749E0,-4.926106110E0,-2.945874023E0
8.135045832E-1,8.304131470E0,-4.564158783E0,-2.869832153E0
8.235265831E-1,7.669600983E0,-4.272714844E0,-2.869233398E0
8.335485833E-1,7.335795135E0,-4.054019623E0,-3.279979248E0
8.435705833E-1,7.508386230E0,-4.028572540E0,-3.601809998E0
8.535925832E-1,8.044571228E0,-4.213587799E0,-4.395010529E0
8.636155832E-1,8.419092407E0,-4.352199554E0,-4.304149475E0
8.736375833E-1,8.458909607E0,-4.446353760E0,-4.097279663E0
8.836595833E-1,8.314909058E0,-4.418062592E0,-3.928879852E0
8.936815832E-1,8.027955780E0,-4.232149200E0,-3.924987946E0
9.037035832E-1,7.699987793E0,-3.987557831E0,-4.061204681E0
9.137265831E-1,7.442822571E0,-3.813170471E0,-4.111051025E0
9.237485833E-1,7.329059143E0,-3.842958527E0,-3.954776001E0
9.337705832E-1,7.513026581E0,-4.006268921E0,-4.070186005E0
9.437925832E-1,7.932154999E0,-4.252207489E0,-4.411176910E0
9.538145831E-1,8.370742950E0,-4.631069641E0,-4.290228424E0
9.638365833E-1,8.658744049E0,-5.188660126E0,-3.953728180E0
9.738585833E-1,8.641978912E0,-5.637726288E0,-3.583098907E0
9.838815832E-1,8.507109375E0,-5.783972168E0,-3.219954071E0
9.939035831E-1,8.371042328E0,-5.811365204E0,-3.225492554E0
1.003925583E0,8.165220337E0,-5.719456329E0,-3.080444183E0
1.013947583E0,7.943980408E0,-5.601202240E0,-3.114573212E0
1.023969583E0,7.874674530E0,-5.430407410E0,-3.376378784E0
1.033991583E0,7.695197754E0,-5.278173981E0,-3.107986908E0
1.044014583E0,7.373067627E0,-5.314698029E0,-3.093018036E0
1.054036583E0,6.977440338E0,-5.301076355E0,-2.747536469E0
1.064058583E0,6.744225311E0,-5.109175415E0,-2.249222717E0
1.074080583E0,6.866820374E0,-4.948559418E0,-2.424508209E0
1.084102583E0,7.288194122E0,-4.889582062E0,-2.453098755E0
1.094124583E0,7.783514099E0,-4.884342957E0,-2.592309265E0
1.104147583E0,8.168214111E0,-4.801565094E0,-2.844235382E0
1.114169583E0,8.593479767E0,-4.469854889E0,-3.177741852E0
1.124191583E0,8.821156311E0,-4.099824371E0,-2.912493439E0
1.134213583E0,8.665629730E0,-4.177063751E0,-2.491568756E0
1.144235583E0,8.316256256E0,-4.575385437E0,-1.802850952E0
1.154257583E0,8.110134888E0,-5.328918457E0,-1.443598022E0
1.164279583E0,8.166567535E0,-6.082301788E0,-1.854643250E0
1.174302583E0,8.118068390E0,-6.242319031E0,-2.222428436E0
