"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.173099992E-2,1.250219491E0,7.267364001E-1,-5.791719729E-1
2.175299986E-2,1.385904130E0,2.565454173E-1,-2.873772007E-1
3.177499981E-2,1.351395033E0,1.040734220E-1,-1.336176485E-1
4.179699998E-2,1.061142756E0,-4.895873666E-3,-1.345505717E-1
5.181999994E-2,7.106746835E-1,-9.558618844E-2,-4.664908648E-3
6.184199988E-2,5.534243435E-1,-1.848825270E-1,2.465016550E-1
7.186399982E-2,4.805908406E-1,-2.290535635E-1,4.777724826E-1
8.188600000E-2,2.446200210E-1,-3.092978275E-1,4.339379534E-1
9.190799994E-2,1.307028115E-2,-3.402798843E-1,3.930217695E-1
1.019299999E-1,-1.776711559E-1,-1.012117946E-1,3.518228728E-1
1.119529998E-1,-2.924771422E-1,1.594828069E-2,3.759832755E-1
1.219749998E-1,-3.762028384E-1,-2.381073922E-1,3.903463760E-1
1.319970000E-1,-4.551022428E-1,-5.054151946E-1,2.549272004E-1
1.420189999E-1,-5.562456250E-1,-6.065153074E-1,1.637992215E-1
1.520409998E-1,-6.170473123E-1,-5.003737253E-1,1.283300114E-1
1.620629998E-1,-6.257456303E-1,-3.355056328E-1,4.884939373E-2
1.720860000E-1,-6.450046045E-1,-1.968096775E-1,-1.265284842E-1
1.821079999E-1,-6.244592428E-1,-1.147615474E-1,-3.546172571E-1
1.921299999E-1,-5.299805170E-1,-1.321751404E-1,-4.721515542E-1
2.021519998E-1,-3.580981046E-1,-1.900286615E-2,-5.857059440E-1
2.121740000E-1,-1.915904528E-1,2.538404953E-1,-7.321187621E-1
2.221959999E-1,-1.557832736E-1,4.538842678E-1,-8.689111564E-1
2.322189999E-1,-7.625120044E-2,5.147707397E-1,-9.557794386E-1
2.422409998E-1,-1.257151365E-2,4.261901003E-1,-9.895707902E-1
2.522630000E-1,3.205385149E-2,4.124339408E-1,-9.137344497E-1
2.622849999E-1,1.038582444E-2,4.724398220E-1,-9.002569100E-1
2.723069999E-1,-7.037942648E-2,4.810457540E-1,-8.589030620E-1
2.823289998E-1,-5.562105417E-2,3.045785397E-1,-8.786254281E-1
2.923510000E-1,2.775731742E-2,7.873275876E-2,-8.997639897E-1
3.023740000E-1,2.451158649E-1,-9.902435124E-2,-8.626774397E-1
3.123959999E-1,4.320291299E-1,-1.884113216E-1,-7.661787933E-1
3.224179999E-1,4.524651486E-1,-2.028258777E-1,-6.263660198E-1
3.324399998E-1,3.644756627E-1,-3.381725478E-1,-3.996320468E-1
3.424620000E-1,1.651066589E-1,-5.065834683E-1,-1.907136628E-1
