"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.054233336E-2,-4.611568898E-2,-2.828227878E-1,-8.213485032E-2
2.056433354E-2,-4.820154607E-2,-1.459345222E-1,-2.629734017E-2
3.058633348E-2,-4.536849260E-2,-1.619895361E-2,7.895149291E-3
4.060933343E-2,-4.484784231E-2,7.766149938E-2,3.321009502E-2
5.063133338E-2,-4.470562935E-2,1.218060479E-1,5.091585219E-2
6.065333332E-2,-4.807000235E-2,1.285829991E-1,5.833169445E-2
7.067533350E-2,-5.633895099E-2,1.043983772E-1,4.767573625E-2
8.069733344E-2,-7.012986392E-2,6.703422219E-2,3.518071026E-2
9.072033339E-2,-8.622470498E-2,7.945491932E-3,1.892617531E-2
1.007423333E-1,-1.217877641E-1,-8.348482102E-2,-4.809513688E-3
1.107643335E-1,-1.670946181E-1,-1.603382379E-1,-2.020936459E-2
1.207863335E-1,-2.004746795E-1,-1.711221784E-1,-4.459694494E-3
1.308093334E-1,-2.137055844E-1,-1.816681325E-1,4.645416141E-2
1.408313334E-1,-2.274168730E-1,-1.526705772E-1,1.112222373E-1
1.508533335E-1,-2.786536217E-1,-1.574159414E-2,1.707055569E-1
1.608753335E-1,-2.988789976E-1,1.630151123E-1,2.182278037E-1
1.708983334E-1,-3.244821727E-1,2.276824117E-1,2.397928238E-1
1.809203334E-1,-4.191293120E-1,2.786790133E-1,2.111755610E-1
1.909423335E-1,-5.404455066E-1,4.122939706E-1,1.312895417E-1
2.009643335E-1,-6.264954805E-1,5.222960711E-1,3.305804729E-2
2.109863334E-1,-4.913792610E-1,4.982852340E-1,-1.325530373E-2
2.210093334E-1,-2.427028865E-1,3.372747600E-1,-3.590388224E-5
2.310313333E-1,-2.886213362E-2,1.093998477E-1,5.016779155E-2
2.410533335E-1,-9.719964862E-2,-6.451682001E-2,8.662273735E-2
2.510753334E-1,-2.831295431E-1,4.474554956E-2,5.963915959E-2
2.610983334E-1,-3.226316869E-1,3.959914744E-1,1.057840511E-2
2.711203333E-1,-2.557058334E-1,7.848876715E-1,-6.453290582E-3
2.811423335E-1,-2.670266628E-1,1.200586081E0,-2.925714105E-2
2.911643335E-1,-3.303604126E-1,1.475953102E0,-2.724185213E-2
3.011873334E-1,-3.812933564E-1,1.500152469E0,4.974906892E-2
3.112093334E-1,-4.001001716E-1,1.355119467E0,1.047030985E-1
3.212313335E-1,-3.935596943E-1,1.174147844E0,9.813281894E-2
3.312533335E-1,-2.950292826E-1,8.539006114E-1,1.010386571E-1
3.412763334E-1,-1.964193434E-1,5.070321560E-1,1.677705497E-1
3.512983334E-1,-1.308192164E-1,2.589882016E-1,2.803440690E-1
3.613203333E-1,-9.553020447E-2,1.235997677E-1,3.774360120E-1
3.713423335E-1,-6.914652884E-2,4.962578788E-2,4.173411429E-1
3.813643334E-1,-7.612826675E-2,1.136201993E-2,3.821887672E-1
3.913873334E-1,-9.500169009E-2,-7.609689608E-3,3.003259897E-1
4.014093333E-1,-1.098794416E-1,-3.059596568E-2,2.079326957E-1
4.114313335E-1,-1.242884248E-1,-7.262507826E-2,1.260473430E-1
4.214533335E-1,-1.375128776E-1,-1.142047495E-1,5.937536061E-2
4.314763334E-1,-1.579779238E-1,-1.272531897E-1,-2.829959849E-3
4.414983334E-1,-1.566950828E-1,-9.427153319E-2,-6.446535885E-2
4.515203335E-1,-1.360422224E-1,-5.475519225E-2,-1.462151557E-1
4.615423335E-1,-1.106029004E-1,-5.989642441E-2,-2.358656824E-1
4.715653334E-1,-1.033179238E-1,-1.119082868E-1,-3.064329922E-1
4.815873334E-1,-1.005777940E-1,-1.613520086E-1,-3.484664559E-1
4.916093333E-1,-1.491330862E-1,-1.846784204E-1,-3.447690010E-1
5.016313335E-1,-2.468444556E-1,-1.914809346E-1,-2.570463419E-1
5.116533334E-1,-3.081262410E-1,-2.019944638E-1,-8.640273660E-2
5.216763334E-1,-3.097086847E-1,-1.617727429E-1,7.526072860E-2
5.316983333E-1,-2.937013209E-1,-2.789470181E-2,1.425784826E-1
5.417203335E-1,-2.803146839E-1,1.747939587E-1,1.183453277E-1
5.517423335E-1,-2.523733675E-1,3.664591014E-1,5.052789673E-2
5.617653334E-1,-2.505610883E-1,4.988597333E-1,-1.117221918E-2
5.717873333E-1,-2.357888669E-1,6.316959858E-1,-6.636162102E-2
5.818093335E-1,-1.960385293E-1,7.629003525E-1,-1.327129602E-1
5.918313335E-1,-1.816331595E-1,9.021703005E-1,-2.328442186E-1
6.018543334E-1,-2.345967889E-1,1.076929927E0,-3.584306240E-1
6.118763334E-1,-3.588199317E-1,1.258110285E0,-4.732771814E-1
6.218983335E-1,-5.050657988E-1,1.367422819E0,-5.476262569E-1
6.319203335E-1,-6.278055906E-1,1.386446118E0,-5.659444928E-1
6.419433334E-1,-7.086583376E-1,1.339325666E0,-5.474781394E-1
6.519647085E-1,-6.723582149E-1,1.200198174E0,-5.335811973E-1
6.619867084E-1,-5.587725043E-1,1.096937537E0,-5.365594029E-1
6.720087084E-1,-4.124010801E-1,9.701781869E-1,-5.392714739E-1
6.820307085E-1,-2.199570537E-1,6.875898838E-1,-5.675172210E-1
6.920537085E-1,-5.868459865E-2,4.171967804E-1,-6.186091304E-1
7.020757084E-1,7.136493921E-3,2.462372631E-1,-6.943385005E-1
7.120977084E-1,-3.079166263E-2,2.383686751E-1,-7.492358685E-1
7.221197085E-1,-8.478485793E-2,2.300417572E-1,-7.922531366E-1
7.321427085E-1,-8.746480197E-2,1.563164145E-1,-8.521867394E-1
7.421647084E-1,-4.601588845E-2,9.590740502E-2,-8.529910445E-1
7.521867084E-1,-1.723567396E-2,1.891440153E-1,-7.060669661E-1
7.622087083E-1,2.355623245E-2,3.586720526E-1,-4.301768541E-1
7.722317085E-1,5.889746174E-2,5.247612596E-1,-7.282739878E-2
7.822537085E-1,7.984694839E-2,7.408445477E-1,2.621218264E-1
7.922757084E-1,6.133751571E-2,1.039424181E0,4.911960661E-1
8.022977083E-1,6.016469561E-3,1.251971006E0,6.273696423E-1
8.123197085E-1,-9.150031954E-3,1.256670833E0,7.156925201E-1
8.223427085E-1,1.455636322E-2,1.080678463E0,7.604453564E-1
8.323647084E-1,4.081339389E-2,8.627324104E-1,7.628585100E-1
8.423867084E-1,1.302266419E-1,5.850701332E-1,7.356436849E-1
8.524087085E-1,2.003932744E-1,3.185129166E-1,7.231345773E-1
8.624317085E-1,1.991703510E-1,1.474394351E-1,7.598481178E-1
8.724537084E-1,1.573123187E-1,2.463400178E-2,8.201127648E-1
8.824757084E-1,1.440726817E-1,-1.406431049E-1,8.839633465E-1
8.924977083E-1,1.899865717E-1,-3.237590194E-1,9.768434763E-1
9.025207085E-1,2.250888944E-1,-4.309866726E-1,1.046140313E0
9.125427085E-1,2.410875112E-1,-4.060293138E-1,1.044361711E0
9.225647084E-1,2.689005136E-1,-3.295907080E-1,9.663047194E-1
9.325867083E-1,2.616073489E-1,-3.130934238E-1,8.980686069E-1
9.426097085E-1,2.587960958E-1,-4.175026417E-1,8.698119521E-1
9.526317085E-1,2.548538148E-1,-6.340228915E-1,8.915833831E-1
9.626537084E-1,2.789287865E-1,-8.216087222E-1,9.455677867E-1
9.726757084E-1,2.994383276E-1,-8.834375143E-1,9.669271111E-1
9.826977085E-1,2.879774272E-1,-8.080692887E-1,9.128330350E-1
9.927207085E-1,2.862348855E-1,-6.451442838E-1,8.277033567E-1
1.002742708E0,2.868090570E-1,-4.327342808E-1,7.952564359E-1
1.012764708E0,2.197258025E-1,-1.417773366E-1,8.626583815E-1
1.022786708E0,1.917748600E-1,1.385358125E-1,9.592347145E-1
1.032809709E0,1.329827607E-1,4.732328951E-1,9.369246364E-1
1.042831708E0,1.336048692E-1,7.235071659E-1,8.459731340E-1
1.052853708E0,1.079591811E-1,7.982739210E-1,7.728589773E-1
1.062875708E0,7.716771215E-2,7.249837518E-1,7.327395082E-1
1.072898709E0,1.113789827E-1,5.852233768E-1,7.354902029E-1
1.082920708E0,1.207144260E-1,4.878933430E-1,7.761292458E-1
1.092942708E0,1.341857463E-1,4.567964971E-1,8.309448957E-1
1.102964708E0,1.574947983E-1,5.370534658E-1,8.508437872E-1
1.112986709E0,1.716041863E-1,6.936876774E-1,8.246400952E-1
1.123009708E0,2.273872942E-1,8.341960311E-1,7.404759526E-1
1.133031708E0,3.055218458E-1,9.643531442E-1,6.327910423E-1
1.143053708E0,4.128935933E-1,9.756508470E-1,5.763679743E-1
1.153075709E0,3.572925627E-1,7.680690289E-1,5.834177136E-1
1.163098708E0,2.872202694E-1,3.248721659E-1,6.731215119E-1
1.173120708E0,3.307259381E-1,-1.991091818E-1,7.888549566E-1
1.183142708E0,3.903815448E-1,-7.817419767E-1,8.191620111E-1
1.193164708E0,4.540562332E-1,-1.335183263E0,7.619202137E-1
1.203187709E0,4.535667300E-1,-1.575957060E0,6.484972835E-1
