"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.302041510E-3,-1.586999817E0,4.855153656E0,7.779472504E0
1.232504169E-2,-1.840123444E0,4.707410889E0,7.812553711E0
2.234704164E-2,-1.743723907E0,4.734654236E0,7.941585388E0
3.236904158E-2,-7.464976501E-1,5.566324768E0,8.308173065E0
4.239204153E-2,-7.470964050E-1,5.509443054E0,8.609945526E0
5.241404148E-2,-2.448608093E0,3.787424011E0,8.205037537E0
6.243604166E-2,-3.231779480E0,2.925216980E0,7.740852814E0
7.245904161E-2,-2.732866974E0,4.087849274E0,7.758665771E0
8.248104155E-2,-2.455493774E0,4.977898407E0,8.137078857E0
9.250304149E-2,-2.461481323E0,4.696483612E0,8.204139404E0
1.025260417E-1,-2.378703461E0,4.072431335E0,8.028105469E0
1.125480416E-1,-1.855541382E0,3.996988220E0,7.914641418E0
1.225700416E-1,-1.580862579E0,4.182751923E0,7.962841187E0
1.325930415E-1,-1.794618073E0,4.120631104E0,8.066126404E0
1.426150417E-1,-2.057920532E0,4.089495850E0,8.086933136E0
1.526370416E-1,-2.103575592E0,4.269571381E0,8.125403137E0
1.626600416E-1,-2.023342438E0,4.487817535E0,8.328081665E0
1.726820415E-1,-2.082469482E0,4.541106720E0,8.369994507E0
1.827040415E-1,-2.187101898E0,4.463867340E0,8.314909058E0
1.927270417E-1,-2.255060577E0,4.560266876E0,8.406219177E0
2.027490416E-1,-2.095642090E0,4.680915985E0,8.659342804E0
2.127710416E-1,-2.067350922E0,4.723427582E0,8.796457672E0
2.227940415E-1,-1.820364532E0,4.736001434E0,8.910071411E0
2.328160417E-1,-1.386566620E0,4.648433533E0,9.010811920E0
2.428380416E-1,-1.181343384E0,4.639901276E0,9.092841339E0
2.528610416E-1,-1.280886383E0,4.744084625E0,9.069190521E0
2.628830415E-1,-1.587149506E0,4.712949371E0,9.116043091E0
2.729050417E-1,-1.980531464E0,4.520150299E0,9.082213440E0
2.829280416E-1,-2.427951050E0,4.320764923E0,9.017248535E0
2.929500416E-1,-3.048560486E0,4.005819855E0,8.967102814E0
3.029730415E-1,-3.421734467E0,3.698059845E0,8.766220551E0
3.129950415E-1,-3.518134003E0,3.508104858E0,8.594228210E0
3.230170417E-1,-3.666924591E0,3.392844543E0,8.531508636E0
3.330400416E-1,-3.822900238E0,3.344046021E0,8.446934509E0
3.430620416E-1,-3.865561523E0,3.391048279E0,8.584648132E0
3.530840415E-1,-3.924987946E0,3.477418671E0,8.716074829E0
3.631070417E-1,-3.906426544E0,3.329077148E0,8.552764435E0
3.731290416E-1,-4.096680908E0,2.915636902E0,8.409063263E0
3.831510416E-1,-4.051325226E0,2.685864716E0,8.286318512E0
3.931740415E-1,-3.572321320E0,3.002156982E0,8.089178467E0
4.031960417E-1,-2.868784332E0,3.641028442E0,7.124284973E0
4.132180416E-1,-3.148851929E0,4.743036804E0,5.727689209E0
4.232410416E-1,-3.634442139E0,5.599855042E0,5.144651642E0
4.332630415E-1,-2.107467499E0,6.187383270E0,2.895728302E0
4.432850415E-1,-3.278182983E-1,7.905360718E0,8.981323242E-3
4.533080417E-1,2.413431244E0,9.145681458E0,-1.249751129E0
4.633300416E-1,8.115224304E0,8.624016266E0,-1.544338531E0
4.733520416E-1,1.628478561E1,6.793622589E0,-2.568658447E-1
4.833750415E-1,2.369871826E1,4.874164124E0,2.537074127E0
4.933970417E-1,2.615211639E1,3.471580811E0,6.523135071E0
5.034190416E-1,2.127870071E1,2.273621979E0,9.443262634E0
5.134420416E-1,1.360251343E1,1.893113251E0,1.022538620E1
5.234640415E-1,9.064849548E0,2.231260071E0,9.517508240E0
5.334860417E-1,6.334976349E0,2.324516144E0,8.355175323E0
5.435090417E-1,4.919070740E0,2.291434937E0,7.566764832E0
5.535310416E-1,4.413871307E0,2.359543304E0,7.163204041E0
5.635530415E-1,4.206552429E0,2.572250977E0,6.872957611E0
5.735760415E-1,3.960613861E0,2.949765930E0,6.596033478E0
5.835980417E-1,3.531156921E0,3.392694855E0,6.403384094E0
5.936200416E-1,3.106639709E0,3.712280273E0,6.260131989E0
6.036430416E-1,2.924169159E0,3.793860626E0,6.005810852E0
6.136650415E-1,3.231180725E0,3.734583893E0,5.676944733E0
6.236870417E-1,3.914958801E0,3.517535248E0,5.288801880E0
6.337100416E-1,4.556674347E0,3.228037262E0,4.800068207E0
6.437320416E-1,4.949756927E0,2.988984375E0,4.162993011E0
6.537550415E-1,5.292244720E0,2.774929504E0,3.545826416E0
6.637770415E-1,5.734574890E0,2.602039032E0,3.121458893E0
6.737990417E-1,6.363866272E0,2.497705994E0,2.852767639E0
6.838220416E-1,7.304210815E0,2.540816345E0,2.539319458E0
6.938440416E-1,8.396339722E0,2.733016663E0,2.067799988E0
7.038660415E-1,9.631421356E0,2.821931763E0,1.385818176E0
7.138890417E-1,1.103295685E1,2.632575531E0,7.448510742E-1
7.239110416E-1,1.298504745E1,2.321372681E0,2.769241333E-1
7.339330416E-1,1.487711288E1,1.991309052E0,-1.103205872E-1
7.439560415E-1,1.614123413E1,1.685944061E0,-3.643423462E-1
7.539780417E-1,1.669747742E1,1.424437866E0,-5.822891235E-1
7.640000416E-1,1.649075729E1,1.131946106E0,-6.900650024E-1
7.740230416E-1,1.548005905E1,7.438032532E-1,-3.224295044E-1
7.840450415E-1,1.383602783E1,4.351451111E-1,3.299139404E-1
7.940670415E-1,1.260992752E1,4.076023865E-1,7.065307617E-1
8.040900417E-1,1.173245224E1,6.409671021E-1,7.803273010E-1
8.141114998E-1,1.123698257E1,1.132395172E0,8.734336853E-1
8.241335000E-1,1.103714813E1,1.665736084E0,1.280287628E0
8.341564999E-1,1.072759186E1,2.044747925E0,1.690434723E0
8.441784999E-1,1.015473312E1,2.221679993E0,1.669178925E0
8.542004998E-1,9.751172333E0,2.296823730E0,1.365460510E0
8.642235000E-1,9.725725250E0,2.095043335E0,1.086889801E0
8.742455000E-1,9.712402954E0,1.536854095E0,9.831555176E-1
8.842674999E-1,9.683962097E0,8.957373047E-1,1.012943573E0
8.942904999E-1,9.440717926E0,5.926176453E-1,5.218148804E-1
9.043125000E-1,8.612639923E0,7.180567932E-1,-2.848576355E-1
9.143345000E-1,7.449109497E0,1.162183228E0,-9.711804199E-1
9.243574999E-1,6.096971283E0,1.838776245E0,-1.312919769E0
9.343794999E-1,4.563410339E0,2.568359070E0,-6.619235229E-1
9.444014998E-1,3.033292236E0,3.062182159E0,8.818162537E-1
9.544245000E-1,2.026785278E0,3.163820801E0,2.594554596E0
9.644464999E-1,2.054477692E0,2.951113129E0,3.618724823E0
9.744684999E-1,3.124153290E0,2.609822845E0,3.438050537E0
9.844914998E-1,4.995861053E0,2.349963226E0,2.498903503E0
9.945135000E-1,7.482041016E0,2.258054352E0,1.941462708E0
1.004536500E0,1.011491592E1,2.195334778E0,1.389111328E0
1.014558500E0,1.219379288E1,2.077529755E0,8.708889771E-1
