"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.232504169E-2,-1.688174482E-1,5.881217211E-2,-7.144209945E-1
2.234704164E-2,-3.528367800E-1,-1.288977760E-1,-5.438501126E-1
3.236904158E-2,2.556405607E-1,3.590228418E-1,-3.706614321E-1
4.239204153E-2,1.168981347E0,1.063863466E0,9.798237741E-2
5.241404148E-2,1.499819586E-1,3.545166850E-3,3.856121778E-2
6.243604166E-2,-1.409143012E0,-1.614436707E0,-5.163243449E-1
7.245904161E-2,-1.320085971E0,-1.334624341E0,-7.621600020E-1
8.248104155E-2,-8.763064224E-1,1.560475677E-2,-5.163892490E-1
9.250304149E-2,-8.098279658E-1,2.789469776E-1,-2.469735253E-1
1.025260417E-1,-8.725715134E-1,-3.044604260E-1,-3.775933063E-1
1.125480416E-1,-5.803867319E-1,-6.929383242E-1,-5.434437311E-1
1.225700416E-1,-9.717590019E-2,-5.291724318E-1,-5.818084824E-1
1.325930415E-1,-1.418068202E-1,-4.433487546E-1,-5.053736794E-1
1.426150417E-1,-4.408471696E-1,-5.492906544E-1,-4.292253900E-1
1.526370416E-1,-6.384966534E-1,-4.655819151E-1,-4.437808639E-1
1.626600416E-1,-5.773863794E-1,-2.332732067E-1,-3.129575998E-1
1.726820415E-1,-6.033901168E-1,-6.888838649E-2,-1.581683528E-1
1.827040415E-1,-7.220400627E-1,-1.261747277E-1,-2.135151726E-1
1.927270417E-1,-8.879628468E-1,-1.311083159E-1,-2.098507226E-1
2.027490416E-1,-8.857720412E-1,2.666710407E-2,-2.280414104E-2
2.127710416E-1,-8.337626660E-1,9.236320317E-2,1.696528691E-1
2.227940415E-1,-8.126567025E-1,1.272535390E-1,2.776176131E-1
2.328160417E-1,-4.890550507E-1,8.828330845E-2,3.697709012E-1
2.428380416E-1,-1.817942470E-1,6.675473750E-3,4.653114814E-1
2.528610416E-1,-2.262691194E-1,9.334582776E-2,4.788805300E-1
2.628830415E-1,-4.406862981E-1,1.770495969E-1,4.772608513E-1
2.729050417E-1,-8.910696186E-1,3.565895230E-2,4.840021062E-1
2.829280416E-1,-1.336595584E0,-1.611337683E-1,4.112194741E-1
2.929500416E-1,-1.976074131E0,-3.909474698E-1,3.498991388E-1
3.029730415E-1,-2.633067867E0,-7.302418059E-1,2.294675463E-1
3.129950415E-1,-2.961530528E0,-9.586477903E-1,-2.360053182E-2
3.230170417E-1,-3.227993408E0,-1.108544964E0,-1.159397614E-1
3.330400416E-1,-3.606024963E0,-1.160078522E0,-2.279080939E-1
3.430620416E-1,-3.940050081E0,-1.159418079E0,-2.317520535E-1
3.530840415E-1,-4.243543085E0,-1.047296550E0,-2.564530313E-2
3.631070417E-1,-4.582007409E0,-1.013063149E0,-6.569697618E-2
3.731290416E-1,-4.970615115E0,-1.298775939E0,-2.003606915E-1
3.831510416E-1,-5.575656924E0,-1.680957556E0,-3.101895279E-1
3.931740415E-1,-5.680084687E0,-1.589752101E0,-3.258273214E-1
4.031960417E-1,-5.544778948E0,-1.112711398E0,-7.370286691E-1
4.132180416E-1,-5.772861874E0,-1.792320701E-1,-1.949554085E0
4.232410416E-1,-7.107673033E0,9.552795017E-1,-2.621810807E0
4.332630415E-1,-7.297630359E0,1.417213631E0,-3.349317870E0
4.432850415E-1,-6.131116099E0,2.709720771E0,-6.045678923E0
4.533080417E-1,-4.880245228E0,4.550992315E0,-7.646006298E0
4.633300416E-1,-1.434786268E0,5.161256565E0,-7.953312564E0
4.733520416E-1,5.201154456E0,4.080764787E0,-7.098976470E0
4.833750415E-1,1.318759734E1,2.198203714E0,-4.709960859E0
4.933970417E-1,1.831872087E1,6.798721361E-1,-8.803410012E-1
5.034190416E-1,1.706494452E1,-6.242066431E-1,2.998354538E0
5.134420416E-1,9.654809049E0,-1.553005567E0,4.878409202E0
5.234640415E-1,3.493657558E0,-1.431677889E0,4.673848456E0
5.334860417E-1,1.742365015E-1,-1.178679685E0,3.473591668E0
5.435090417E-1,-1.778875029E0,-1.153744526E0,2.270207205E0
5.535310416E-1,-2.552931191E0,-1.133094499E0,1.556176804E0
5.635530415E-1,-2.763657242E0,-9.577432260E-1,1.109868774E0
5.735760415E-1,-2.902017567E0,-6.271287891E-1,7.398341632E-1
5.835980417E-1,-3.227881141E0,-1.615071130E-1,4.489211512E-1
5.936200416E-1,-3.698034117E0,2.923590285E-1,2.954878736E-1
6.036430416E-1,-4.080066630E0,5.124777541E-1,1.505389059E-1
6.136650415E-1,-4.143835779E0,5.698053181E-1,-5.304594040E-2
6.236870417E-1,-3.722200075E0,4.877957797E-1,-2.822813523E-1
6.337100416E-1,-3.177044864E0,2.594775036E-1,-5.056414819E-1
6.437320416E-1,-2.861767089E0,4.364215583E-2,-8.630197942E-1
6.537550415E-1,-2.739856735E0,-1.225646567E-1,-1.225660601E0
6.637770415E-1,-2.597532583E0,-2.465595424E-1,-1.394225888E0
6.737990417E-1,-2.314001681E0,-3.410026002E-1,-1.331869426E0
6.838220416E-1,-1.781902133E0,-3.047253048E-1,-1.149007697E0
6.938440416E-1,-9.566834182E-1,-7.067441851E-2,-1.054478685E0
7.038660415E-1,2.489627481E-2,1.829661021E-1,-1.200872499E0
7.138890417E-1,1.135578396E0,2.479000166E-1,-1.458503745E0
7.239110416E-1,2.698043296E0,7.811675459E-2,-1.625675640E0
7.339330416E-1,4.604613329E0,-1.277563995E-1,-1.725852039E0
7.439560415E-1,6.156676617E0,-3.355749223E-1,-1.763040769E0
7.539780417E-1,7.020699794E0,-5.364675643E-1,-1.780491199E0
7.640000416E-1,7.135951338E0,-7.021054427E-1,-1.779621134E0
7.740230416E-1,6.544257553E0,-9.761303803E-1,-1.557505292E0
7.840450415E-1,5.048296545E0,-1.283090930E0,-8.365629707E-1
7.940670415E-1,3.532069672E0,-1.368131957E0,-2.147759054E-1
8.040900417E-1,2.495817343E0,-1.155782427E0,8.179728448E-2
8.141114998E-1,1.758869365E0,-6.807408862E-1,1.245953947E-1
8.241335000E-1,1.439408492E0,-1.491463915E-2,4.065797085E-1
8.341564999E-1,1.217418950E0,5.412961949E-1,8.743283093E-1
8.441784999E-1,7.524167866E-1,8.827918616E-1,1.067834237E0
8.542004998E-1,1.971651882E-1,1.064947174E0,7.881398389E-1
8.642235000E-1,1.109976947E-2,1.036615879E0,3.592961260E-1
