"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
9.661333403E-3,8.581347964E0,-2.450172077E0,-4.073477695E0
1.968433335E-2,8.589774971E0,-2.444854327E0,-4.058890061E0
2.970633341E-2,8.599664952E0,-2.439790200E0,-4.040953727E0
3.972833336E-2,8.609498799E0,-2.434808518E0,-4.022976463E0
4.975033342E-2,8.618422819E0,-2.429695567E0,-4.006929364E0
5.977233336E-2,8.626053436E0,-2.424877461E0,-3.993400953E0
6.979433342E-2,8.631746870E0,-2.421030285E0,-3.983418879E0
7.981733338E-2,8.635103756E0,-2.419101435E0,-3.977315556E0
8.983933332E-2,8.635789050E0,-2.419279629E0,-3.975722189E0
9.986133338E-2,8.634376363E0,-2.419902065E0,-3.978406938E0
1.098833333E-1,8.631759734E0,-2.419969454E0,-3.984041900E0
1.199053334E-1,8.628607500E0,-2.419532083E0,-3.991125802E0
1.299273333E-1,8.625280434E0,-2.418686575E0,-3.998823369E0
1.399503334E-1,8.621979096E0,-2.417254738E0,-4.006804526E0
1.499723333E-1,8.618779500E0,-2.415158073E0,-4.014940926E0
1.599943334E-1,8.615468806E0,-2.412728409E0,-4.023499788E0
1.700163333E-1,8.612250499E0,-2.410183554E0,-4.031903699E0
1.800383334E-1,8.609998151E0,-2.407104264E0,-4.038549644E0
1.900603333E-1,8.609420446E0,-2.403650022E0,-4.041838996E0
2.000833334E-1,8.610616786E0,-2.400671596E0,-4.041055761E0
2.101053334E-1,8.613326386E0,-2.398528007E0,-4.036556621E0
2.201273334E-1,8.617207183E0,-2.396372431E0,-4.029545517E0
2.301493334E-1,8.622432255E0,-2.393684320E0,-4.019957545E0
2.401713334E-1,8.629029084E0,-2.390319247E0,-4.007784519E0
2.501933334E-1,8.636545680E0,-2.386335100E0,-3.993944160E0
2.602163333E-1,8.644396151E0,-2.382028626E0,-3.979503584E0
2.702383334E-1,8.651705171E0,-2.377989808E0,-3.966014349E0
2.802603333E-1,8.657172318E0,-2.375029655E0,-3.955841071E0
2.902823334E-1,8.659307136E0,-2.373511426E0,-3.952080727E0
3.003043333E-1,8.656700447E0,-2.373364222E0,-3.957879118E0
3.103273334E-1,8.649026561E0,-2.376182141E0,-3.972938622E0
3.203493333E-1,8.637434456E0,-2.381403851E0,-3.994965376E0
3.303713334E-1,8.623984691E0,-2.385740877E0,-4.021343335E0
3.403933333E-1,8.612510700E0,-2.388190568E0,-4.044420541E0
3.504153334E-1,8.604470193E0,-2.390622571E0,-4.060061258E0
3.604373334E-1,8.599781311E0,-2.394047285E0,-4.067974588E0
3.704603334E-1,8.598806580E0,-2.397831603E0,-4.067802387E0
3.804823334E-1,8.601046064E0,-2.401057805E0,-4.061156442E0
3.905043334E-1,8.604783604E0,-2.403260889E0,-4.051929536E0
4.005263334E-1,8.607945194E0,-2.405020463E0,-4.044162387E0
4.105483334E-1,8.609158491E0,-2.406867744E0,-4.040476887E0
4.205703334E-1,8.607844622E0,-2.408753910E0,-4.042155038E0
4.305933333E-1,8.604190112E0,-2.410696940E0,-4.048774378E0
4.406153334E-1,8.599087831E0,-2.412629591E0,-4.058449766E0
4.506373333E-1,8.593831185E0,-2.414403782E0,-4.068510777E0
4.606593334E-1,8.589504245E0,-2.415851553E0,-4.076786342E0
4.706813333E-1,8.586523919E0,-2.416891772E0,-4.082446739E0
4.807033334E-1,8.584885529E0,-2.417874835E0,-4.085310413E0
4.907263333E-1,8.584602524E0,-2.418974258E0,-4.085248432E0
5.007483334E-1,8.585677242E0,-2.419538368E0,-4.082654023E0
5.107703333E-1,8.587590451E0,-2.419516149E0,-4.078645464E0
5.207923334E-1,8.589560963E0,-2.418893128E0,-4.074856761E0
5.308143334E-1,8.591163100E0,-2.417104026E0,-4.072542433E0
5.408363334E-1,8.592122628E0,-2.414353935E0,-4.072153300E0
5.508593334E-1,8.592185193E0,-2.410972051E0,-4.074019732E0
5.608813334E-1,8.591400497E0,-2.406507556E0,-4.078312757E0
5.709033334E-1,8.589295499E0,-2.400466651E0,-4.086301516E0
5.809253334E-1,8.584798406E0,-2.392683130E0,-4.100293026E0
5.909473334E-1,8.577965350E0,-2.382767860E0,-4.120317108E0
6.009703333E-1,8.569769892E0,-2.370324547E0,-4.144474295E0
6.109923334E-1,8.560340672E0,-2.355287555E0,-4.172447374E0
6.210143333E-1,8.549547881E0,-2.337426942E0,-4.204496841E0
6.310363334E-1,8.539825131E0,-2.315608642E0,-4.236210969E0
6.410583333E-1,8.534488962E0,-2.287912428E0,-4.261933455E0
6.510803334E-1,8.534782493E0,-2.252650501E0,-4.280091983E0
6.611033333E-1,8.539655562E0,-2.209399670E0,-4.292897093E0
6.711253334E-1,8.546031951E0,-2.160098287E0,-4.305280619E0
6.811473334E-1,8.548145719E0,-2.108417379E0,-4.326643714E0
6.911693334E-1,8.541307985E0,-2.058352641E0,-4.364102731E0
