"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.019582316E-4,8.220605164E0,2.241438904E0,3.276087341E0
1.022395829E-2,9.021140442E0,1.846260681E0,3.110232239E0
2.024595824E-2,9.440568237E0,1.474433899E0,3.224893799E0
3.026795830E-2,9.516011353E0,1.528172150E0,3.258723450E0
4.029095825E-2,9.363328857E0,1.718276825E0,3.375929718E0
5.031295831E-2,9.062903595E0,1.899849243E0,3.426225128E0
6.033495825E-2,8.891809387E0,2.016756134E0,3.401676178E0
7.035695831E-2,8.948242035E0,2.093546448E0,3.384761353E0
8.037895826E-2,9.329499207E0,2.173180847E0,3.458108826E0
9.040095832E-2,9.452243958E0,2.018702087E0,3.544628906E0
1.004229583E-1,9.259594574E0,1.869462433E0,3.455414429E0
1.104449583E-1,8.975485382E0,1.864672394E0,3.338058472E0
1.204679583E-1,8.824449463E0,1.872605896E0,3.344644775E0
1.304899583E-1,8.808732147E0,1.817670135E0,3.347937927E0
1.405119583E-1,8.754993896E0,1.767524414E0,3.263214111E0
1.505339583E-1,8.697363739E0,1.885628815E0,3.316353607E0
1.605559583E-1,8.811276855E0,2.085612946E0,3.482358398E0
1.705779583E-1,8.926986237E0,2.141147461E0,3.565585327E0
1.805999583E-1,9.011560364E0,2.148631897E0,3.480562134E0
1.906229582E-1,9.096284180E0,2.218985596E0,3.453618164E0
2.006449583E-1,8.979077911E0,2.259251862E0,3.475472717E0
2.106669582E-1,8.907227325E0,2.228415985E0,3.590882721E0
2.206889583E-1,8.936865692E0,2.143991547E0,3.546425171E0
2.307109582E-1,9.174721069E0,2.147733765E0,3.425027618E0
2.407329583E-1,9.081315308E0,1.991458740E0,3.611240387E0
2.507549583E-1,8.649313660E0,1.751807098E0,3.704945526E0
2.607769583E-1,8.422834625E0,1.911225586E0,3.180436249E0
2.707999583E-1,7.352560272E0,1.917662201E0,3.189567261E0
2.808219583E-1,6.075865173E0,1.437460785E0,3.318299561E0
2.908439583E-1,6.901997223E0,6.219566345E-1,3.445534973E0
3.008659583E-1,8.566685486E0,1.905537415E-1,2.931503906E0
3.108879583E-1,9.854008484E0,5.313949585E-2,2.179767151E0
3.209099583E-1,1.072878937E1,3.347039795E-1,1.941163330E0
3.309319583E-1,1.112456635E1,5.243595886E-1,2.408341827E0
3.409539583E-1,1.132754425E1,4.574487305E-1,2.790197754E0
3.509769583E-1,1.160072617E1,5.457650757E-1,2.551144867E0
3.609989582E-1,1.182361267E1,9.550140381E-1,1.817520447E0
3.710209583E-1,1.171463928E1,1.664388885E0,9.660910034E-1
3.810429582E-1,1.108744354E1,2.441872101E0,2.736309814E-1
3.910649583E-1,1.006836273E1,3.068169708E0,-3.394940186E-1
4.010869582E-1,8.940458221E0,3.732637939E0,-6.084846497E-1
4.111089583E-1,8.070167999E0,4.264931030E0,-2.016307068E-1
4.211319583E-1,7.694598999E0,4.622687073E0,4.001179504E-1
4.311539583E-1,8.018076324E0,4.698878632E0,6.671626282E-1
4.411759583E-1,8.864566040E0,4.420457611E0,6.459068298E-1
4.511979583E-1,9.565408630E0,3.797453156E0,6.101312256E-1
4.612199583E-1,9.741143188E0,3.085683289E0,5.379812622E-1
4.712419583E-1,9.585317230E0,2.573298798E0,5.562432861E-1
4.812639583E-1,9.297316132E0,2.233206024E0,1.044827271E0
4.912869583E-1,9.141789551E0,2.073039093E0,1.713636475E0
5.013089583E-1,9.443262634E0,2.131866760E0,2.153571625E0
5.113309583E-1,1.002390518E1,2.316882019E0,2.150577850E0
5.213529583E-1,1.054212753E1,2.483635254E0,1.814526672E0
5.313750833E-1,1.084300186E1,2.563419342E0,1.185983734E0
5.413970833E-1,1.095826218E1,2.753673706E0,6.318360901E-1
5.514190833E-1,1.091125992E1,3.108136597E0,4.123924255E-1
5.614410833E-1,1.089209976E1,3.470982056E0,6.288423157E-1
5.714640833E-1,1.095871124E1,3.683240662E0,1.081201630E0
5.814860833E-1,1.095886093E1,3.498973846E0,1.269360352E0
5.915080833E-1,1.075378738E1,3.052452393E0,1.058448944E0
6.015300833E-1,1.034184402E1,2.672542419E0,7.491920471E-1
6.115520833E-1,9.686207428E0,2.517614594E0,5.971083069E-1
6.215740832E-1,8.926387482E0,2.495161285E0,8.666976929E-1
6.315960833E-1,8.369545441E0,2.529739380E0,1.428479462E0
6.416190832E-1,8.078400879E0,2.594554596E0,1.863474884E0
6.516410833E-1,7.993677063E0,2.646496582E0,1.996248779E0
6.616630832E-1,8.100854187E0,2.633773041E0,1.812880096E0
6.716850833E-1,8.102201385E0,2.550845490E0,1.278940430E0
6.817070832E-1,8.084987183E0,2.525847473E0,7.734416199E-1
6.917290833E-1,8.148604889E0,2.567011871E0,4.408332825E-1
7.017510833E-1,8.263266449E0,2.680326233E0,2.821632385E-1
7.117730833E-1,8.476123810E0,2.744692383E0,3.516188049E-1
7.217960833E-1,8.710536346E0,2.731819153E0,4.191284180E-1
7.318180833E-1,9.012907562E0,2.592908020E0,2.842588806E-1
7.418400833E-1,9.515412598E0,2.468965759E0,1.393601990E-1
7.518620833E-1,1.000489471E1,2.403851166E0,1.149609375E-1
7.618840833E-1,1.020428009E1,2.378254395E0,1.862127686E-1
7.719060833E-1,1.008273285E1,2.500550079E0,1.869612122E-1
7.819280833E-1,9.752818909E0,2.788251801E0,1.698966980E-1
7.919510832E-1,9.332642670E0,3.127596130E0,3.242257690E-1
8.019730833E-1,8.965306549E0,3.394790497E0,6.447093201E-1
8.119950832E-1,8.726702728E0,3.498674469E0,9.610015869E-1
8.220170833E-1,8.621471558E0,3.335064697E0,1.138831787E0
8.320390832E-1,8.639883270E0,2.969524841E0,1.163380737E0
8.420610833E-1,8.755892029E0,2.585273895E0,1.149908752E0
8.520830832E-1,8.932225342E0,2.348466339E0,9.979747009E-1
8.621060833E-1,9.161249084E0,2.231559448E0,7.970924377E-1
8.721280833E-1,9.471104736E0,2.149530029E0,8.132588196E-1
8.821500833E-1,9.820777588E0,1.997595978E0,8.801696777E-1
8.921720833E-1,1.024469604E1,1.855092316E0,7.943980408E-1
9.021940833E-1,1.069136719E1,1.752705231E0,5.879772949E-1
9.122160833E-1,1.095107712E1,1.708397369E0,4.227209473E-1
9.222380833E-1,1.080273560E1,1.791474609E0,2.330653381E-1
9.322600833E-1,1.033705399E1,2.041454773E0,1.028361511E-1
9.422830833E-1,9.902807007E0,2.343077545E0,1.077758789E-1
9.523050833E-1,9.591005402E0,2.608026581E0,2.127076721E-1
