"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.453404164E-2,9.798024902E0,9.183403015E-1,3.676205292E0
3.455504170E-2,9.387877808E0,6.063890076E-1,3.968247986E0
4.457604163E-2,8.911418610E0,5.158273315E-1,3.961811371E0
5.459704169E-2,8.634793854E0,7.699987793E-1,3.829636230E0
6.461904163E-2,8.827443237E0,1.083446960E0,3.476969604E0
7.464004168E-2,9.142537994E0,1.250349884E0,3.160078583E0
8.466104162E-2,9.044192505E0,1.126108246E0,3.200195160E0
9.468204167E-2,8.765472107E0,7.918533325E-1,3.229384460E0
1.047040416E-1,8.752000122E0,6.750961304E-1,3.062481537E0
1.147250417E-1,9.023535461E0,7.797285461E-1,3.098406830E0
1.247460417E-1,9.370214539E0,8.479866028E-1,3.296145630E0
1.347670417E-1,9.558972015E0,8.283773804E-1,3.697012024E0
1.447890417E-1,9.506431274E0,7.131170654E-1,3.699856110E0
1.548100417E-1,9.373657379E0,6.565347290E-1,3.721411285E0
1.648310417E-1,9.316176910E0,7.005432129E-1,3.832929382E0
1.748520416E-1,9.182953949E0,8.262817383E-1,3.861370239E0
1.848740417E-1,8.912765808E0,9.485774231E-1,3.912563782E0
1.948950416E-1,8.741372223E0,1.053509216E0,3.820654907E0
2.049160417E-1,8.710087280E0,1.044677582E0,3.575764160E0
2.149370416E-1,8.865015106E0,1.024170227E0,3.357368317E0
2.249580417E-1,9.133706360E0,1.152453461E0,3.152893524E0
2.349800416E-1,9.411079559E0,1.298998718E0,2.849773865E0
2.450010417E-1,9.681567078E0,1.267713776E0,2.885250092E0
2.550220416E-1,9.872120819E0,9.830058289E-1,3.435505829E0
2.650430417E-1,9.814490662E0,5.685177612E-1,3.734134827E0
2.750650416E-1,9.740544434E0,3.541635132E-1,3.800147552E0
2.850860417E-1,9.723928986E0,5.017565918E-1,3.808081055E0
2.951070417E-1,9.552236023E0,8.280780029E-1,3.734733582E0
3.051280417E-1,9.166188812E0,1.025816803E0,3.605402527E0
3.151500417E-1,8.759933624E0,9.671388245E-1,3.646866302E0
3.251710417E-1,8.422984314E0,9.036708069E-1,3.848347321E0
3.351920417E-1,8.260721741E0,1.000369720E0,3.843856659E0
3.452130416E-1,8.400980072E0,1.274449768E0,3.867208099E0
3.552350417E-1,8.684789886E0,1.495689697E0,3.762875061E0
3.652560416E-1,8.966803436E0,1.542093201E0,3.634741516E0
3.752770417E-1,9.262288971E0,1.536704407E0,3.303779755E0
3.852980416E-1,9.619146881E0,1.567091217E0,2.895578613E0
3.953200417E-1,9.963430939E0,1.482816467E0,2.819536743E0
4.053410416E-1,1.001761826E1,1.211580505E0,2.829116821E0
4.153620417E-1,1.003363495E1,9.303153992E-1,2.734962616E0
4.253830416E-1,1.014126114E1,7.584727478E-1,2.902464294E0
4.354040417E-1,1.015203873E1,6.497987366E-1,2.888543243E0
4.454260416E-1,1.005474106E1,5.307962036E-1,2.952610016E0
4.554470417E-1,1.003258713E1,2.978805542E-1,3.116968231E0
4.654680417E-1,1.010728180E1,1.281335449E-1,3.039130096E0
4.754890417E-1,1.001252884E1,1.478924561E-1,3.104993134E0
4.855110417E-1,9.726922760E0,2.667453003E-1,3.180136871E0
4.955320416E-1,9.372160492E0,3.947291565E-1,3.226540375E0
5.055530417E-1,9.239536285E0,5.179229736E-1,3.096460876E0
5.155740416E-1,9.368418274E0,5.216651917E-1,3.141217804E0
5.255960417E-1,9.557774506E0,4.456233215E-1,3.243455200E0
5.356170416E-1,9.521400146E0,4.227209473E-1,3.166066132E0
5.456380417E-1,9.422156525E0,5.405259705E-1,3.197351074E0
5.556590416E-1,9.316476288E0,7.270381165E-1,3.536845093E0
5.656810417E-1,9.039402466E0,8.955876160E-1,3.726201324E0
5.757020416E-1,8.611143036E0,1.001267853E0,3.720213776E0
5.857230417E-1,8.237669678E0,1.017434235E0,3.772006073E0
5.957440416E-1,8.203390961E0,1.106049957E0,3.333268433E0
6.057650417E-1,8.617729340E0,1.271306305E0,3.132086792E0
6.157870416E-1,9.058113556E0,1.242416382E0,3.466641083E0
6.258080417E-1,9.122330017E0,9.114546204E-1,3.819457397E0
6.358290417E-1,9.118587799E0,4.718188477E-1,4.095034332E0
6.458500416E-1,9.392817535E0,-8.652008057E-2,3.956721954E0
6.558720417E-1,9.742191010E0,-6.325845337E-1,3.762875061E0
6.658930416E-1,9.775721283E0,-7.942483521E-1,3.454516296E0
6.759140417E-1,9.521100769E0,-4.932243347E-1,3.498075714E0
6.859350416E-1,9.379944305E0,3.742218018E-3,3.884122925E0
6.959570417E-1,9.288634186E0,5.092410278E-1,4.072281647E0
7.059780416E-1,9.066945190E0,8.933422852E-1,4.280648346E0
7.159990417E-1,8.925788727E0,1.198557587E0,4.556075592E0
7.260200416E-1,8.887318726E0,1.310973816E0,4.758903809E0
7.360420417E-1,9.084907837E0,1.294208679E0,4.594844971E0
7.460630416E-1,9.350305939E0,1.231489105E0,4.596042480E0
7.560840417E-1,9.458830261E0,1.216370544E0,4.763843536E0
7.661050416E-1,9.419013062E0,1.144519958E0,4.851411438E0
7.761270417E-1,9.178313599E0,7.979905701E-1,4.869374084E0
7.861480417E-1,8.772507477E0,5.601351929E-1,4.746329956E0
7.961690417E-1,8.413853302E0,6.189628601E-1,4.536166992E0
8.061900417E-1,8.309669952E0,8.910969543E-1,4.186344452E0
8.162120417E-1,8.256231079E0,1.239272919E0,4.166136475E0
8.262330417E-1,8.013585663E0,1.408121796E0,4.140090637E0
8.362540416E-1,7.804620209E0,1.420096893E0,4.111051025E0
8.462750417E-1,7.759114838E0,1.335073700E0,4.327201538E0
8.562960416E-1,7.749684448E0,1.140628052E0,4.130660248E0
8.663180417E-1,7.754624176E0,9.271719360E-1,3.730242920E0
8.763390416E-1,7.904013519E0,8.433462524E-1,3.813918915E0
8.863600417E-1,8.218359833E0,7.765850830E-1,4.052522736E0
8.963810416E-1,8.491092682E0,6.270460510E-1,3.967200165E0
9.064030417E-1,8.565038910E0,5.650749207E-1,3.975732422E0
9.164240416E-1,8.500523071E0,7.306306458E-1,3.895499268E0
9.264450417E-1,8.689729614E0,1.301693115E0,3.956871643E0
9.364660417E-1,9.225914612E0,1.979483643E0,4.049229584E0
9.464880417E-1,9.754764862E0,2.408940582E0,3.953728180E0
9.565090417E-1,9.785750427E0,2.248025208E0,3.843856659E0
9.665300417E-1,9.659263458E0,1.677262115E0,4.047732697E0
9.765510417E-1,9.876461792E0,1.207389221E0,4.297563171E0
9.865730416E-1,1.017688705E1,1.041534119E0,4.057612152E0
9.965940417E-1,1.014620087E1,1.217867432E0,3.820505219E0
1.006615042E0,9.812395020E0,1.388063507E0,3.919299774E0
1.016635917E0,9.325307922E0,1.211580505E0,4.035308533E0
1.026657917E0,8.975335693E0,9.068142700E-1,4.024231567E0
1.036678917E0,8.860374756E0,7.198530579E-1,3.978426819E0
1.046699917E0,8.745114441E0,5.992039490E-1,4.205055542E0
1.056720917E0,8.757538605E0,4.064048767E-1,4.405788116E0
1.066741917E0,9.005273438E0,1.603166199E-1,4.567751312E0
1.076763917E0,9.289981384E0,-5.448669434E-2,4.238436127E0
1.086784917E0,9.486223297E0,-1.043330383E-1,4.085005188E0
1.096805917E0,9.520202637E0,-4.400848389E-2,4.318669281E0
1.106826917E0,9.272467804E0,1.477427673E-1,4.317471771E0
1.116848917E0,9.033564606E0,4.212240601E-1,4.313729553E0
1.126869917E0,8.894952850E0,4.638853455E-1,4.532275085E0
1.136890917E0,8.796457672E0,2.712359619E-1,4.695735168E0
1.146911917E0,8.613987122E0,-1.002914429E-2,4.422104187E0
1.156933917E0,8.424630890E0,-1.365161133E-1,4.077670441E0
1.166954917E0,8.151898041E0,-5.807922363E-2,4.173321533E0
1.176975917E0,7.587421875E0,8.652008057E-2,4.229903870E0
1.186996917E0,7.304510193E0,1.535806274E-1,3.879332886E0
1.197018917E0,7.572902069E0,2.269281006E-1,3.776646423E0
1.207039917E0,7.950117645E0,1.365161133E-1,3.803141327E0
1.217060917E0,8.735085297E0,-2.604583740E-2,3.532803497E0
1.227081917E0,9.688003693E0,-2.665956116E-1,3.188669128E0
1.237103917E0,1.044647644E1,-3.309617615E-1,2.904110870E0
1.247124917E0,1.081785416E1,-3.764671326E-1,3.108735352E0
1.257145917E0,1.046743286E1,-6.216572571E-1,3.361559601E0
1.267166917E0,9.871372375E0,-9.117539978E-1,3.513643341E0
1.277188917E0,9.464967499E0,-1.186732178E0,3.629203033E0
1.287209917E0,9.332043915E0,-1.399140472E0,3.572321320E0
1.297230917E0,9.429640961E0,-1.451082458E0,3.225342865E0
1.307251917E0,9.579030304E0,-1.251846771E0,2.733016663E0
1.317273917E0,9.705217896E0,-6.509962463E-1,2.411036224E0
1.327294917E0,9.708361359E0,-1.465452576E-1,2.781964874E0
1.337315917E0,9.105564880E0,2.514770508E-2,3.141966248E0
1.347336917E0,8.565487976E0,3.293151855E-3,2.964734802E0
1.357358917E0,8.022566986E0,-1.139131165E-1,2.664608917E0
