"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.706104169E-2,9.102889194E0,7.996557840E-1,3.568481745E0
4.708204162E-2,9.102040179E0,7.926163942E-1,3.572215193E0
5.710304168E-2,9.095288984E0,7.858825213E-1,3.590848515E0
6.712504162E-2,9.087140304E0,7.801553198E-1,3.612664769E0
7.714604167E-2,9.083267108E0,7.783002906E-1,3.622792731E0
8.716704161E-2,9.083883405E0,7.821033197E-1,3.620427825E0
9.718804166E-2,9.088340737E0,7.894981471E-1,3.607609851E0
1.072100417E-1,9.096929128E0,7.963570773E-1,3.584381202E0
1.172310417E-1,9.108689048E0,8.011858542E-1,3.553307928E0
1.272520417E-1,9.122088527E0,8.059811557E-1,3.517669441E0
1.372730416E-1,9.134822593E0,8.120264458E-1,3.483063865E0
1.472950417E-1,9.144237780E0,8.168865784E-1,3.457127078E0
1.573160416E-1,9.148969932E0,8.172026934E-1,3.444507325E0
1.673370417E-1,9.149743518E0,8.130785792E-1,3.443430853E0
1.773580416E-1,9.147435037E0,8.078563578E-1,3.450784896E0
1.873800417E-1,9.143336724E0,8.053196163E-1,3.462220003E0
1.974010416E-1,9.139442478E0,8.058214536E-1,3.472369600E0
2.074220417E-1,9.137500033E0,8.069360060E-1,3.477220158E0
2.174430416E-1,9.139174091E0,8.070264186E-1,3.472795277E0
2.274640417E-1,9.145040603E0,8.054302018E-1,3.457689288E0
2.374860416E-1,9.155056298E0,8.022221269E-1,3.431834070E0
2.475070417E-1,9.169531081E0,8.002409441E-1,3.393435697E0
2.575280417E-1,9.186931810E0,8.011320598E-1,3.345829421E0
2.675490417E-1,9.202445058E0,8.018628886E-1,3.302746552E0
2.775710417E-1,9.212016365E0,7.998307619E-1,3.276451330E0
2.875920417E-1,9.214958099E0,7.952806049E-1,3.269281182E0
2.976130417E-1,9.212316912E0,7.908127474E-1,3.277792682E0
3.076340416E-1,9.205807791E0,7.887561355E-1,3.296524237E0
3.176560417E-1,9.197711152E0,7.892708366E-1,3.318928721E0
3.276770416E-1,9.190858215E0,7.903885319E-1,3.337590110E0
3.376980417E-1,9.187127107E0,7.903895552E-1,3.347847295E0
3.477190416E-1,9.186702599E0,7.897516970E-1,3.349162627E0
3.577410417E-1,9.188655569E0,7.889986487E-1,3.343980824E0
