"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.086997032E-2,5.238327975E1,4.854720082E0,-1.630874660E0,NaN,NaN,6.940471054E2,3.003293536E1
5.795598030E-2,5.238375890E1,4.853432169E0,-1.630874660E0,NaN,NaN,7.181819272E2,3.005257879E1
5.168980360E-1,5.238115417E1,4.860406259E0,2.449770588E0,NaN,NaN,2.498486826E1,3.000000000E1
7.129763961E0,5.238114156E1,4.860412971E0,2.478134905E0,NaN,NaN,2.301821554E1,3.000000000E1
9.090815067E0,5.238114017E1,4.860413254E0,2.478134905E0,NaN,NaN,2.220306310E1,3.000000000E1
1.017448103E1,5.238112578E1,4.860423424E0,2.195583725E1,0.000000000E0,NaN,2.929528047E1,4.800000000E1
1.117595112E1,5.238110582E1,4.860438252E0,6.422996521E-1,0.000000000E0,NaN,3.025770459E1,4.000000000E0
1.217445695E1,5.238106952E1,4.860471624E0,7.869529724E-1,0.000000000E0,NaN,3.115376099E1,4.000000000E0
1.317167890E1,5.238110418E1,4.860427020E0,1.685451508E0,0.000000000E0,NaN,1.900634787E1,4.000000000E0
1.417715490E1,5.238106411E1,4.860463810E0,2.601222992E0,0.000000000E0,NaN,2.300176867E1,4.000000000E0
1.517443311E1,5.238102278E1,4.860512161E0,3.793849945E0,4.070000172E0,1.346484375E2,2.474944815E1,4.000000000E0
1.615515459E1,5.238104802E1,4.860523431E0,4.798122406E0,4.070000172E0,1.314843750E2,2.451859871E1,4.000000000E0
1.715503275E1,5.238106474E1,4.860434357E0,5.440334320E0,4.070000172E0,2.425781250E2,2.385127860E1,4.000000000E0
1.815489459E1,5.238112182E1,4.860536618E0,6.264064789E0,2.099999934E-1,NaN,2.313020250E1,4.000000000E0
1.915477812E1,5.238109700E1,4.860580253E0,4.845241547E0,2.700000107E-1,NaN,1.194603992E1,4.000000000E0
2.015466237E1,5.238106473E1,4.860668324E0,4.094203949E0,8.999999762E-1,1.884375000E2,1.377890812E1,4.000000000E0
2.115453982E1,5.238108822E1,4.860661693E0,3.906520844E0,6.200000048E-1,2.257031250E2,1.379130714E1,4.000000000E0
2.215443897E1,5.238110658E1,4.860648667E0,3.918300629E0,6.200000048E-1,2.728125000E2,1.373032059E1,4.000000000E0
