"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.493875032E-3,5.103293774E-1,8.479692366E0,4.906167689E0
1.351787499E-2,4.843469823E-1,8.487114821E0,4.895957573E0
2.354087494E-2,4.562094131E-1,8.493753750E0,4.887138803E0
3.356387489E-2,4.281598811E-1,8.499843040E0,4.879082509E0
4.358687508E-2,3.989038127E-1,8.505876197E0,4.871042003E0
5.360987503E-2,3.631561654E-1,8.512508109E0,4.862246329E0
6.363387499E-2,3.211091300E-1,8.519565699E0,4.852832019E0
7.365687494E-2,2.808135732E-1,8.526025118E0,4.843979919E0
8.367999992E-2,2.523312742E-1,8.531571786E0,4.835774229E0
9.370300011E-2,2.366332178E-1,8.536952979E0,4.827063632E0
1.037260001E-1,2.265452541E-1,8.542415448E0,4.817875902E0
1.137500000E-1,2.172612096E-1,8.547627656E0,4.809049530E0
1.237730000E-1,2.096624605E-1,8.553215840E0,4.799442555E0
1.337959999E-1,2.044961531E-1,8.559671166E0,4.788141933E0
1.438190001E-1,2.018745540E-1,8.566110120E0,4.776724075E0
1.538420001E-1,1.987301041E-1,8.570968571E0,4.768134516E0
1.638660000E-1,1.929277476E-1,8.573828444E0,4.763228994E0
1.738890000E-1,1.851870756E-1,8.575787262E0,4.760008348E0
1.839119999E-1,1.783330059E-1,8.577886412E0,4.756486277E0
1.939350001E-1,1.753059937E-1,8.580343997E0,4.752163723E0
2.039580001E-1,1.771300144E-1,8.582685222E0,4.747866020E0
2.139820000E-1,1.844646521E-1,8.584528264E0,4.744255072E0
2.240050000E-1,1.989515491E-1,8.586133325E0,4.740762822E0
2.340279999E-1,2.232271054E-1,8.588283931E0,4.735782748E0
2.440510001E-1,2.603149893E-1,8.591426225E0,4.728184292E0
2.540740001E-1,3.111455842E-1,8.594848015E0,4.718884295E0
2.640980000E-1,3.763267994E-1,8.597024934E0,4.710163465E0
2.741210000E-1,4.555258736E-1,8.596602180E0,4.703938812E0
2.841439999E-1,5.474332132E-1,8.593655183E0,4.699521533E0
2.941670001E-1,6.519378673E-1,8.589201944E0,4.694326282E0
3.041900001E-1,7.678765324E-1,8.583341864E0,4.687506674E0
3.142140000E-1,8.968031059E-1,8.575631726E0,4.678716555E0
