"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.493875032E-3,9.923957263E-1,-5.000860423E-1,-1.100781031E0
1.351787499E-2,7.701942225E-1,2.942494333E-2,-1.049257121E0
2.354087494E-2,7.847101546E-1,-3.438016623E-1,-6.407688814E-1
3.356387489E-2,9.253255315E-1,-4.373091656E-1,-7.681814647E-1
4.358687508E-2,1.058315847E0,-4.035251230E-1,-8.084898305E-1
5.360987503E-2,1.334613232E0,-2.637608814E-1,-6.610826933E-1
6.363387499E-2,1.460635786E0,-5.053818655E-1,-5.579632446E-1
7.365687494E-2,1.080455744E0,-1.023925813E0,-7.041889518E-1
8.367999992E-2,6.637635686E-1,-6.717164397E-1,-9.910194379E-1
9.370300011E-2,7.153871007E-1,-4.546210170E-3,-1.002367129E0
1.037260001E-1,1.086973416E0,1.527029604E-1,-8.205883044E-1
1.137500000E-1,1.273937698E0,8.207678139E-2,-8.164022827E-1
1.237730000E-1,1.271058383E0,1.038816333E-1,-8.569410288E-1
1.337959999E-1,1.249580098E0,1.479754865E-2,-9.100071421E-1
1.438190001E-1,1.290072944E0,-1.738786519E-2,-9.399027863E-1
1.538420001E-1,1.384527550E0,1.081331438E-1,-8.991298592E-1
1.638660000E-1,1.532234649E0,3.462721109E-1,-8.339000756E-1
1.738890000E-1,1.483991904E0,4.598729861E-1,-7.191613322E-1
1.839119999E-1,1.262570565E0,3.836773342E-1,-6.324123332E-1
1.939350001E-1,1.060973187E0,1.744996262E-1,-6.195578143E-1
2.039580001E-1,9.380509731E-1,9.297072887E-3,-6.360668430E-1
2.139820000E-1,6.392723597E-1,-6.005499780E-2,-6.701774526E-1
2.240050000E-1,2.523598159E-1,-1.061176085E-1,-6.496203965E-1
2.340279999E-1,-6.859860213E-2,-1.919447941E-1,-6.510772303E-1
2.440510001E-1,-5.317007313E-1,-4.791962796E-1,-5.906386551E-1
2.540740001E-1,-1.143863974E0,-1.044250150E0,-5.786442617E-1
2.640980000E-1,-1.563058977E0,-1.591443116E0,-6.070462346E-1
2.741210000E-1,-1.609925288E0,-1.762563636E0,-5.952828062E-1
2.841439999E-1,-1.399012418E0,-1.540772315E0,-4.721623716E-1
2.941670001E-1,-1.299341657E0,-1.109256570E0,-3.105421150E-1
3.041900001E-1,-1.185957056E0,-4.800926578E-1,-2.975858545E-1
3.142140000E-1,-1.217735723E0,1.539150882E-1,-3.594488114E-1
3.242370000E-1,-1.446465789E0,5.975889480E-1,-4.032742774E-1
3.342599999E-1,-1.604112132E0,6.915724146E-1,-4.656061810E-1
3.442830001E-1,-1.643781690E0,2.639403909E-1,-3.364128283E-1
3.543060001E-1,-1.492551789E0,-1.785096467E-1,-6.327915251E-1
3.643300000E-1,-5.141876261E-1,5.385104352E-1,-6.729162884E-1
3.743530000E-1,1.326797697E0,1.191002399E0,8.046821237E-2
