"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
3.841504152E-2,1.680534145E-1,-6.952590281E-1,-3.226128201E-1,-6.199143714E-1,1.606506806E2,1.364478973E2,-7.603290421E1,8.447125399E1
4.843704146E-2,1.673791493E-1,-6.979277666E-1,-3.233958243E-1,-6.166815396E-1,1.607290559E2,1.379801937E2,-7.570975603E1,8.296338091E1
5.845904164E-2,1.668049827E-1,-7.001923167E-1,-3.240376365E-1,-6.139271166E-1,1.607957887E2,1.392326350E2,-7.542892133E1,8.173016907E1
6.848004158E-2,1.664068004E-1,-7.019224659E-1,-3.246031418E-1,-6.117568700E-1,1.608420638E2,1.401755010E2,-7.520465114E1,8.081267836E1
7.850204152E-2,1.662504356E-1,-7.030503788E-1,-3.251043732E-1,-6.102361274E-1,1.608602350E2,1.408095465E2,-7.504992176E1,8.021626783E1
8.852404146E-2,1.663371738E-1,-7.035970235E-1,-3.254069876E-1,-6.094205859E-1,1.608501552E2,1.411590812E2,-7.497826573E1,7.990422304E1
9.854504163E-2,1.666002123E-1,-7.036387910E-1,-3.254734532E-1,-6.092649376E-1,1.608195866E2,1.412570356E2,-7.498383816E1,7.983472642E1
1.085670416E-1,1.669590506E-1,-7.033297914E-1,-3.254419905E-1,-6.095403251E-1,1.607778827E2,1.411757566E2,-7.503565704E1,7.994205969E1
1.185880415E-1,1.673787699E-1,-7.029656004E-1,-3.254972451E-1,-6.098158601E-1,1.607290999E2,1.410812826E2,-7.508791030E1,8.007546028E1
1.286100415E-1,1.677412539E-1,-7.027483334E-1,-3.257776480E-1,-6.098168505E-1,1.606869667E2,1.410632153E2,-7.510271289E1,8.014888262E1
1.386320416E-1,1.679430952E-1,-7.027585119E-1,-3.262916921E-1,-6.094746603E-1,1.606635045E2,1.411407312E2,-7.506612461E1,8.013568444E1
1.486530416E-1,1.678605506E-1,-7.029147292E-1,-3.269730170E-1,-6.089517233E-1,1.606730996E2,1.412301037E2,-7.498411054E1,8.010260076E1
1.586750415E-1,1.674751387E-1,-7.030495359E-1,-3.276824959E-1,-6.085208350E-1,1.607178988E2,1.412253359E2,-7.488357759E1,8.014075140E1
1.686970415E-1,1.669810301E-1,-7.030783854E-1,-3.282007968E-1,-6.083439657E-1,1.607753282E2,1.411250495E2,-7.480373863E1,8.024717127E1
1.787180416E-1,1.665513219E-1,-7.030623064E-1,-3.284843397E-1,-6.083273388E-1,1.608252684E2,1.410097262E2,-7.475342505E1,8.035227366E1
1.887400416E-1,1.662358739E-1,-7.030820943E-1,-3.286417371E-1,-6.083056964E-1,1.608619272E2,1.409418440E2,-7.471832818E1,8.040810187E1
1.987610415E-1,1.660333372E-1,-7.031421747E-1,-3.287432478E-1,-6.082368073E-1,1.608854632E2,1.409253906E2,-7.469156909E1,8.041712226E1
2.087830415E-1,1.659580629E-1,-7.031903064E-1,-3.288304918E-1,-6.081545367E-1,1.608942104E2,1.409356861E2,-7.467471872E1,8.040872578E1
2.188050416E-1,1.659770290E-1,-7.032228227E-1,-3.288933960E-1,-6.080775765E-1,1.608920065E2,1.409614225E2,-7.466706034E1,8.039046442E1
2.288260416E-1,1.661303381E-1,-7.032794469E-1,-3.289072412E-1,-6.079627053E-1,1.608741912E2,1.410349983E2,-7.466982014E1,8.033134813E1
2.388480415E-1,1.664863736E-1,-7.034755141E-1,-3.288435152E-1,-6.076729247E-1,1.608328163E2,1.412394311E2,-7.467928963E1,8.015200022E1
2.488700415E-1,1.670545764E-1,-7.039010919E-1,-3.286843897E-1,-6.071099481E-1,1.607667803E2,1.416283946E2,-7.468909397E1,7.979827377E1
2.588910416E-1,1.676528930E-1,-7.045019374E-1,-3.285587921E-1,-6.063155643E-1,1.606972375E2,1.421261699E2,-7.468073579E1,7.934225256E1
2.689130416E-1,1.681228304E-1,-7.051904904E-1,-3.284779966E-1,-6.054282046E-1,1.606426113E2,1.426391016E2,-7.465150382E1,7.886486710E1
2.789350415E-1,1.686996732E-1,-7.061558851E-1,-3.281086427E-1,-6.043418063E-1,1.605755522E2,1.433279290E2,-7.462748637E1,7.819540779E1
2.889560417E-1,1.694656501E-1,-7.077568963E-1,-3.272344960E-1,-6.027264862E-1,1.604864954E2,1.444103809E2,-7.459617365E1,7.710511686E1
2.989780416E-1,1.704687872E-1,-7.099548755E-1,-3.258622578E-1,-6.005982811E-1,1.603698471E2,1.458782031E2,-7.455661453E1,7.560704195E1
3.089990416E-1,1.719522720E-1,-7.122195100E-1,-3.237506164E-1,-5.986328893E-1,1.601973046E2,1.475207897E2,-7.459136127E1,7.390774752E1
3.190210415E-1,1.733787110E-1,-7.144806252E-1,-3.215635954E-1,-5.967027954E-1,1.600313542E2,1.491582003E2,-7.461604581E1,7.220262719E1
3.290430414E-1,1.746476051E-1,-7.170074131E-1,-3.197886230E-1,-5.942506707E-1,1.598836969E2,1.508836930E2,-7.455034645E1,7.043623893E1
3.390640416E-1,1.754990979E-1,-7.196752875E-1,-3.186794233E-1,-5.913636537E-1,1.597845924E2,1.525184972E2,-7.437295390E1,6.878802401E1
3.490860416E-1,1.756675167E-1,-7.224338620E-1,-3.185923690E-1,-5.879872697E-1,1.597649884E2,1.539144965E2,-7.404887826E1,6.741605203E1
3.591080415E-1,1.752863195E-1,-7.254148032E-1,-3.194263076E-1,-5.839648798E-1,1.598093589E2,1.551580096E2,-7.358006082E1,6.623736084E1
