"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
6.131708156E-3,2.257568850E-1,6.738022000E0,7.126302847E0
1.615470834E-2,2.905437055E-1,6.754798831E0,7.108049594E0
2.617870830E-2,3.413487554E-1,6.773925658E0,7.087560366E0
3.620170825E-2,3.605285363E-1,6.798332521E0,7.063199696E0
4.622470820E-2,3.540812502E-1,6.827356930E0,7.035475708E0
5.624770815E-2,3.461575421E-1,6.856222295E0,7.007744703E0
6.627170835E-2,3.477647224E-1,6.880450818E0,6.983878123E0
7.629470830E-2,3.585576592E-1,6.900084014E0,6.963933855E0
8.631770825E-2,3.761871240E-1,6.916625202E0,6.946572887E0
9.634070820E-2,4.001557015E-1,6.930474917E0,6.931413395E0
1.063647082E-1,4.285774819E-1,6.943026550E0,6.917138588E0
1.163877083E-1,4.566592833E-1,6.955813826E0,6.902479618E0
1.264107083E-1,4.802695361E-1,6.968794060E0,6.887768024E0
1.364337082E-1,4.976574744E-1,6.982097645E0,6.873045319E0
1.464577082E-1,5.077460044E-1,6.996109328E0,6.858042533E0
1.564807082E-1,5.114746277E-1,7.010036227E0,6.843529159E0
1.665037083E-1,5.118420521E-1,7.023232808E0,6.829957187E0
1.765277083E-1,5.130324721E-1,7.034983957E0,6.817763404E0
1.865507083E-1,5.202224277E-1,7.044820728E0,6.807052474E0
1.965737082E-1,5.372218916E-1,7.053278725E0,6.796967196E0
2.065967082E-1,5.655796085E-1,7.060295384E0,6.787374839E0
2.166207084E-1,6.061385640E-1,7.065272534E0,6.778688800E0
2.266437083E-1,6.589300409E-1,7.068301976E0,6.770600347E0
2.366667083E-1,7.241949078E-1,7.069918147E0,6.762240583E0
2.466897082E-1,8.031491299E-1,7.070724478E0,6.752474563E0
2.567137082E-1,8.969144223E-1,7.071206873E0,6.740153895E0
2.667367083E-1,1.004960296E0,7.071137876E0,6.724966337E0
2.767597083E-1,1.129319537E0,7.068918858E0,6.707542804E0
2.867827083E-1,1.275568779E0,7.062752969E0,6.687791494E0
2.968067082E-1,1.450732356E0,7.049823605E0,6.665693112E0
3.068297082E-1,1.658107076E0,7.026094435E0,6.642348104E0
3.168527083E-1,1.890637393E0,6.990048689E0,6.618217814E0
3.268767083E-1,2.143413842E0,6.943670914E0,6.589940094E0
3.368997083E-1,2.412956742E0,6.888770821E0,6.554279096E0
3.469227082E-1,2.694237051E0,6.828840369E0,6.507235322E0
3.569457082E-1,2.983968633E0,6.765362996E0,6.446851126E0
3.669697084E-1,3.267167999E0,6.702294928E0,6.375026852E0
3.769927083E-1,3.532139838E0,6.645752352E0,6.292381722E0
3.870157083E-1,3.785380994E0,6.592274888E0,6.200718430E0
3.970387082E-1,4.012478956E0,6.534019078E0,6.119044522E0
4.070627082E-1,4.181380166E0,6.475090839E0,6.068389508E0
4.170857084E-1,4.264228780E0,6.431916168E0,6.056641867E0
4.271087083E-1,4.254431770E0,6.417184108E0,6.079116225E0
4.371317083E-1,4.171231446E0,6.427553560E0,6.125640766E0
4.471557082E-1,4.048615918E0,6.449206969E0,6.184863705E0
4.571787082E-1,3.918087354E0,6.470741095E0,6.246135508E0
4.672017084E-1,3.799445594E0,6.485884799E0,6.303459857E0
4.772257083E-1,3.703102484E0,6.492788022E0,6.353490388E0
4.872487083E-1,3.634363201E0,6.491473567E0,6.394394585E0
4.972717082E-1,3.597261449E0,6.482408044E0,6.424500729E0
5.072947082E-1,3.595983832E0,6.465637060E0,6.442091492E0
5.173187084E-1,3.633139087E0,6.440763590E0,6.446159400E0
5.273417083E-1,3.709402274E0,6.406353895E0,6.437007923E0
5.373647083E-1,3.825503418E0,6.361415119E0,6.413581054E0
5.473877082E-1,3.980571870E0,6.305902823E0,6.373911204E0
5.574117082E-1,4.170412251E0,6.240647312E0,6.316493885E0
5.674347084E-1,4.387871078E0,6.166333294E0,6.241716183E0
5.774577083E-1,4.624169050E0,6.083892816E0,6.151375532E0
5.874807083E-1,4.870561946E0,5.995388775E0,6.047234867E0
5.975047082E-1,5.119894531E0,5.902591708E0,5.931457658E0
6.075277082E-1,5.365560619E0,5.807737007E0,5.806638899E0
6.175507084E-1,5.601234400E0,5.711807002E0,5.677810705E0
6.275747083E-1,5.822756749E0,5.615358934E0,5.549717506E0
6.375977083E-1,6.028969919E0,5.518471740E0,5.425320332E0
6.476207082E-1,6.219208496E0,5.423274976E0,5.305247174E0
6.576437082E-1,6.393054403E0,5.332783467E0,5.189062414E0
6.676677084E-1,6.551172470E0,5.247613508E0,5.077479998E0
6.776907083E-1,6.695140859E0,5.166539524E0,4.971724917E0
6.877137083E-1,6.827239986E0,5.088249984E0,4.871817636E0
6.977367082E-1,6.949482461E0,5.012076552E0,4.777017606E0
7.077607082E-1,7.065232773E0,4.936369727E0,4.685173050E0
7.177837084E-1,7.177461891E0,4.860500350E0,4.593004267E0
7.278067083E-1,7.288001164E0,4.785732588E0,4.496433408E0
7.378297083E-1,7.397782053E0,4.712009139E0,4.393845763E0
7.478537082E-1,7.507036693E0,4.639769129E0,4.284045871E0
7.578767082E-1,7.615693747E0,4.570538095E0,4.165033105E0
7.678997084E-1,7.723167325E0,4.504971512E0,4.036586734E0
7.779237083E-1,7.829134076E0,4.443898514E0,3.897760678E0
7.879467083E-1,7.934596211E0,4.387024401E0,3.745972222E0
7.979697082E-1,8.041202062E0,4.331629342E0,3.579409607E0
8.079927082E-1,8.149638092E0,4.273949776E0,3.398951083E0
8.180167081E-1,8.258174694E0,4.211207105E0,3.210044795E0
8.280397083E-1,8.362147543E0,4.144761685E0,3.021841926E0
8.380627083E-1,8.456622761E0,4.079017932E0,2.843103653E0
8.480857082E-1,8.537839417E0,4.019194776E0,2.680946038E0
8.581097082E-1,8.603995984E0,3.969301362E0,2.540076088E0
8.681327084E-1,8.656039712E0,3.929135668E0,2.423005913E0
8.781557083E-1,8.696394271E0,3.894931211E0,2.332025723E0
8.881787083E-1,8.727504966E0,3.862982901E0,2.268064931E0
8.982027082E-1,8.751687296E0,3.829868950E0,2.230731336E0
9.082257082E-1,8.770344007E0,3.794504405E0,2.217860591E0
9.182487084E-1,8.784811773E0,3.757499716E0,2.223593055E0
9.282727083E-1,8.796971058E0,3.719772311E0,2.238906767E0
9.382957083E-1,8.807700698E0,3.682935145E0,2.257548421E0
9.483187082E-1,8.817540978E0,3.648549131E0,2.274893310E0
9.583417082E-1,8.827625086E0,3.616910432E0,2.286288656E0
9.683657081E-1,8.840632217E0,3.585381076E0,2.285688293E0
9.783887083E-1,8.858833430E0,3.552053408E0,2.267178932E0
9.884117083E-1,8.883111069E0,3.517242010E0,2.226087916E0
9.984347082E-1,8.913236509E0,3.481434831E0,2.160997442E0
1.008458708E0,8.948235018E0,3.445329151E0,2.072416657E0
1.018481708E0,8.985136212E0,3.410359001E0,1.967959365E0
1.028504708E0,9.019852300E0,3.380002011E0,1.858480046E0
1.038527708E0,9.048904776E0,3.358365559E0,1.753513901E0
1.048551708E0,9.070868087E0,3.347041841E0,1.659142910E0
1.058574708E0,9.087050257E0,3.342785361E0,1.577156322E0
1.068597708E0,9.099293742E0,3.340830637E0,1.509245590E0
1.078620708E0,9.108008432E0,3.339165350E0,1.459548350E0
1.088644708E0,9.112504941E0,3.339075010E0,1.431410963E0
1.098667708E0,9.111419113E0,3.344218806E0,1.426297866E0
1.108690708E0,9.105064943E0,3.356570756E0,1.437826821E0
1.118714708E0,9.093447695E0,3.375636480E0,1.466422921E0
1.128737708E0,9.076653907E0,3.400918964E0,1.511359212E0
1.138760708E0,9.057158121E0,3.431105507E0,1.559335324E0
1.148783708E0,9.040142723E0,3.462918161E0,1.587485428E0
1.158807708E0,9.030856175E0,3.493356426E0,1.573588497E0
1.168830708E0,9.028858767E0,3.526100249E0,1.510768643E0
1.178853708E0,9.028146576E0,3.569788306E0,1.409006187E0
1.188876708E0,9.022677675E0,3.630549647E0,1.283160219E0
1.198900708E0,9.010155278E0,3.707748097E0,1.142722817E0
1.208923708E0,8.992659239E0,3.793660067E0,9.880893981E-1
1.218946708E0,8.972312683E0,3.880585652E0,8.214422902E-1
1.228969708E0,8.947384833E0,3.968646181E0,6.559375090E-1
1.238993708E0,8.915421029E0,4.061232456E0,5.077010540E-1
1.249016708E0,8.876199076E0,4.159925562E0,3.797347029E-1
1.259039708E0,8.830907128E0,4.264248075E0,2.595475057E-1
1.269062708E0,8.782422600E0,4.368859149E0,1.348934744E-1
1.279086708E0,8.734602317E0,4.465737864E0,1.858050132E-3
1.289109708E0,8.689676989E0,4.550565468E0,-1.339924824E-1
1.299132708E0,8.648305015E0,4.623015102E0,-2.657712455E-1
1.309156708E0,8.609425124E0,4.685916524E0,-3.950853250E-1
1.319179708E0,8.569584535E0,4.745785580E0,-5.252242822E-1
1.329202708E0,8.525569035E0,4.808421247E0,-6.556397396E-1
1.339225708E0,8.475573587E0,4.876760872E0,-7.861238652E-1
1.349249708E0,8.420754186E0,4.948717877E0,-9.149807107E-1
1.359272708E0,8.365617866E0,5.017146673E0,-1.039601687E0
1.369295708E0,8.317178947E0,5.074679766E0,-1.143794465E0
1.379318708E0,8.281684594E0,5.117165051E0,-1.210137339E0
1.389342708E0,8.259632404E0,5.144607788E0,-1.244025682E0
1.399365708E0,8.245357012E0,5.160901054E0,-1.270934861E0
1.409388708E0,8.232693697E0,5.171655838E0,-1.308761522E0
1.419411708E0,8.221034934E0,5.179865913E0,-1.348953382E0
1.429435708E0,8.213342337E0,5.185730086E0,-1.373068615E0
1.439458708E0,8.210373121E0,5.189587494E0,-1.376249500E0
1.449481708E0,8.210549707E0,5.192408776E0,-1.364508876E0
1.459505708E0,8.210660219E0,5.197595256E0,-1.343936032E0
1.469528708E0,8.207501553E0,5.209493755E0,-1.316876726E0
1.479551708E0,8.199520689E0,5.230123901E0,-1.284422925E0
1.489574708E0,8.185727107E0,5.260200225E0,-1.249102527E0
1.499598708E0,8.166196237E0,5.298638651E0,-1.213989558E0
1.509621708E0,8.143659899E0,5.339780830E0,-1.184764005E0
1.519644708E0,8.122144484E0,5.375150052E0,-1.172439609E0
1.529667708E0,8.105593940E0,5.398786252E0,-1.178374972E0
1.539691708E0,8.096716697E0,5.408228921E0,-1.195957403E0
1.549714708E0,8.094570769E0,5.406040893E0,-1.220137686E0
1.559737708E0,8.094487154E0,5.400589533E0,-1.244595347E0
1.569761333E0,8.093513592E0,5.398885070E0,-1.258243333E0
1.579785333E0,8.091862339E0,5.402909709E0,-1.251579261E0
1.589808333E0,8.090914505E0,5.410867184E0,-1.222997779E0
1.599831333E0,8.090641440E0,5.420343767E0,-1.182169449E0
1.609854333E0,8.089863760E0,5.430371742E0,-1.140727893E0
1.619878333E0,8.086882265E0,5.442210599E0,-1.104890089E0
1.629901333E0,8.080108266E0,5.456835070E0,-1.082074253E0
1.639924333E0,8.070757983E0,5.471806281E0,-1.076252254E0
1.649947333E0,8.063609177E0,5.480902210E0,-1.083526994E0
1.659971333E0,8.061304790E0,5.481630773E0,-1.096903012E0
1.669994333E0,8.063408033E0,5.476089951E0,-1.109060908E0
1.680017333E0,8.068110949E0,5.468155864E0,-1.113991938E0
1.690041333E0,8.073719598E0,5.461462557E0,-1.106151626E0
1.700064333E0,8.079563890E0,5.458059477E0,-1.079974007E0
1.710087333E0,8.085228673E0,5.458816107E0,-1.032707966E0
1.720110333E0,8.089142214E0,5.464381487E0,-9.707636596E-1
1.730134333E0,8.088418913E0,5.476472359E0,-9.065352847E-1
1.740157333E0,8.080750290E0,5.497170918E0,-8.477462091E-1
1.750180333E0,8.064837093E0,5.527712680E0,-7.992958148E-1
1.760203333E0,8.040937768E0,5.566836984E0,-7.679426790E-1
1.770227333E0,8.010926349E0,5.611465273E0,-7.566948288E-1
1.780250333E0,7.976909587E0,5.658167569E0,-7.682348936E-1
1.790273333E0,7.940333499E0,5.705186784E0,-7.987836718E-1
1.800296333E0,7.902357003E0,5.751861598E0,-8.396169714E-1
1.810320333E0,7.864126153E0,5.797593257E0,-8.829175767E-1
1.820343333E0,7.826385884E0,5.841840307E0,-9.255785698E-1
1.830366333E0,7.789613914E0,5.884242561E0,-9.662855695E-1
1.840389333E0,7.753869300E0,5.925611027E0,-1.000378711E0
1.850413333E0,7.719626251E0,5.966370213E0,-1.022693659E0
1.860436333E0,7.687833186E0,6.005547727E0,-1.032821767E0
1.870459333E0,7.659637912E0,6.041249657E0,-1.034096387E0
1.880483333E0,7.635447981E0,6.071501981E0,-1.035808013E0
1.890506333E0,7.613866493E0,6.095388442E0,-1.054219726E0
1.900529333E0,7.595148386E0,6.112183399E0,-1.091355100E0
1.910552333E0,7.581410353E0,6.120659523E0,-1.138341133E0
1.920575333E0,7.573297341E0,6.121088709E0,-1.188922764E0
1.930599333E0,7.569076821E0,6.115842587E0,-1.241621745E0
1.940622333E0,7.566405228E0,6.107200402E0,-1.299118879E0
1.950645333E0,7.563434842E0,6.096965436E0,-1.362925888E0
1.960669333E0,7.560425280E0,6.086426414E0,-1.425300769E0
1.970692333E0,7.558909682E0,6.075559364E0,-1.478695496E0
1.980715333E0,7.559925928E0,6.063030535E0,-1.524226741E0
1.990738333E0,7.564118966E0,6.047468171E0,-1.564707892E0
2.000762333E0,7.571678247E0,6.027821526E0,-1.603477855E0
2.010785333E0,7.581875206E0,6.003995292E0,-1.644175061E0
2.020808333E0,7.593886557E0,5.977591020E0,-1.684452437E0
2.030831333E0,7.607424030E0,5.949886912E0,-1.721062585E0
2.040855333E0,7.621267313E0,5.922513172E0,-1.753922036E0
2.050878333E0,7.633609616E0,5.898588704E0,-1.780670709E0
2.060901333E0,7.642527789E0,5.881895489E0,-1.797553959E0
2.070924333E0,7.645020458E0,5.875930159E0,-1.806445382E0
2.080948333E0,7.637444220E0,5.882365020E0,-1.817507729E0
2.090971333E0,7.618725529E0,5.900456890E0,-1.837317511E0
2.100994333E0,7.591944112E0,5.925744343E0,-1.866554028E0
2.111017333E0,7.562334981E0,5.951291998E0,-1.905068760E0
2.121041333E0,7.534929666E0,5.970696568E0,-1.952368203E0
2.131064333E0,7.511340244E0,5.981862411E0,-2.008288343E0
2.141087333E0,7.490669752E0,5.986769979E0,-2.069912148E0
2.151110333E0,7.472394864E0,5.988435266E0,-2.130271786E0
2.161134333E0,7.456645389E0,5.989556177E0,-2.181685622E0
2.171157333E0,7.443131889E0,5.992456396E0,-2.219535526E0
2.181180333E0,7.431174332E0,5.998863775E0,-2.242174484E0
2.191203333E0,7.420203202E0,6.009305733E0,-2.250538487E0
2.201227333E0,7.409084721E0,6.023392845E0,-2.249513324E0
2.211250333E0,7.397928818E0,6.040106526E0,-2.241397389E0
2.221273333E0,7.387650583E0,6.058282011E0,-2.226189073E0
2.231297333E0,7.378828304E0,6.076867386E0,-2.204690469E0
2.241320333E0,7.371178392E0,6.095494276E0,-2.178712021E0
2.251343333E0,7.363444864E0,6.115025731E0,-2.149944305E0
2.261366333E0,7.354129080E0,6.136584415E0,-2.120199811E0
2.271390333E0,7.342207777E0,6.161356144E0,-2.089452812E0
2.281413333E0,7.327678615E0,6.189285370E0,-2.057661939E0
