"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.209166652E-3,1.668339521E-1,-4.578210041E-2,2.189707011E-4
1.723216672E-2,1.621877104E-1,-5.660890788E-2,-4.102932289E-4
2.725416666E-2,1.344937682E-1,-1.612509042E-1,3.060248122E-2
3.727716662E-2,9.647838771E-2,-1.613804698E-1,4.484202713E-2
4.729916668E-2,6.692901999E-2,-9.410636127E-2,2.458682284E-2
5.732216663E-2,3.845833242E-2,-6.405527145E-2,8.108491078E-3
6.734516670E-2,1.315138023E-2,-9.335510433E-2,1.185449399E-2
7.736716664E-2,1.534347888E-3,-1.432353556E-1,1.836587675E-2
8.739016671E-2,-7.316667587E-3,-1.300164908E-1,2.099707909E-2
9.741216665E-2,-7.869933732E-3,-8.523192257E-2,2.188489959E-2
1.074351667E-1,9.456591681E-3,-6.075640768E-2,4.205506295E-3
1.174581667E-1,2.637219056E-2,-6.584171206E-2,-2.476542443E-2
1.274801666E-1,3.412785009E-2,-1.040104032E-1,-4.798499495E-2
1.375031667E-1,3.809417784E-2,-1.202615350E-1,-6.244102120E-2
1.475251666E-1,6.181468442E-2,-1.282635331E-1,-6.958840787E-2
1.575481667E-1,1.052802876E-1,-1.507011652E-1,-8.300174773E-2
1.675711666E-1,1.477276087E-1,-1.234298572E-1,-1.156859249E-1
1.775931667E-1,1.894629300E-1,-1.022403464E-1,-1.334608197E-1
1.876161667E-1,2.103993744E-1,-1.279302537E-1,-1.315025985E-1
1.976381667E-1,2.157083154E-1,-1.789138317E-1,-1.302286834E-1
2.076611667E-1,2.095284462E-1,-2.036913484E-1,-1.359478235E-1
2.176841666E-1,1.926202476E-1,-1.957517266E-1,-1.551654339E-1
2.277061667E-1,1.764380783E-1,-2.299653590E-1,-1.851715297E-1
2.377291666E-1,1.777331084E-1,-2.670418918E-1,-2.196534872E-1
2.477511667E-1,2.022371143E-1,-2.923725545E-1,-2.482742071E-1
2.577741666E-1,2.367341518E-1,-3.565565348E-1,-2.711723745E-1
2.677971667E-1,2.288866192E-1,-4.623295665E-1,-3.009960353E-1
2.778191667E-1,1.848252565E-1,-6.112380624E-1,-3.433299363E-1
2.878421666E-1,1.673650295E-1,-6.373197436E-1,-3.472266793E-1
2.978641667E-1,2.205895633E-1,-8.638223410E-1,-2.914596498E-1
3.078871666E-1,2.129793167E-1,-1.290793777E0,-2.390228212E-1
3.179101667E-1,1.590092480E-1,-1.544504523E0,-2.229554057E-1
3.279321666E-1,1.529492140E-1,-1.498923182E0,-2.168037742E-1
3.379551667E-1,1.540635973E-1,-1.361035705E0,-2.579133809E-1
3.479771666E-1,9.663998336E-2,-1.253854632E0,-3.288455904E-1
3.580001667E-1,6.963513792E-3,-1.156380177E0,-3.807064295E-1
3.680221667E-1,-9.713467211E-3,-9.701597691E-1,-3.953319788E-1
3.780451666E-1,6.168803573E-2,-6.954291463E-1,-4.064260423E-1
3.880681667E-1,1.510687768E-1,-3.999237120E-1,-4.063197970E-1
3.980901666E-1,2.254509330E-1,-1.631988883E-1,-3.812226057E-1
4.081131667E-1,2.943402529E-1,1.172844507E-2,-3.570128679E-1
4.181351666E-1,3.212263584E-1,1.254956573E-1,-3.546107411E-1
4.281581667E-1,3.096293807E-1,1.756320596E-1,-3.592076004E-1
4.381811667E-1,2.958664596E-1,2.024088651E-1,-3.422885835E-1
4.482031667E-1,2.978342474E-1,2.504435182E-1,-2.960145473E-1
4.582261667E-1,3.098247349E-1,3.073908985E-1,-2.477915734E-1
4.682481666E-1,3.197245002E-1,3.563949466E-1,-2.117153257E-1
4.782711667E-1,3.335630298E-1,3.578144908E-1,-1.947127283E-1
4.882941666E-1,3.363433480E-1,2.906690240E-1,-1.891275495E-1
4.983161667E-1,3.484634161E-1,1.811599135E-1,-1.842031628E-1
5.083391666E-1,3.727969825E-1,7.480604202E-2,-1.798070818E-1
5.183611667E-1,3.895038068E-1,-3.222977510E-3,-1.876583397E-1
5.283841667E-1,3.841138184E-1,-6.419658661E-2,-2.087186128E-1
5.384071667E-1,3.803662062E-1,-1.461206824E-1,-2.280530930E-1
5.484291667E-1,4.142725170E-1,-2.233382463E-1,-2.485807389E-1
5.584521666E-1,4.368769825E-1,-2.260576040E-1,-2.853740156E-1
5.684741667E-1,4.304119051E-1,-1.486541629E-1,-3.286343813E-1
5.784971666E-1,4.611400962E-1,-4.214202613E-2,-3.366705775E-1
5.885201667E-1,5.394101739E-1,4.481098056E-2,-2.958967686E-1
5.985421666E-1,5.815125108E-1,1.293345541E-1,-2.327408046E-1
6.085651667E-1,5.813433528E-1,2.379523814E-1,-1.737334132E-1
6.185871667E-1,5.707298517E-1,3.387717903E-1,-1.527380496E-1
6.286101667E-1,5.403157473E-1,4.281575978E-1,-1.735700965E-1
6.386331667E-1,4.902438521E-1,4.504010975E-1,-2.272913158E-1
6.486551666E-1,4.232578874E-1,3.529009223E-1,-2.802999318E-1
6.586781667E-1,3.560864627E-1,1.350926906E-1,-3.049407899E-1
6.687001666E-1,3.251107037E-1,-1.273128241E-1,-2.857806981E-1
6.787231667E-1,3.489294946E-1,-3.352615237E-1,-2.305217832E-1
6.887451666E-1,3.602015972E-1,-4.136767089E-1,-1.824032664E-1
6.987681667E-1,3.244589567E-1,-4.037559032E-1,-1.785514802E-1
7.087911667E-1,2.883803248E-1,-4.138250351E-1,-2.029665411E-1
7.188131667E-1,2.525423467E-1,-4.594022632E-1,-2.364762276E-1
7.288361667E-1,2.021683902E-1,-4.803341627E-1,-2.343992293E-1
7.388581666E-1,1.903153211E-1,-4.394509792E-1,-1.945984066E-1
7.488811667E-1,2.353477776E-1,-3.163671494E-1,-1.597312391E-1
7.589041666E-1,3.212538958E-1,-1.179061532E-1,-1.764264554E-1
7.689261667E-1,4.063541591E-1,8.090441674E-2,-2.483989149E-1
7.789491666E-1,4.329624772E-1,1.738674194E-1,-3.551430106E-1
7.889711667E-1,4.215401709E-1,1.524952799E-1,-4.409575164E-1
7.989941667E-1,4.030499756E-1,6.276669353E-2,-4.601327181E-1
8.090171666E-1,3.991409838E-1,-3.344106674E-2,-4.245446324E-1
8.190391667E-1,4.223746061E-1,-1.158554107E-1,-3.774408698E-1
8.290621666E-1,5.187160373E-1,-1.789536923E-1,-3.515925109E-1
8.390841667E-1,6.007021070E-1,-2.669737637E-1,-3.472224772E-1
8.491071666E-1,5.923192501E-1,-4.212331176E-1,-3.498646021E-1
8.591301667E-1,5.792039633E-1,-6.389867663E-1,-3.448073268E-1
8.691518334E-1,6.202200651E-1,-8.619189262E-1,-3.625564873E-1
8.791748333E-1,6.555565000E-1,-1.011107445E0,-4.260334373E-1
8.891968334E-1,6.722167134E-1,-1.087982059E0,-5.149774551E-1
8.992198333E-1,6.965032816E-1,-1.100609779E0,-5.939898491E-1
9.092428334E-1,6.742874980E-1,-1.070603967E0,-6.380941868E-1
9.192648333E-1,6.007956862E-1,-1.017435193E0,-6.297970414E-1
9.292878333E-1,5.164882541E-1,-9.663738608E-1,-5.655754805E-1
9.393098333E-1,4.846333563E-1,-8.977719545E-1,-4.688243866E-1
9.493328333E-1,5.071090460E-1,-7.537415624E-1,-3.878962696E-1
9.593558334E-1,5.511395335E-1,-5.199614167E-1,-3.523824811E-1
9.693778333E-1,5.362221003E-1,-2.571542859E-1,-3.592912555E-1
9.794008334E-1,4.414649010E-1,-5.634171516E-2,-3.902912736E-1
9.894228333E-1,3.486295044E-1,-1.225734130E-3,-4.156496227E-1
9.994458334E-1,2.944397032E-1,-8.366760612E-2,-4.116127789E-1
1.009468833E0,2.856957316E-1,-1.921970099E-1,-3.487195671E-1
1.019490833E0,3.196186125E-1,-1.958216727E-1,-2.219492644E-1
1.029513833E0,3.442355394E-1,-7.817920297E-2,-9.824170172E-2
1.039535833E0,3.221709430E-1,1.441426277E-1,-3.193672746E-2
1.049558833E0,2.730473578E-1,4.109916687E-1,-3.557433933E-2
1.059581833E0,2.047723830E-1,6.076404452E-1,-6.069180742E-2
1.069603833E0,1.243079007E-1,6.636582017E-1,-6.749831140E-2
1.079626833E0,6.980288029E-2,5.933242440E-1,-5.944260210E-2
1.089648833E0,3.816533089E-2,5.015264153E-1,-5.897282064E-2
1.099671833E0,4.620169476E-2,5.096332431E-1,-6.249560043E-2
1.109693833E0,8.848710358E-2,5.903603435E-1,-6.489165127E-2
1.119716833E0,1.099699065E-1,6.349474192E-1,-9.079464525E-2
1.129739833E0,8.962255716E-2,6.138703227E-1,-1.308943927E-1
1.139761833E0,6.976781040E-2,5.359363556E-1,-1.808027029E-1
1.149784833E0,4.292128608E-2,4.011569917E-1,-2.218374908E-1
1.159806833E0,7.975284010E-3,2.726754546E-1,-2.145505548E-1
1.169829833E0,-5.906176288E-3,1.911110729E-1,-1.491550356E-1
1.179852833E0,3.377348930E-2,1.386430860E-1,-6.666999310E-2
1.189874833E0,5.226887763E-2,8.796393871E-2,-3.805219382E-2
1.199897833E0,4.198100045E-2,4.945488274E-2,-7.717923820E-2
1.209919833E0,6.839450449E-2,3.664054722E-2,-1.285129935E-1
1.219942833E0,3.503338248E-2,8.383983374E-2,-1.357510537E-1
1.229965833E0,-2.831974998E-3,1.607479453E-1,-9.537833184E-2
1.239987833E0,-5.093840417E-3,2.023873180E-1,-3.026530705E-2
1.250010833E0,6.762818433E-3,2.117134482E-1,2.947738394E-2
1.260032833E0,-2.217532508E-2,2.304395437E-1,7.631135732E-2
1.270055833E0,-2.619802952E-2,2.395073473E-1,9.360326082E-2
1.280078833E0,6.334357895E-4,2.512119114E-1,7.613431662E-2
1.290100833E0,-1.954293810E-2,2.601465285E-1,3.039958142E-2
1.300123833E0,-9.697175771E-2,2.317807823E-1,5.919977557E-3
1.310145833E0,-1.652786434E-1,1.904570311E-1,4.341329262E-2
