"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.209166652E-3,3.541284422E-1,5.742235841E-1,-3.816145937E-1,6.318469240E-1,1.385199238E2,-5.688552478E1,-8.482507879E1,1.741164124E2
1.723216672E-2,3.535768453E-1,5.746520490E-1,-3.811509784E-1,6.320460889E-1,1.385875046E2,-5.699739499E1,-8.483875897E1,1.743251017E2
2.725416666E-2,3.528978490E-1,5.752341391E-1,-3.809100249E-1,6.320414633E-1,1.386706734E2,-5.754046142E1,-8.486611001E1,1.749561759E2
3.727716662E-2,3.521128745E-1,5.759069398E-1,-3.809590311E-1,6.318369984E-1,1.387667949E2,-5.853939363E1,-8.489917376E1,1.760258515E2
4.729916668E-2,3.515186567E-1,5.763922186E-1,-3.810255389E-1,6.316852170E-1,1.388395378E2,-5.931788994E1,-8.492001542E1,1.768549843E2
5.732216663E-2,3.511797749E-1,5.766886900E-1,-3.810332833E-1,6.315984156E-1,1.388810152E2,-5.974774717E1,-8.493403261E1,1.773166397E2
6.734516670E-2,3.509312244E-1,5.769585036E-1,-3.811169975E-1,6.314396590E-1,1.389114329E2,-6.019656771E1,-8.495156870E1,1.777815371E2
7.736716664E-2,3.506348267E-1,5.773178371E-1,-3.813487314E-1,6.311358856E-1,1.389477023E2,-6.091746620E1,-8.497743860E1,1.785092666E2
8.739016671E-2,3.503103803E-1,5.777208769E-1,-3.816615980E-1,6.307579126E-1,1.389873989E2,-6.179125715E1,-8.500616343E1,1.793849904E2
9.741216665E-2,3.500596381E-1,5.780024705E-1,-3.819436763E-1,6.304684165E-1,1.390180742E2,-6.249185321E1,-8.502374665E1,-1.799169816E2
1.074351667E-1,3.498759200E-1,5.782005080E-1,-3.821107991E-1,6.302875643E-1,1.390405480E2,-6.295545080E1,-8.503510722E1,-1.794515471E2
1.174581667E-1,3.497369092E-1,5.784405133E-1,-3.821282269E-1,6.301339918E-1,1.390575517E2,-6.326894804E1,-8.505556273E1,-1.791260440E2
1.274801666E-1,3.496058535E-1,5.788319310E-1,-3.820663131E-1,6.298847142E-1,1.390735815E2,-6.363689454E1,-8.509645539E1,-1.787386891E2
1.375031667E-1,3.494589823E-1,5.793554054E-1,-3.819901854E-1,6.295309652E-1,1.390915447E2,-6.413373139E1,-8.515317316E1,-1.782192070E2
1.475251666E-1,3.492904055E-1,5.799566302E-1,-3.818630283E-1,6.291480084E-1,1.391121614E2,-6.467265037E1,-8.521813985E1,-1.776506469E2
1.575481667E-1,3.490131424E-1,5.806894691E-1,-3.816238977E-1,6.287708152E-1,1.391460672E2,-6.528296920E1,-8.529113227E1,-1.769895036E2
1.675711666E-1,3.486874842E-1,5.815412042E-1,-3.811873933E-1,6.284290358E-1,1.391858864E2,-6.582655501E1,-8.537607502E1,-1.763716619E2
1.775931667E-1,3.483786005E-1,5.824249920E-1,-3.804775034E-1,6.282120112E-1,1.392236498E2,-6.608206063E1,-8.546787897E1,-1.760174644E2
1.876161667E-1,3.479974034E-1,5.833830110E-1,-3.796526685E-1,6.280334982E-1,1.392702476E2,-6.632667239E1,-8.556405965E1,-1.756565919E2
