"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.673120831E-2,1.944481768E-2,-1.056062058E-3,-6.113098934E-2
2.675420826E-2,1.244443282E-2,1.222141981E-1,-8.723689616E-2
3.677620832E-2,2.328532562E-2,1.820488721E-1,-9.479109943E-2
4.679920827E-2,3.471827507E-2,1.866044849E-1,-7.974317670E-2
5.682120833E-2,4.403323308E-2,1.504320502E-1,-5.096430331E-2
6.684420828E-2,4.898085445E-2,1.024165899E-1,-2.235156670E-2
7.686720823E-2,4.511084035E-2,5.240004510E-2,3.925808705E-3
8.688920829E-2,3.675464168E-2,2.504272573E-2,1.359494776E-2
9.691220825E-2,2.004556730E-2,3.382749483E-2,2.226233110E-2
1.069352083E-1,7.471985649E-3,5.079928786E-2,2.873061597E-2
1.169572083E-1,1.551248133E-4,6.949798018E-2,2.200218849E-2
1.269802083E-1,4.872382153E-3,8.081082255E-2,9.750848636E-3
1.370022083E-1,1.891226135E-2,8.055019379E-2,-3.158999141E-3
1.470252083E-1,3.825373203E-2,6.803413481E-2,-6.193937268E-3
1.570472083E-1,6.019391865E-2,4.032260925E-2,7.289647125E-3
1.670702082E-1,7.219758630E-2,3.849022556E-3,2.379805036E-2
1.770932083E-1,7.628791779E-2,-2.400160208E-2,3.139530867E-2
1.871152082E-1,6.774183363E-2,-3.549873456E-2,2.326281182E-2
1.971382083E-1,5.558648333E-2,-3.685443476E-2,1.582533307E-2
2.071612083E-1,4.774320871E-2,-3.845712543E-2,2.238443308E-2
2.171832083E-1,4.181250185E-2,-3.396581858E-2,2.994761430E-2
2.272062083E-1,3.276840597E-2,-2.675637603E-2,3.089383431E-2
2.372282083E-1,2.706564590E-2,-3.272219002E-2,3.155203909E-2
2.472512083E-1,2.748242952E-2,-5.440617725E-2,2.655674890E-2
2.572742082E-1,2.652882785E-2,-9.883175045E-2,2.139718644E-2
2.672962083E-1,1.541545708E-2,-1.580918878E-1,9.580208920E-3
2.773192083E-1,-1.180574112E-2,-2.295222282E-1,1.867825165E-2
2.873412083E-1,-2.186955884E-2,-2.181960642E-1,1.156455427E-1
2.973642083E-1,-5.183596164E-2,-8.090323210E-2,1.595775038E-1
3.073872083E-1,-5.180346966E-2,6.739888340E-2,1.234149784E-1
3.174092083E-1,-4.555455223E-2,1.951080561E-1,8.152803034E-2
3.274322082E-1,-2.238105796E-2,2.230321020E-1,2.362398431E-2
3.374542083E-1,1.335998997E-2,1.966328770E-1,-2.981742658E-2
3.474772082E-1,5.213987827E-2,1.616583914E-1,-5.340397730E-2
3.575002083E-1,7.908689976E-2,1.142063364E-1,-5.517713726E-2
3.675222083E-1,8.250986040E-2,6.827000529E-2,-4.426962882E-2
3.775452083E-1,6.753930449E-2,1.422694512E-2,-3.312442452E-2
3.875672083E-1,4.679087922E-2,-4.479695857E-2,-2.963222004E-2
3.975902083E-1,3.139839694E-2,-1.034237966E-1,-2.352656424E-2
4.076132083E-1,1.971138269E-2,-1.602399498E-1,-9.089302272E-3
4.176352082E-1,1.293894462E-2,-2.023539245E-1,9.543029591E-3
4.276582083E-1,5.988627207E-3,-2.289511710E-1,2.719046548E-2
4.376802082E-1,-9.757489897E-4,-2.462809086E-1,3.687407821E-2
4.477032083E-1,-1.786681358E-3,-2.622625530E-1,3.088755719E-2
4.577262083E-1,1.009830367E-2,-2.766068280E-1,2.042212337E-2
4.677482083E-1,2.120927721E-2,-2.807690799E-1,1.199774537E-2
4.777712083E-1,2.739393711E-2,-2.630492151E-1,9.163609706E-3
