"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.673120831E-2,3.374179754E-2,-7.589963584E-1,1.993672586E-1,-6.189013087E-1,1.761327408E2,-1.278594084E2,-6.782474177E1,-6.584893766E1
2.675420826E-2,3.350048576E-2,-7.588695807E-1,1.990464368E-1,-6.191728819E-1,1.761604087E2,-1.278444510E2,-6.788142709E1,-6.585588614E1
3.677620832E-2,3.312464124E-2,-7.584728735E-1,1.986684006E-1,-6.198004274E-1,1.762035012E2,-1.277393499E2,-6.797831107E1,-6.595858157E1
4.679920827E-2,3.277749872E-2,-7.579715999E-1,1.982751494E-1,-6.205576166E-1,1.762433024E2,-1.275870504E2,-6.808401724E1,-6.610459876E1
5.682120833E-2,3.255711285E-2,-7.574977429E-1,1.979326220E-1,-6.212567907E-1,1.762685703E2,-1.274267658E2,-6.817335185E1,-6.625266455E1
6.684420828E-2,3.249136377E-2,-7.571299063E-1,1.976643784E-1,-6.217936573E-1,1.762761086E2,-1.272869598E2,-6.823497947E1,-6.637417362E1
7.686720823E-2,3.256931436E-2,-7.568870140E-1,1.975001321E-1,-6.221374280E-1,1.762671714E2,-1.271772766E2,-6.826562816E1,-6.646303909E1
8.688920829E-2,3.272057940E-2,-7.567552208E-1,1.974094743E-1,-6.223186173E-1,1.762498284E2,-1.271024898E2,-6.827436072E1,-6.651754105E1
9.691220825E-2,3.285403740E-2,-7.566475567E-1,1.973894334E-1,-6.224489143E-1,1.762345270E2,-1.270396278E2,-6.827618728E1,-6.656763020E1
1.069352083E-1,3.294239826E-2,-7.564888949E-1,1.974483758E-1,-6.226182393E-1,1.762243961E2,-1.269614687E2,-6.827926809E1,-6.664322986E1
1.169572083E-1,3.297558891E-2,-7.562725762E-1,1.975457561E-1,-6.228483400E-1,1.762205907E2,-1.268668869E2,-6.828842599E1,-6.674293485E1
1.269802083E-1,3.295491588E-2,-7.560205591E-1,1.976116527E-1,-6.231345382E-1,1.762229609E2,-1.267651162E2,-6.830742712E1,-6.685150348E1
1.370022083E-1,3.292684608E-2,-7.557615246E-1,1.975975756E-1,-6.234546013E-1,1.762261792E2,-1.266617686E2,-6.833425607E1,-6.695539276E1
1.470252083E-1,3.294621255E-2,-7.555252283E-1,1.974978773E-1,-6.237714403E-1,1.762239588E2,-1.265615740E2,-6.836267958E1,-6.704503165E1
1.570472083E-1,3.307718389E-2,-7.553456616E-1,1.973466754E-1,-6.240298637E-1,1.762089424E2,-1.264696712E2,-6.838205687E1,-6.711307890E1
1.670702082E-1,3.335590100E-2,-7.552515899E-1,1.972037133E-1,-6.241739216E-1,1.761769862E2,-1.263929173E2,-6.838201368E1,-6.715475559E1
1.770932083E-1,3.374192398E-2,-7.552419382E-1,1.970725102E-1,-6.242063747E-1,1.761327263E2,-1.263365461E2,-6.836546859E1,-6.716856307E1
1.871152082E-1,3.413610238E-2,-7.552979514E-1,1.969414756E-1,-6.241585169E-1,1.760875307E2,-1.263064554E2,-6.834235850E1,-6.715554449E1
1.971382083E-1,3.446507961E-2,-7.553798216E-1,1.968110522E-1,-6.240824208E-1,1.760498105E2,-1.262960811E2,-6.832166538E1,-6.712819853E1
2.071612083E-1,3.475146744E-2,-7.554692783E-1,1.967144306E-1,-6.239887284E-1,1.760169732E2,-1.262945288E2,-6.830059301E1,-6.709841419E1
2.171832083E-1,3.503564257E-2,-7.555492941E-1,1.966702396E-1,-6.238899572E-1,1.759843893E2,-1.262891165E2,-6.827610623E1,-6.707712578E1
2.272062083E-1,3.530542455E-2,-7.556052651E-1,1.966645919E-1,-6.238085717E-1,1.759534554E2,-1.262755501E2,-6.825152703E1,-6.706830920E1
2.372282083E-1,3.554336458E-2,-7.556581805E-1,1.966851807E-1,-6.237245519E-1,1.759261724E2,-1.262649501E2,-6.822741507E1,-6.706142328E1
