"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.581970824E-2,5.888717318E-1,2.446939268E-1,-2.592243729E-1,7.253673142E-1,1.078460326E2,-6.719795020E0,-4.132167040E1,1.043952987E2
3.584070830E-2,5.892789810E-1,2.431529386E-1,-2.580687636E-1,7.259665318E-1,1.077882816E2,-6.714632648E0,-4.108597652E1,1.043851042E2
4.586170835E-2,5.897409210E-1,2.416253781E-1,-2.569340341E-1,7.265037250E-1,1.077227493E2,-6.706628948E0,-4.085390437E1,1.043641445E2
5.588270829E-2,5.902147991E-1,2.404954263E-1,-2.559976944E-1,7.268243150E-1,1.076554950E2,-6.681672706E0,-4.067617546E1,1.043227222E2
6.590470835E-2,5.905379706E-1,2.398230800E-1,-2.554212296E-1,7.269868438E-1,1.076096129E2,-6.662116995E0,-4.056937717E1,1.042902371E2
7.592570828E-2,5.906177283E-1,2.394051387E-1,-2.551574878E-1,7.271524651E-1,1.075982873E2,-6.667972599E0,-4.050912514E1,1.042936280E2
8.594670834E-2,5.904855399E-1,2.390845889E-1,-2.550372237E-1,7.274073850E-1,1.076170577E2,-6.693912180E0,-4.046740657E1,1.043326600E2
9.596770827E-2,5.901979614E-1,2.388583288E-1,-2.550193271E-1,7.277211788E-1,1.076578852E2,-6.732124976E0,-4.044127273E1,1.043965225E2
1.059887083E-1,5.897771041E-1,2.388069604E-1,-2.551792659E-1,7.280230978E-1,1.077176151E2,-6.781619866E0,-4.044454309E1,1.044782640E2
1.160107083E-1,5.891877858E-1,2.390045718E-1,-2.555818677E-1,7.282941231E-1,1.078012156E2,-6.844812603E0,-4.048904751E1,1.045815164E2
1.260317083E-1,5.884237688E-1,2.395028028E-1,-2.562056279E-1,7.285289443E-1,1.079095327E2,-6.915339636E0,-4.057813431E1,1.047044775E2
1.360527083E-1,5.875495167E-1,2.403111478E-1,-2.570138675E-1,7.286836654E-1,1.080333868E2,-6.984431323E0,-4.071057823E1,1.048344509E2
1.460737083E-1,5.866827668E-1,2.412798384E-1,-2.579486549E-1,7.287316706E-1,1.081560821E2,-7.052062351E0,-4.086845590E1,1.049570336E2
1.560947082E-1,5.859277165E-1,2.422059707E-1,-2.589066133E-1,7.286922528E-1,1.082628880E2,-7.119002290E0,-4.102500604E1,1.050621986E2
1.661167083E-1,5.853199537E-1,2.430542761E-1,-2.598110267E-1,7.285763542E-1,1.083488070E2,-7.177855283E0,-4.117128989E1,1.051439228E2
1.761377082E-1,5.848633663E-1,2.439374765E-1,-2.606068303E-1,7.283634810E-1,1.084133239E2,-7.211924768E0,-4.131429433E1,1.051943436E2
1.861587083E-1,5.846107013E-1,2.449544101E-1,-2.612638009E-1,7.279896753E-1,1.084490148E2,-7.204987878E0,-4.146204698E1,1.051978076E2
1.961797083E-1,5.847032610E-1,2.459384719E-1,-2.617696303E-1,7.274016372E-1,1.084359409E2,-7.161016919E0,-4.159854382E1,1.051368048E2
2.062007083E-1,5.852666485E-1,2.465869545E-1,-2.620168525E-1,7.266394852E-1,1.083563405E2,-7.087699610E0,-4.168685843E1,1.050025338E2
2.162227083E-1,5.862662505E-1,2.465518494E-1,-2.618462387E-1,7.259066727E-1,1.082150095E2,-7.003192163E0,-4.168006155E1,1.048177165E2
2.262437083E-1,5.875303715E-1,2.457644745E-1,-2.612294493E-1,7.253737153E-1,1.080360979E2,-6.923645133E0,-4.156755512E1,1.046177268E2
2.362647083E-1,5.888169883E-1,2.444038182E-1,-2.602782667E-1,7.251320874E-1,1.078537940E2,-6.861628794E0,-4.137332995E1,1.044395022E2
2.462857083E-1,5.899670863E-1,2.426613812E-1,-2.591080614E-1,7.252014664E-1,1.076906548E2,-6.822519577E0,-4.112372580E1,1.043036264E2
2.563067083E-1,5.909001754E-1,2.408216541E-1,-2.578584666E-1,7.255004983E-1,1.075581731E2,-6.799633182E0,-4.085672113E1,1.042114244E2
2.663287083E-1,5.916330037E-1,2.392608536E-1,-2.566832202E-1,7.258363454E-1,1.074540461E2,-6.772508035E0,-4.062103889E1,1.041418511E2
2.763497083E-1,5.923288850E-1,2.382791613E-1,-2.556711137E-1,7.259489249E-1,1.073551046E2,-6.711477932E0,-4.045418277E1,1.040508103E2
2.863707083E-1,5.931534776E-1,2.380450257E-1,-2.548800693E-1,7.256305160E-1,1.072377813E2,-6.595896084E0,-4.037830273E1,1.039004025E2
2.963917083E-1,5.942691099E-1,2.384991270E-1,-2.544578732E-1,7.247161770E-1,1.070789077E2,-6.435312934E0,-4.040010215E1,1.036662123E2
3.064127082E-1,5.956890741E-1,2.396343899E-1,-2.544558547E-1,7.231750828E-1,1.068764595E2,-6.233470717E0,-4.052263383E1,1.033455282E2
3.164347083E-1,5.972420011E-1,2.414495408E-1,-2.548342366E-1,7.211544101E-1,1.066547503E2,-5.995755856E0,-4.074096028E1,1.029666387E2
3.264557082E-1,5.984223658E-1,2.440808113E-1,-2.558203879E-1,7.189374859E-1,1.064860174E2,-5.764657068E0,-4.108173386E1,1.026155707E2
3.364762083E-1,5.988316591E-1,2.474593317E-1,-2.576271100E-1,7.167933440E-1,1.064274657E2,-5.594749365E0,-4.155241629E1,1.023711433E2
3.464972083E-1,5.984728050E-1,2.514971140E-1,-2.603228768E-1,7.147107154E-1,1.064788030E2,-5.501925876E0,-4.215106877E1,1.022385324E2
3.565182083E-1,5.975790337E-1,2.559181297E-1,-2.635711124E-1,7.126958484E-1,1.066065905E2,-5.463566695E0,-4.282744746E1,1.021859114E2
3.665392083E-1,5.964751708E-1,2.603701162E-1,-2.669343739E-1,7.107536742E-1,1.067642694E2,-5.447215606E0,-4.351602958E1,1.021677176E2
3.765612083E-1,5.957471525E-1,2.639759882E-1,-2.698733174E-1,7.089219459E-1,1.068681735E2,-5.441916697E0,-4.409333565E1,1.021207506E2
3.865822083E-1,5.956921772E-1,2.665084808E-1,-2.720126343E-1,7.072008530E-1,1.068760168E2,-5.408772522E0,-4.450902843E1,1.019981720E2
3.966032083E-1,5.962077596E-1,2.682405591E-1,-2.732611812E-1,7.056286491E-1,1.068024430E2,-5.318032545E0,-4.478087499E1,1.018011852E2
4.066242083E-1,5.970895033E-1,2.693209453E-1,-2.737148560E-1,7.042944168E-1,1.066765363E2,-5.181124542E0,-4.492875784E1,1.015620509E2
4.166452083E-1,5.987890433E-1,2.694493305E-1,-2.737268619E-1,7.027961701E-1,1.064335632E2,-5.031245552E0,-4.495451452E1,1.012201602E2
4.266672083E-1,6.006789554E-1,2.689031502E-1,-2.731393763E-1,7.016201413E-1,1.061629205E2,-4.875107556E0,-4.486784106E1,1.008780305E2
4.366882083E-1,6.027218711E-1,2.680375688E-1,-2.722124101E-1,7.005588257E-1,1.058698259E2,-4.706425950E0,-4.472372059E1,1.005233483E2
4.467092083E-1,6.043020935E-1,2.675513847E-1,-2.710047967E-1,6.998511275E-1,1.056427245E2,-4.507089758E0,-4.459008352E1,1.002294258E2
4.567302082E-1,6.058758041E-1,2.675447893E-1,-2.698706875E-1,6.989306087E-1,1.054162191E2,-4.265559029E0,-4.450782956E1,9.990459638E1
4.667512083E-1,6.072876867E-1,2.682224556E-1,-2.691941171E-1,6.977054367E-1,1.052127152E2,-4.010364937E0,-4.452633926E1,9.956923775E1
4.767732084E-1,6.084087349E-1,2.697550294E-1,-2.691402655E-1,6.961570194E-1,1.050509343E2,-3.748074805E0,-4.467450047E1,9.923662100E1
4.867942083E-1,6.091454539E-1,2.722941443E-1,-2.698269861E-1,6.942558673E-1,1.049445213E2,-3.478787964E0,-4.497606896E1,9.891255603E1
4.968152083E-1,6.100320655E-1,2.756971049E-1,-2.714827009E-1,6.914832684E-1,1.048163569E2,-3.193072836E0,-4.543919227E1,9.849926722E1
5.068362083E-1,6.100419121E-1,2.802740556E-1,-2.736322187E-1,6.887820084E-1,1.048149329E2,-2.889686373E0,-4.605032754E1,9.816682863E1
