"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.164408331E-2,3.417668313E-1,5.402768791E-2,-4.465986371E-2
2.166608337E-2,-1.055603689E-1,-2.225368416E-1,1.986597365E-1
3.168708330E-2,-4.672276139E-1,-2.122889384E-1,3.338994026E-2
4.170808336E-2,-7.330794597E-1,-1.290692456E-1,-1.354092354E-1
5.173008330E-2,-7.119411904E-1,-1.368405607E-1,-1.478439242E-1
6.175108335E-2,-5.720459712E-1,-1.437209062E-2,3.275025487E-2
7.177308330E-2,-2.239144456E-1,-4.106360681E-2,9.477693379E-2
8.179408335E-2,3.163489848E-1,-1.715266825E-1,3.602352619E-2
9.181508329E-2,6.626988637E-1,-8.428995252E-2,-4.845236778E-2
1.018370833E-1,7.115675533E-1,5.208516978E-2,-1.281569338E-1
1.118580833E-1,3.677389938E-1,1.758500406E-1,-2.066142887E-1
1.218790833E-1,3.423544765E-3,4.846895926E-2,-2.931793928E-1
1.319010834E-1,-1.573140746E-1,-4.970447592E-2,-1.947315770E-1
1.419220833E-1,-1.280610394E-1,-1.211636639E-1,-6.851708829E-2
1.519440834E-1,1.300479233E-2,-1.342857660E-1,-3.134107590E-3
1.619650833E-1,1.712883353E-1,-2.864010081E-2,1.137786305E-1
1.719860834E-1,2.975291365E-1,1.312568352E-2,1.771191788E-1
1.820080833E-1,1.348139888E-1,1.534106196E-1,2.403521383E-1
1.920290834E-1,1.353279591E-2,1.700707258E-1,2.521670222E-1
2.020510833E-1,9.861738503E-2,1.710781279E-1,2.328741342E-1
2.120720834E-1,1.428088868E-1,2.163642284E-1,1.527456450E-1
2.220930833E-1,1.192288202E-1,2.629549889E-1,4.023702979E-2
2.321150834E-1,1.210800487E-1,2.365583186E-1,9.305902183E-2
2.421360833E-1,7.490692556E-2,1.952682053E-1,1.868401748E-1
2.521580834E-1,-2.353621244E-2,1.747597542E-1,1.793668485E-1
2.621790833E-1,3.051895738E-2,1.259156229E-1,1.726115602E-1
2.722000834E-1,-1.124483889E-1,2.485802671E-1,2.683953846E-1
2.822220833E-1,-1.387976968E-1,2.163418628E-1,3.821161276E-1
2.922430834E-1,-5.100818574E-2,-2.926341400E-2,4.608442086E-1
3.022650833E-1,-1.908981425E-1,-2.703949861E-1,5.298197186E-1
3.122860834E-1,-5.185597354E-1,-5.008303197E-1,6.191242433E-1
3.223070833E-1,-8.028618854E-1,-6.917454191E-1,8.495127261E-1
3.323290834E-1,-8.731214440E-1,-8.448642627E-1,9.401521701E-1
3.423500833E-1,-3.350665069E-1,-1.054450253E0,6.886400360E-1
3.523720833E-1,-6.143698722E-1,-8.219088981E-1,2.839290977E-2
3.623930833E-1,-1.690757489E0,-4.963072792E-1,-6.854345924E-1
3.724144583E-1,-3.019164194E0,-2.737395935E-1,-9.542638403E-1
3.824364584E-1,-4.104793335E0,-3.658743898E-1,-1.044538418E0
3.924574583E-1,-4.766902800E0,-6.955498369E-1,-6.975751662E-1
4.024784584E-1,-4.974734479E0,-4.689936192E-1,-6.314618683E-1
