"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
9.944749996E-3,8.714211906E0,-2.468119594E-1,-4.498637223E0
1.996674994E-2,8.718830037E0,-2.480629712E-1,-4.489606783E0
2.998875000E-2,8.726747752E0,-2.488233468E-1,-4.474154347E0
4.001174995E-2,8.735769421E0,-2.482976638E-1,-4.456547503E0
5.003375001E-2,8.743574284E0,-2.473981610E-1,-4.441262881E0
6.005574996E-2,8.749092886E0,-2.457908894E-1,-4.430471260E0
7.007775002E-2,8.752836274E0,-2.440477978E-1,-4.423171012E0
8.009974996E-2,8.755095053E0,-2.430423691E-1,-4.418751686E0
9.012275003E-2,8.755471614E0,-2.423932368E-1,-4.418041542E0
1.001447500E-1,8.753761888E0,-2.421115289E-1,-4.421442282E0
1.101667500E-1,8.750328403E0,-2.422148419E-1,-4.428225345E0
1.201887500E-1,8.746035962E0,-2.412395629E-1,-4.436748831E0
1.302107500E-1,8.741823043E0,-2.382346239E-1,-4.445205367E0
1.402337500E-1,8.738032293E0,-2.347337498E-1,-4.452840953E0
1.502557499E-1,8.735399877E0,-2.318509080E-1,-4.458153441E0
1.602777500E-1,8.734187164E0,-2.304891280E-1,-4.460604301E0
1.702997499E-1,8.734404096E0,-2.306570527E-1,-4.460167514E0
1.803217500E-1,8.735578217E0,-2.317833361E-1,-4.457809040E0
1.903447499E-1,8.736885654E0,-2.325432549E-1,-4.455202059E0
2.003667500E-1,8.737417166E0,-2.318190772E-1,-4.454198384E0
2.103887500E-1,8.736881561E0,-2.298340206E-1,-4.455355256E0
2.204107500E-1,8.735565938E0,-2.276592401E-1,-4.458050822E0
2.304327500E-1,8.733867322E0,-2.265142822E-1,-4.461433729E0
2.404557500E-1,8.732058778E0,-2.269039443E-1,-4.464949660E0
2.504777500E-1,8.730708071E0,-2.286082249E-1,-4.467504601E0
2.604997500E-1,8.730160187E0,-2.317240965E-1,-4.468410627E0
2.705217500E-1,8.730376534E0,-2.343907009E-1,-4.467848125E0
2.805437500E-1,8.731700343E0,-2.331938855E-1,-4.465327097E0
2.905667500E-1,8.735451332E0,-2.261221167E-1,-4.458347569E0
3.005887499E-1,8.739502283E0,-2.142027503E-1,-4.450990894E0
3.106107500E-1,8.740111563E0,-2.046197303E-1,-4.450245374E0
3.206327499E-1,8.737165736E0,-2.031512935E-1,-4.456089081E0
3.306547500E-1,8.733243424E0,-2.091739073E-1,-4.463493995E0
3.406777499E-1,8.731453591E0,-2.177749423E-1,-4.466583956E0
3.506997500E-1,8.732556376E0,-2.245500563E-1,-4.464097428E0
3.607217500E-1,8.734414036E0,-2.281673631E-1,-4.460278611E0
3.707437500E-1,8.734811647E0,-2.300011413E-1,-4.459400944E0
3.807657500E-1,8.733276753E0,-2.322345767E-1,-4.462294439E0
3.907887500E-1,8.730191762E0,-2.353172105E-1,-4.468164459E0
4.008107500E-1,8.726075907E0,-2.380768953E-1,-4.476046506E0
4.108327500E-1,8.721565949E0,-2.394438281E-1,-4.484758857E0
4.208547500E-1,8.717091660E0,-2.399223679E-1,-4.493421215E0
4.308777499E-1,8.713247700E0,-2.405696364E-1,-4.500839285E0
4.408997500E-1,8.710878993E0,-2.415092840E-1,-4.505370292E0
4.509217499E-1,8.710017114E0,-2.420192526E-1,-4.507008682E0
4.609437500E-1,8.709824740E0,-2.410869140E-1,-4.507430266E0
4.709657499E-1,8.709374505E0,-2.387222086E-1,-4.508427509E0
4.809887500E-1,8.708053619E0,-2.359552331E-1,-4.511124537E0
4.910106666E-1,8.705649828E0,-2.339388391E-1,-4.515866044E0
5.010326667E-1,8.702319254E0,-2.324394851E-1,-4.522357915E0
5.110546666E-1,8.698550139E0,-2.303627916E-1,-4.529711666E0
5.210766667E-1,8.695155830E0,-2.272296525E-1,-4.536379831E0
5.310996666E-1,8.693191751E0,-2.233781829E-1,-4.540334010E0
5.411216667E-1,8.693345532E0,-2.187398608E-1,-4.540264429E0
5.511436666E-1,8.695759848E0,-2.133445801E-1,-4.535893635E0
5.611656667E-1,8.700324184E0,-2.072981571E-1,-4.527413126E0
5.711876666E-1,8.706554393E0,-2.003625553E-1,-4.515733312E0
5.812106667E-1,8.713647650E0,-1.925567600E-1,-4.502370378E0
5.912326666E-1,8.720987075E0,-1.840886030E-1,-4.488498151E0
6.012546667E-1,8.727958710E0,-1.752085645E-1,-4.475286368E0
6.112766666E-1,8.733338733E0,-1.671276942E-1,-4.465084146E0
6.212986667E-1,8.735151955E0,-1.595227507E-1,-4.461808535E0
6.313216666E-1,8.732009076E0,-1.493282490E-1,-4.468311809E0
6.413436666E-1,8.724467338E0,-1.372792663E-1,-4.483409612E0
6.513656667E-1,8.714089699E0,-1.272755391E-1,-4.503840368E0
6.613876666E-1,8.702248503E0,-1.207384068E-1,-4.526855594E0
6.714096667E-1,8.691805961E0,-1.168173554E-1,-4.546969138E0
6.814326666E-1,8.685702052E0,-1.136643997E-1,-4.558699530E0
6.914546667E-1,8.685284561E0,-1.101121796E-1,-4.559583921E0
7.014766666E-1,8.691570318E0,-1.054693716E-1,-4.547697117E0
7.114986667E-1,8.703939518E0,-9.948238922E-2,-4.524113249E0
7.215206666E-1,8.719405988E0,-9.274752969E-2,-4.494384251E0
7.315436667E-1,8.735033256E0,-8.347798440E-2,-4.464116724E0
7.415656666E-1,8.747932214E0,-6.988028897E-2,-4.439023983E0
7.515876667E-1,8.754108628E0,-5.338479111E-2,-4.427055609E0
7.616096666E-1,8.751033577E0,-3.746390554E-2,-4.433294881E0
7.716326667E-1,8.740103377E0,-2.606724369E-2,-4.454885724E0
7.816546666E-1,8.724447457E0,-2.130072825E-2,-4.485498237E0
7.916766667E-1,8.707041466E0,-2.216583751E-2,-4.519191648E0
8.016986666E-1,8.690829476E0,-2.644950313E-2,-4.550261413E0
8.117206666E-1,8.678315849E0,-3.176261675E-2,-4.574046717E0
8.217436667E-1,8.671853507E0,-3.726141372E-2,-4.586247517E0
8.317656666E-1,8.674254958E0,-4.236622028E-2,-4.581661838E0
8.417876667E-1,8.687231099E0,-4.718897177E-2,-4.556957937E0
8.518096666E-1,8.709924728E0,-5.158130424E-2,-4.513381855E0
8.618316667E-1,8.739595839E0,-5.513461608E-2,-4.455620719E0
8.718546666E-1,8.771348559E0,-5.883558839E-2,-4.392735377E0
8.818766667E-1,8.800505115E0,-6.247566286E-2,-4.333968813E0
8.918986666E-1,8.824666979E0,-6.457265255E-2,-4.284531774E0
9.019206667E-1,8.842220321E0,-6.573469073E-2,-4.248169987E0
9.119426666E-1,8.852069371E0,-6.812824389E-2,-4.227568784E0
9.219656667E-1,8.853776758E0,-7.350949127E-2,-4.223898779E0
9.319876666E-1,8.847520822E0,-8.092357342E-2,-4.236851824E0
9.420096667E-1,8.835459770E0,-8.732798304E-2,-4.261820312E0
9.520316666E-1,8.819009213E0,-9.051220310E-2,-4.295689723E0
9.620536666E-1,8.798042852E0,-8.850303585E-2,-4.338513269E0
9.720766667E-1,8.772937247E0,-7.978231570E-2,-4.389228217E0
9.820986666E-1,8.745305645E0,-6.505294649E-2,-4.444269520E0
9.921206667E-1,8.717381682E0,-4.631111284E-2,-4.499022262E0
1.002142667E0,8.690881516E0,-2.527416939E-2,-4.550169904E0
1.012165667E0,8.669055614E0,-2.912358217E-3,-4.591685428E0
1.022187667E0,8.657013858E0,1.888929883E-2,-4.614308890E0
1.032209667E0,8.658409004E0,3.772329351E-2,-4.611575901E0
1.042231667E0,8.673293676E0,5.318687200E-2,-4.583368056E0
1.052253667E0,8.698482311E0,6.704632170E-2,-4.535194016E0
1.062276667E0,8.729221709E0,8.239775699E-2,-4.475490435E0
1.072298667E0,8.759602672E0,1.008922991E-1,-4.415346268E0
1.082320667E0,8.784170918E0,1.220939467E-1,-4.365720364E0
1.092342667E0,8.800198136E0,1.449819131E-1,-4.332620738E0
1.102364667E0,8.806821277E0,1.684839924E-1,-4.318292428E0
1.112387667E0,8.804923271E0,1.919402076E-1,-4.321178321E0
1.122409667E0,8.796995616E0,2.143960008E-1,-4.336241918E0
1.132431667E0,8.785650263E0,2.343020425E-1,-4.358156113E0
1.142453667E0,8.772356034E0,2.504228709E-1,-4.383968354E0
1.152475667E0,8.758509243E0,2.621072706E-1,-4.410886011E0
1.162498667E0,8.746036547E0,2.700222992E-1,-4.435092022E0
1.172520667E0,8.735811521E0,2.756738341E-1,-4.454847133E0
1.182542667E0,8.727569286E0,2.816809711E-1,-4.470603917E0
1.192564667E0,8.721933154E0,2.900508035E-1,-4.481054061E0
1.202586667E0,8.720503510E0,3.004610401E-1,-4.483151750E0
1.212609667E0,8.724226432E0,3.105334903E-1,-4.475215616E0
1.222631667E0,8.733289032E0,3.172486521E-1,-4.457031945E0
1.232653667E0,8.746379778E0,3.194845177E-1,-4.431124102E0
1.242675667E0,8.761279653E0,3.181466382E-1,-4.401689511E0
1.252697667E0,8.776012298E0,3.133202368E-1,-4.372590550E0
1.262720667E0,8.789430488E0,3.047902638E-1,-4.346161135E0
1.272742667E0,8.801486278E0,2.936981505E-1,-4.322466463E0
1.282764667E0,8.812768480E0,2.813300651E-1,-4.300243535E0
1.292786667E0,8.823120391E0,2.684914799E-1,-4.279785882E0
1.302809667E0,8.831422268E0,2.564355262E-1,-4.263367192E0
1.312831667E0,8.836519870E0,2.451667722E-1,-4.253456747E0
1.322853667E0,8.839061070E0,2.335366603E-1,-4.248827214E0
1.332875667E0,8.841743773E0,2.202288908E-1,-4.243958237E0
1.342897667E0,8.847978074E0,2.037444022E-1,-4.231772347E0
1.352920667E0,8.860289971E0,1.843539570E-1,-4.206825787E0
1.362942667E0,8.879491643E0,1.629660664E-1,-4.167037823E0
1.372964667E0,8.904881423E0,1.409962408E-1,-4.113311851E0
1.382986667E0,8.934365423E0,1.201212972E-1,-4.049541240E0
1.393008667E0,8.964781469E0,1.014594333E-1,-3.982276041E0
1.403031667E0,8.992186784E0,8.564386616E-2,-3.920373908E0
1.413053667E0,9.012790033E0,7.193540711E-2,-3.873051222E0
1.423075667E0,9.024682100E0,5.864823994E-2,-3.845490371E0
1.433097667E0,9.027798082E0,4.316248314E-2,-3.838378403E0
1.443119667E0,9.023319114E0,2.426514553E-2,-3.849056295E0
1.453142667E0,9.013429719E0,1.666769236E-3,-3.872231735E0
1.463164667E0,9.000304474E0,-2.502264547E-2,-3.902560365E0
1.473186667E0,8.985655444E0,-5.707873306E-2,-3.935840378E0
1.483208750E0,8.971570086E0,-9.494320485E-2,-3.967119181E0
1.493230750E0,8.959685036E0,-1.374923608E-1,-3.992648417E0
1.503253750E0,8.950323644E0,-1.824477829E-1,-4.011798633E0
1.513275750E0,8.943243250E0,-2.270360914E-1,-4.025285236E0
1.523297750E0,8.938408772E0,-2.699233351E-1,-4.033373397E0
1.533319750E0,8.936061115E0,-3.122173423E-1,-4.035523126E0
1.543342750E0,8.937736927E0,-3.552257695E-1,-4.028249189E0
1.553364750E0,8.944641904E0,-3.990975017E-1,-4.008767729E0
1.563386750E0,8.955113098E0,-4.450609656E-1,-3.980444985E0
1.573408750E0,8.965481381E0,-4.956875839E-1,-3.951019165E0
1.583430750E0,8.972739530E0,-5.531861791E-1,-3.926834496E0
1.593453750E0,8.974451010E0,-6.181174258E-1,-3.913214869E0
