"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.590983391E-3,5.238264099E1,4.862777985E0,-1.586831296E0,NaN,NaN,5.841232908E2,3.004461898E1
4.929697514E-2,5.238256681E1,4.863933720E0,-1.586831296E0,NaN,NaN,5.983261750E2,3.004951303E1
5.179120302E-1,5.238117657E1,4.860460042E0,2.495996735E0,NaN,NaN,2.398075966E1,3.000000000E1
4.002372026E0,5.238121320E1,4.860635750E0,2.662624359E0,NaN,NaN,7.764554487E1,9.600000000E1
5.002362013E0,5.238113265E1,4.860513406E0,4.299160004E0,0.000000000E0,NaN,3.488631373E1,6.400000000E1
6.002352118E0,5.238099462E1,4.860575858E0,3.141746521E-1,0.000000000E0,NaN,3.677386143E1,4.000000000E0
7.002342105E0,5.238098630E1,4.860610172E0,3.437156677E-1,0.000000000E0,NaN,2.432898532E1,4.000000000E0
8.002331734E0,5.238103681E1,4.860743177E0,5.865745544E-1,0.000000000E0,NaN,1.541384940E1,4.000000000E0
9.002322316E0,5.238102461E1,4.860738978E0,5.871849060E-1,0.000000000E0,NaN,1.399999941E1,4.000000000E0
1.000348437E1,5.238105808E1,4.860709653E0,1.565456390E0,0.000000000E0,NaN,1.400000000E1,4.000000000E0
1.100348425E1,5.238107631E1,4.860749384E0,2.120326996E0,0.000000000E0,NaN,1.400000000E1,4.000000000E0
1.200347507E1,5.238108981E1,4.860727843E0,2.806240082E0,0.000000000E0,NaN,1.400000000E1,4.000000000E0
1.300347817E1,5.238109917E1,4.860686146E0,3.113674164E0,0.000000000E0,NaN,1.221146108E1,4.000000000E0
1.400348401E1,5.238106351E1,4.860722973E0,3.016689301E0,0.000000000E0,NaN,1.385380890E1,4.000000000E0
1.500347567E1,5.238107446E1,4.860720133E0,3.442958832E0,0.000000000E0,NaN,1.399960620E1,4.000000000E0
1.600348175E1,5.238107439E1,4.860720297E0,3.442958900E0,0.000000000E0,NaN,7.584470305E0,4.000000000E0
1.700348938E1,5.238107636E1,4.860718240E0,3.560024330E0,0.000000000E0,NaN,7.948241721E0,4.000000000E0
1.800348258E1,5.238108987E1,4.860718204E0,4.288173744E0,0.000000000E0,NaN,7.772557763E0,4.000000000E0
1.900348556E1,5.238109233E1,4.860722664E0,4.741298744E0,0.000000000E0,NaN,7.255430844E0,4.000000000E0
2.000349033E1,5.238109096E1,4.860721239E0,5.673915931E0,0.000000000E0,NaN,6.769350623E0,4.000000000E0
2.100348473E1,5.238109686E1,4.860720891E0,5.836574623E0,0.000000000E0,NaN,6.845589155E0,4.000000000E0
2.200348866E1,5.238110434E1,4.860722541E0,6.288051672E0,0.000000000E0,NaN,6.790415000E0,4.000000000E0
2.300349879E1,5.238110415E1,4.860725126E0,6.711513586E0,0.000000000E0,NaN,6.958386749E0,4.000000000E0
2.400349116E1,5.238110938E1,4.860730357E0,6.667079994E0,0.000000000E0,NaN,6.839225299E0,4.000000000E0
2.500348186E1,5.238110691E1,4.860730274E0,6.526332924E0,0.000000000E0,NaN,7.189223939E0,4.000000000E0
2.600347197E1,5.238110858E1,4.860731615E0,6.490444251E0,0.000000000E0,NaN,7.191067274E0,4.000000000E0
2.700346100E1,5.238110381E1,4.860730777E0,6.834865638E0,0.000000000E0,NaN,6.635136837E0,4.000000000E0
2.800345194E1,5.238111244E1,4.860740332E0,6.256862707E0,0.000000000E0,NaN,6.748880310E0,4.000000000E0
2.900344241E1,5.238111751E1,4.860753324E0,5.801479408E0,0.000000000E0,NaN,7.069892196E0,4.000000000E0
3.000343204E1,5.238111177E1,4.860760029E0,5.331081459E0,0.000000000E0,NaN,7.216724381E0,4.000000000E0
3.100342226E1,5.238110946E1,4.860760951E0,5.157924720E0,0.000000000E0,NaN,7.345870199E0,4.000000000E0
3.200341284E1,5.238110159E1,4.860768160E0,5.655239173E0,0.000000000E0,NaN,7.019218475E0,4.000000000E0
