"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.579333330E-2,9.551634344E0,2.156783939E0,5.921611970E-1
2.581508330E-2,9.550763694E0,2.155914312E0,6.091308035E-1
3.583708336E-2,9.550125763E0,2.154353397E0,6.244602661E-1
4.585908330E-2,9.549298382E0,2.153490348E0,6.399018124E-1
5.588208337E-2,9.547732497E0,2.154827022E0,6.584958120E-1
6.590408331E-2,9.545266142E0,2.158673174E0,6.812664778E-1
7.592708338E-2,9.542503332E0,2.162774996E0,7.064869076E-1
8.594908332E-2,9.540011834E0,2.164665547E0,7.338148932E-1
9.597208328E-2,9.538053601E0,2.163711720E0,7.615695794E-1
1.059940833E-1,9.536544435E0,2.161336142E0,7.867994379E-1
1.160160833E-1,9.535429956E0,2.158512083E0,8.077658721E-1
1.260390833E-1,9.534608422E0,2.156179337E0,8.235416599E-1
1.360610833E-1,9.534102638E0,2.154996299E0,8.324625376E-1
1.460840834E-1,9.534169296E0,2.154577638E0,8.327839152E-1
1.561060833E-1,9.535084385E0,2.153842351E0,8.241556176E-1
1.661290834E-1,9.536871879E0,2.151222652E0,8.101913702E-1
1.761510833E-1,9.539182699E0,2.146390074E0,7.956711989E-1
1.861730834E-1,9.541444402E0,2.140516400E0,7.842932481E-1
1.961960833E-1,9.542899189E0,2.136047666E0,7.787753038E-1
2.062180833E-1,9.543283351E0,2.134123493E0,7.793312278E-1
2.162410833E-1,9.543142433E0,2.132826142E0,7.845987651E-1
2.262630833E-1,9.543475724E0,2.129219141E0,7.903192424E-1
2.362860834E-1,9.545207670E0,2.122101179E0,7.885439546E-1
2.463080833E-1,9.547975742E0,2.112947509E0,7.795551031E-1
2.563300834E-1,9.550517526E0,2.105540110E0,7.683864096E-1
2.663530833E-1,9.552166441E0,2.102402641E0,7.563849995E-1
2.763750834E-1,9.553439965E0,2.101775527E0,7.419050277E-1
2.863980833E-1,9.555575953E0,2.099704735E0,7.199392312E-1
2.964200834E-1,9.559567262E0,2.092548474E0,6.870457926E-1
3.064430833E-1,9.565275899E0,2.079576719E0,6.457319250E-1
3.164650833E-1,9.572208942E0,2.061828080E0,5.981579917E-1
3.264880833E-1,9.579604501E0,2.041477139E0,5.474139540E-1
3.365100833E-1,9.586163322E0,2.023453096E0,4.972130494E-1
3.465320833E-1,9.592110525E0,2.006561806E0,4.485911124E-1
3.565550833E-1,9.599390894E0,1.982846961E0,3.950957404E-1
3.665770834E-1,9.607496304E0,1.953551534E0,3.402322661E-1
3.766000833E-1,9.613984959E0,1.929261323E0,2.921319007E-1
3.866220834E-1,9.617859909E0,1.912760188E0,2.724293055E-1
3.966450833E-1,9.620250251E0,1.898238481E0,2.890963552E-1
4.066670833E-1,9.623275015E0,1.873583404E0,3.440192884E-1
4.166900833E-1,9.626761710E0,1.840279272E0,4.182579503E-1
4.267120833E-1,9.629323375E0,1.809003977E0,4.896364832E-1
4.367340833E-1,9.629067267E0,1.790439214E0,5.581227640E-1
4.467570833E-1,9.624324591E0,1.791492151E0,6.316739029E-1
4.567790834E-1,9.614451567E0,1.812609370E0,7.161517704E-1
4.668020833E-1,9.600131736E0,1.848355008E0,8.106501574E-1
4.768240834E-1,9.584113873E0,1.889690583E0,8.999533664E-1
4.868470833E-1,9.571244152E0,1.925882655E0,9.583167648E-1
4.968690834E-1,9.566015571E0,1.947470429E0,9.668446364E-1
5.068920833E-1,9.569431515E0,1.952420828E0,9.220324527E-1
5.169140833E-1,9.579431423E0,1.944388947E0,8.306322129E-1
5.269360833E-1,9.593174719E0,1.926455098E0,7.041734567E-1
5.369590833E-1,9.607402748E0,1.903440018E0,5.575201719E-1
5.469810833E-1,9.618634665E0,1.883472362E0,4.129340970E-1
5.570040833E-1,9.624755530E0,1.874120471E0,2.963757184E-1
5.670260834E-1,9.626399767E0,1.875602302E0,2.250021374E-1
5.770490833E-1,9.626109161E0,1.879959939E0,1.996425256E-1
