"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.579333330E-2,2.176274861E-1,6.831610492E-1,-5.576264080E-2,6.948522900E-1,1.548605561E2,7.464732203E1,-7.682111890E1,8.290973955E1
2.581508330E-2,2.176200682E-1,6.825429867E-1,-5.557561416E-2,6.954767377E-1,1.548614270E2,7.422292205E1,-7.679883946E1,8.334982079E1
3.583708336E-2,2.177178489E-1,6.819712858E-1,-5.556459276E-2,6.960076194E-1,1.548499469E2,7.383525442E1,-7.678252952E1,8.372988055E1
4.585908330E-2,2.178693247E-1,6.813948434E-1,-5.555443537E-2,6.965254355E-1,1.548321621E2,7.345087453E1,-7.676141304E1,8.410203562E1
5.588208337E-2,2.180969387E-1,6.807103153E-1,-5.541650981E-2,6.971342678E-1,1.548054368E2,7.300731846E1,-7.672154675E1,8.453722911E1
6.590408331E-2,2.183929993E-1,6.798824880E-1,-5.510662511E-2,6.978735868E-1,1.547706727E2,7.248456384E1,-7.665896518E1,8.505968301E1
7.592708338E-2,2.186325409E-1,6.789703038E-1,-5.468840193E-2,6.987189894E-1,1.547425435E2,7.190998002E1,-7.658920987E1,8.564746931E1
8.594908332E-2,2.187015564E-1,6.779804640E-1,-5.423209907E-2,6.996934456E-1,1.547344388E2,7.127350117E1,-7.652661678E1,8.631470428E1
9.597208328E-2,2.185863269E-1,6.769713420E-1,-5.379423546E-2,7.007396146E-1,1.547479705E2,7.060927391E1,-7.647761556E1,8.702383121E1
1.059940833E-1,2.183588603E-1,6.760532782E-1,-5.338593787E-2,7.017274103E-1,1.547746815E2,6.999678462E1,-7.643997399E1,8.768833394E1
1.160160833E-1,2.180996151E-1,6.752897038E-1,-5.304037586E-2,7.025688722E-1,1.548051226E2,6.948297138E1,-7.641224264E1,8.825174258E1
1.260390833E-1,2.179050020E-1,6.747132403E-1,-5.279624024E-2,7.032012224E-1,1.548279732E2,6.909589895E1,-7.639183470E1,8.867483508E1
1.360610833E-1,2.178340056E-1,6.743848109E-1,-5.268625804E-2,7.035465105E-1,1.548363090E2,6.887874246E1,-7.637927418E1,8.890680145E1
1.460840834E-1,2.178575446E-1,6.743689427E-1,-5.273390505E-2,7.035508727E-1,1.548335452E2,6.886756544E1,-7.638092780E1,8.891210407E1
1.561060833E-1,2.178898081E-1,6.746789116E-1,-5.293838048E-2,7.032282175E-1,1.548297571E2,6.906093161E1,-7.640364651E1,8.869954656E1
1.661290834E-1,2.178318561E-1,6.751804802E-1,-5.326499749E-2,7.027399462E-1,1.548365614E2,6.936267079E1,-7.644813780E1,8.837650091E1
1.761510833E-1,2.176389922E-1,6.756997083E-1,-5.362663852E-2,7.022729591E-1,1.548592052E2,6.966015319E1,-7.650585292E1,8.806631110E1
1.861730834E-1,2.173434795E-1,6.761054560E-1,-5.391884262E-2,7.019515262E-1,1.548938990E2,6.987697716E1,-7.656258382E1,8.785108550E1
