"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.032416640E-3,3.909869385E-1,8.065527649E0,6.102060699E0
1.205541659E-2,1.923500061E-1,8.055498505E0,6.248007202E0
2.207841654E-2,-5.059478760E-2,7.708520050E0,6.227799225E0
3.210141649E-2,-2.507286072E-1,7.554490356E0,5.931714935E0
4.212441668E-2,-4.031117249E-1,7.741451569E0,5.825286255E0
5.214741663E-2,-5.023553467E-1,7.959398346E0,5.734574890E0
6.217041658E-2,-3.841012573E-1,8.302933960E0,5.538482666E0
7.219441654E-2,-3.141966248E-1,8.508905640E0,5.302423553E0
8.221741649E-2,-1.387614441E-1,8.538544006E0,5.308261414E0
9.224041668E-2,1.056802368E-1,8.642727356E0,5.464237061E0
1.022634166E-1,3.923341370E-1,8.827742615E0,5.746699677E0
1.122864166E-1,1.236428833E-1,8.308921509E0,5.954018555E0
1.223094165E-1,-9.536668396E-1,7.121740265E0,5.779930573E0
1.323324165E-1,-1.325044556E0,7.201823730E0,5.297783203E0
1.423554167E-1,-1.074166260E0,7.988437958E0,5.239254913E0
1.523794166E-1,-5.221142578E-1,8.530760193E0,5.534590759E0
1.624024166E-1,1.775308228E-1,8.571625214E0,5.644013214E0
1.724254165E-1,4.135899353E-1,8.343200226E0,5.508993988E0
1.824484165E-1,2.433938599E-1,8.099956055E0,5.402265930E0
1.924714167E-1,1.085243225E-1,8.005352783E0,5.234165497E0
2.024944166E-1,2.948867798E-2,7.894882507E0,5.265001373E0
2.125174166E-1,-3.143463135E-2,7.849227448E0,5.285209351E0
2.225404165E-1,-2.679428101E-1,7.768245850E0,5.332810364E0
2.325634165E-1,-5.281018066E-1,7.481741638E0,5.422922974E0
2.425874167E-1,-3.935316467E-1,7.322772217E0,5.426365814E0
2.526104166E-1,-1.775308228E-1,7.365583191E0,5.385351105E0
2.626334166E-1,-1.805245972E-1,7.585176544E0,5.244044952E0
2.726564165E-1,-4.799020386E-1,7.750732269E0,5.150938568E0
2.826794165E-1,-1.020278320E0,7.855664063E0,4.948858795E0
2.927024167E-1,-1.719474335E0,7.706723785E0,4.988975372E0
3.027254166E-1,-2.559527435E0,7.340734863E0,4.994364166E0
3.127484166E-1,-3.107537842E0,7.106921082E0,5.169350281E0
3.227714165E-1,-3.488944702E0,7.023394775E0,4.650379486E0
3.327954165E-1,-3.556903381E0,7.415279846E0,3.822900238E0
3.428184167E-1,-3.403023376E0,8.198750610E0,3.330424347E0
3.528414166E-1,-2.847229156E0,9.479936371E0,2.772384796E0
3.628644166E-1,-2.281854858E0,9.811945953E0,2.453847198E0
3.728874165E-1,-1.551673279E0,9.587412872E0,2.273921356E0
3.829104167E-1,-1.682501221E-1,9.397457886E0,1.842219086E0
3.929334166E-1,1.331780548E0,9.053622894E0,1.602866821E0
4.029564166E-1,2.760559387E0,8.954079895E0,1.476529541E0
4.129794165E-1,3.701951752E0,8.971443787E0,1.509910126E0
4.230034165E-1,3.959416351E0,9.091045074E0,1.617686005E0
4.330264167E-1,3.651806030E0,9.227411499E0,1.910926208E0
4.430494166E-1,3.088078308E0,9.251361694E0,2.405797119E0
4.530724166E-1,2.573448486E0,8.926686859E0,2.751877441E0
4.630954165E-1,2.261197815E0,8.394543457E0,2.934647369E0
4.731184165E-1,2.308649139E0,8.067174225E0,3.253783722E0
4.831414167E-1,2.539319458E0,7.996970215E0,3.516487427E0
4.931644166E-1,3.094215546E0,8.061036987E0,3.672313385E0
5.031874166E-1,4.076921997E0,8.225993958E0,3.720662842E0
5.132114165E-1,5.210364990E0,8.341553650E0,3.793561249E0
5.232344165E-1,6.434669037E0,8.302335205E0,4.052822113E0
5.332574167E-1,7.615713043E0,8.104446716E0,4.332440643E0
5.432804166E-1,8.646619263E0,7.865244141E0,4.359234924E0
5.533034166E-1,9.474996643E0,7.705526276E0,4.137994995E0
5.633264165E-1,1.001612137E1,7.542814636E0,3.791315918E0
5.733494165E-1,1.035307068E1,7.397317200E0,3.581602020E0
5.833724167E-1,1.038300842E1,7.324568481E0,3.585643616E0
5.933964166E-1,1.026400589E1,7.306755524E0,3.746858368E0
6.034194166E-1,1.001567230E1,7.248526611E0,3.783083038E0
6.134424165E-1,9.650581512E0,7.248676300E0,3.596271515E0
6.234654165E-1,9.332043915E0,7.289241943E0,3.271746368E0
6.334884167E-1,9.084758148E0,7.164850616E0,3.031346283E0
6.435114166E-1,8.809630280E0,7.001989288E0,2.817141724E0
6.535344166E-1,8.471184082E0,6.898554382E0,2.538421326E0
6.635574165E-1,8.195457458E0,6.807393951E0,2.314786377E0
6.735804165E-1,8.075556793E0,6.714137878E0,2.156415710E0
