"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.381133334E-2,7.978109436E0,-9.578581238E-1,-4.352947998E0
2.383333328E-2,8.100554810E0,-1.109343109E0,-4.269571381E0
3.385533334E-2,8.585396576E0,-1.343605957E0,-4.155957642E0
4.387633328E-2,8.956175537E0,-1.448986816E0,-4.109105072E0
5.389833334E-2,9.128018188E0,-1.480271759E0,-4.161496124E0
6.391933328E-2,9.177265778E0,-1.486858063E0,-4.268673248E0
7.394133334E-2,9.047186279E0,-1.458716583E0,-4.380790100E0
8.396333328E-2,8.816815338E0,-1.460363159E0,-4.407135315E0
9.398433333E-2,8.712931366E0,-1.479822693E0,-4.386029205E0
1.040063333E-1,8.761131134E0,-1.518143005E0,-4.391118622E0
1.140283333E-1,8.870403900E0,-1.531914368E0,-4.390519867E0
1.240493333E-1,8.956474915E0,-1.530716858E0,-4.436474304E0
1.340713333E-1,8.953032074E0,-1.554217987E0,-4.499792633E0
1.440933333E-1,8.757688293E0,-1.549877014E0,-4.533023529E0
1.541143333E-1,8.535550232E0,-1.541644135E0,-4.626578979E0
1.641363333E-1,8.440497894E0,-1.538650360E0,-4.721781006E0
1.741573333E-1,8.389154663E0,-1.531614990E0,-4.827311554E0
1.841793333E-1,8.336913300E0,-1.490151215E0,-4.852309570E0
1.942013333E-1,8.258476410E0,-1.453028412E0,-4.803061981E0
2.042223333E-1,8.155191193E0,-1.378333740E0,-4.713099060E0
2.142443333E-1,8.143216095E0,-1.289867706E0,-4.608167267E0
2.242663333E-1,8.127498779E0,-1.279239807E0,-4.534670105E0
2.342873333E-1,8.021369476E0,-1.238225098E0,-4.510420532E0
2.443093333E-1,8.268206177E0,-1.311722260E0,-4.470603333E0
2.543313333E-1,9.114097137E0,-1.839075623E0,-4.416416016E0
2.643523333E-1,1.019634659E1,-2.393073578E0,-4.371060333E0
2.743743333E-1,1.052970337E1,-2.091001740E0,-4.177812195E0
2.843953333E-1,1.023302032E1,-1.441951447E0,-4.058061218E0
2.944173333E-1,9.629176025E0,-8.521778870E-1,-4.159550171E0
3.044393333E-1,9.103319550E0,-6.509962463E-1,-4.329596558E0
3.144603333E-1,8.703650665E0,-7.475454712E-1,-4.474794617E0
3.244823333E-1,8.443042603E0,-1.015338593E0,-4.530329132E0
3.345043333E-1,8.317004700E0,-1.314416656E0,-4.612208862E0
3.445253333E-1,8.274493103E0,-1.503323822E0,-4.736749878E0
3.545473333E-1,8.262218628E0,-1.519639893E0,-4.860392761E0
3.645683334E-1,8.221203918E0,-1.424886932E0,-4.941673737E0
3.745903333E-1,8.142467651E0,-1.289268951E0,-4.918771362E0
3.846123333E-1,8.086933136E0,-1.180145874E0,-4.848417664E0
3.946333333E-1,8.100854187E0,-1.182989960E0,-4.734953613E0
4.046553333E-1,8.211773529E0,-1.269809418E0,-4.638853455E0
4.146773333E-1,8.389454041E0,-1.419647827E0,-4.508923645E0
4.246983334E-1,8.598718872E0,-1.553768921E0,-4.426145782E0
4.347203333E-1,8.727600861E0,-1.669777679E0,-4.397255859E0
4.447413334E-1,8.800648956E0,-1.707050171E0,-4.399800568E0
4.547633333E-1,8.835376740E0,-1.725162506E0,-4.428391113E0
4.647853334E-1,8.815917206E0,-1.707948303E0,-4.422852631E0
4.748063333E-1,8.733588409E0,-1.715582428E0,-4.394860840E0
4.848283334E-1,8.625513153E0,-1.680555267E0,-4.337829437E0
4.948503333E-1,8.526868286E0,-1.665885773E0,-4.323609009E0
5.048713334E-1,8.462053070E0,-1.675914917E0,-4.342918854E0
5.148933333E-1,8.414452057E0,-1.686542816E0,-4.364623718E0
5.249143334E-1,8.421487427E0,-1.696272583E0,-4.426295471E0
5.349363333E-1,8.462651825E0,-1.664089508E0,-4.502636719E0
5.449583334E-1,8.555758209E0,-1.598525848E0,-4.478087769E0
5.549793333E-1,8.635093231E0,-1.495240631E0,-4.322860565E0
5.650013334E-1,8.665480042E0,-1.427731018E0,-4.149970093E0
5.750233333E-1,8.709488525E0,-1.448986816E0,-4.048181763E0
5.850443334E-1,8.759334869E0,-1.497785339E0,-4.026626587E0
5.950659583E-1,8.860524445E0,-1.594334564E0,-4.010310516E0
6.050879583E-1,8.981323242E0,-1.726210327E0,-3.998335419E0
6.151089583E-1,9.081315308E0,-1.835932159E0,-3.943549347E0
6.251309583E-1,9.138945465E0,-1.920655975E0,-3.885170746E0
6.351519583E-1,9.108558655E0,-1.972597961E0,-3.859424286E0
6.451739583E-1,9.007818146E0,-1.979633331E0,-3.878584442E0
6.551959583E-1,8.891809387E0,-1.962119751E0,-3.908073120E0
6.652169583E-1,8.788075104E0,-1.980381775E0,-3.979774017E0
6.752389583E-1,8.730444946E0,-2.034269714E0,-4.107608185E0
6.852609583E-1,8.735534363E0,-2.063758392E0,-4.252506866E0
6.952819583E-1,8.742270355E0,-2.055974579E0,-4.377347260E0
7.053039583E-1,8.750353546E0,-1.949096832E0,-4.447251892E0
7.153249583E-1,8.741372223E0,-1.762285309E0,-4.464017029E0
7.253469583E-1,8.752000122E0,-1.611997833E0,-4.436025238E0
7.353689583E-1,8.784781952E0,-1.622925110E0,-4.409979401E0
7.453899583E-1,8.815019073E0,-1.838925934E0,-4.371210022E0
7.554119583E-1,8.797804871E0,-2.142943726E0,-4.285139008E0
7.654339583E-1,8.707692261E0,-2.396067352E0,-4.177662506E0
7.754549583E-1,8.611741791E0,-2.499053192E0,-4.071832581E0
