"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.759233327E-2,8.671527817E0,-1.343178964E0,-4.385949391E0
3.761433333E-2,8.650171446E0,-1.357003390E0,-4.423710125E0
4.763533326E-2,8.628059031E0,-1.372145924E0,-4.462054411E0
5.765733332E-2,8.607631783E0,-1.385852382E0,-4.497134489E0
6.767833326E-2,8.589659196E0,-1.395575571E0,-4.528380255E0
7.770033332E-2,8.573507432E0,-1.400629174E0,-4.557339468E0
8.772233326E-2,8.559430845E0,-1.401969355E0,-4.583307829E0
9.774333332E-2,8.548624606E0,-1.400914079E0,-4.603754958E0
1.077653333E-1,8.542336510E0,-1.398409717E0,-4.616165673E0
1.177873333E-1,8.541042522E0,-1.394818649E0,-4.619647690E0
1.278083334E-1,8.544420458E0,-1.389651611E0,-4.614954130E0
1.378303333E-1,8.551487403E0,-1.382320664E0,-4.604061644E0
1.478523333E-1,8.560923055E0,-1.372671150E0,-4.589389518E0
1.578733333E-1,8.571222340E0,-1.361643740E0,-4.573417849E0
1.678953333E-1,8.580825807E0,-1.350603612E0,-4.558659184E0
1.779163333E-1,8.587613840E0,-1.340899135E0,-4.548732659E0
1.879383334E-1,8.588990859E0,-1.333707644E0,-4.548246170E0
1.979603333E-1,8.583004480E0,-1.330366253E0,-4.560511290E0
2.079813334E-1,8.569355909E0,-1.331705265E0,-4.585720391E0
2.180033333E-1,8.547924110E0,-1.336505975E0,-4.624157355E0
2.280253334E-1,8.517194068E0,-1.344656702E0,-4.678185043E0
2.380463333E-1,8.475861270E0,-1.359190833E0,-4.748524708E0
2.480683334E-1,8.429722645E0,-1.379248537E0,-4.824265155E0
2.580903333E-1,8.394274485E0,-1.398219536E0,-4.880292883E0
2.681113334E-1,8.379326078E0,-1.409539892E0,-4.902671931E0
2.781333333E-1,8.382364876E0,-1.414279060E0,-4.896108724E0
2.881543334E-1,8.398546461E0,-1.415215053E0,-4.868024839E0
2.981763333E-1,8.424023364E0,-1.414863343E0,-4.823904674E0
3.081983334E-1,8.455190778E0,-1.414870652E0,-4.769067731E0
3.182193333E-1,8.487880222E0,-1.416058368E0,-4.710283918E0
3.282413334E-1,8.518061795E0,-1.418373134E0,-4.654774546E0
3.382633333E-1,8.543205407E0,-1.420693602E0,-4.607753869E0
3.482843334E-1,8.562412925E0,-1.421745954E0,-4.571637079E0
3.583063333E-1,8.575582609E0,-1.421029086E0,-4.547101578E0
3.683273334E-1,8.582484663E0,-1.419396251E0,-4.534573041E0
3.783493333E-1,8.583247139E0,-1.418684791E0,-4.533353897E0
3.883713334E-1,8.578726657E0,-1.420977484E0,-4.541186827E0
3.983923333E-1,8.570635280E0,-1.426594612E0,-4.554684832E0
4.084143334E-1,8.561117182E0,-1.433975552E0,-4.570240764E0
4.184363333E-1,8.552146969E0,-1.440658335E0,-4.584912598E0
4.284573334E-1,8.545170071E0,-1.444967002E0,-4.596546510E0
4.384793333E-1,8.541047784E0,-1.446341536E0,-4.603774254E0
4.485003334E-1,8.540029784E0,-1.445401011E0,-4.605950587E0
4.585223333E-1,8.541558246E0,-1.443469822E0,-4.603726014E0
4.685443334E-1,8.544746733E0,-1.441918410E0,-4.598289858E0
4.785653333E-1,8.549087121E0,-1.441682328E0,-4.590289697E0
4.885873334E-1,8.553915167E0,-1.443090923E0,-4.580847321E0
4.986093333E-1,8.558414015E0,-1.445949480E0,-4.571528321E0
5.086303334E-1,8.561858609E0,-1.449706609E0,-4.563881917E0
5.186523333E-1,8.563511032E0,-1.453830357E0,-4.559473117E0
5.286733333E-1,8.562771944E0,-1.457885109E0,-4.559556440E0
5.386953333E-1,8.559517384E0,-1.461554676E0,-4.564493244E0
5.487173334E-1,8.553512878E0,-1.465031576E0,-4.574626176E0
5.587383333E-1,8.543779603E0,-1.469951131E0,-4.591209757E0
5.687603333E-1,8.530238037E0,-1.476889876E0,-4.614101898E0
5.787823333E-1,8.514372786E0,-1.485629709E0,-4.640521373E0
5.888033333E-1,8.498541450E0,-1.495168418E0,-4.666406704E0
5.988249583E-1,8.484894049E0,-1.504276333E0,-4.688266520E0
6.088469583E-1,8.474920453E0,-1.512510529E0,-4.703628910E0
6.188679583E-1,8.469331099E0,-1.519641793E0,-4.711391965E0
6.288899584E-1,8.467990333E0,-1.525665156E0,-4.711860035E0
6.389109583E-1,8.470162573E0,-1.530887158E0,-4.706253140E0
6.489329584E-1,8.474928639E0,-1.535600306E0,-4.696128101E0
6.589549583E-1,8.481401507E0,-1.540334504E0,-4.682874510E0
6.689759584E-1,8.488667842E0,-1.545727099E0,-4.667904468E0
6.789979583E-1,8.495821325E0,-1.552056418E0,-4.652762811E0
6.890199584E-1,8.502358512E0,-1.559487352E0,-4.638322235E0
6.990409583E-1,8.508037328E0,-1.567684271E0,-4.625125654E0
7.090629584E-1,8.512833799E0,-1.576253658E0,-4.613367780E0
7.190839583E-1,8.516736816E0,-1.585237028E0,-4.603075511E0
7.291059584E-1,8.520021781E0,-1.594382219E0,-4.593824924E0
7.391279583E-1,8.522784591E0,-1.604135521E0,-4.585307577E0
7.491489584E-1,8.525110613E0,-1.614143030E0,-4.577458567E0
