"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.759233327E-2,3.124352413E-1,5.987188794E-1,-6.042189377E-1,4.228939969E-1,1.435878982E2,-1.629730077E2,-6.212231638E1,-1.008278128E2
3.761433333E-2,3.109406877E-1,5.989260486E-1,-6.056046665E-1,4.217186319E-1,1.437681403E2,-1.629462453E2,-6.185671860E1,-1.009018545E2
4.763533326E-2,3.093857640E-1,5.990992033E-1,-6.070452303E-1,4.205433671E-1,1.439555646E2,-1.629065839E2,-6.158411773E1,-1.009903535E2
5.765733332E-2,3.079793131E-1,5.992328859E-1,-6.083844958E-1,4.194485711E-1,1.441250067E2,-1.628726162E2,-6.133441256E1,-1.010738828E2
6.767833326E-2,3.068107496E-1,5.993956893E-1,-6.095318694E-1,4.184051837E-1,1.442657277E2,-1.628715249E2,-6.111634822E1,-1.011229199E2
7.770033332E-2,3.058388433E-1,5.996579207E-1,-6.104839729E-1,4.173516810E-1,1.443827243E2,-1.629159834E2,-6.092164736E1,-1.011215631E2
8.772233326E-2,3.050533209E-1,5.999882977E-1,-6.112429234E-1,4.163394718E-1,1.444772563E2,-1.629918664E2,-6.075292954E1,-1.010822205E2
9.774333332E-2,3.045016766E-1,6.002973566E-1,-6.117917215E-1,4.154909135E-1,1.445436278E2,-1.630750924E2,-6.062400466E1,-1.010290848E2
1.077653333E-1,3.042358511E-1,6.005148725E-1,-6.120951406E-1,4.149238329E-1,1.445756064E2,-1.631464701E2,-6.054922532E1,-1.009796349E2
1.177873333E-1,3.042787039E-1,6.006095211E-1,-6.121472473E-1,4.146785909E-1,1.445704514E2,-1.631992643E2,-6.053386130E1,-1.009412149E2
1.278083334E-1,3.046192926E-1,6.006112057E-1,-6.119501699E-1,4.147169024E-1,1.445294778E2,-1.632419400E2,-6.057399265E1,-1.009052101E2
1.378303333E-1,3.052037061E-1,6.005847533E-1,-6.115223636E-1,4.149567970E-1,1.444591605E2,-1.632881733E2,-6.065810903E1,-1.008567694E2
1.478523333E-1,3.059568861E-1,6.005807737E-1,-6.109145395E-1,4.153030597E-1,1.443685166E2,-1.633482503E2,-6.077077104E1,-1.007865213E2
1.578733333E-1,3.067814101E-1,6.006040608E-1,-6.102249950E-1,4.156744946E-1,1.442692601E2,-1.634201509E2,-6.089419536E1,-1.007008417E2
1.678953333E-1,3.075719902E-1,6.006415867E-1,-6.095713666E-1,4.159949898E-1,1.441740638E2,-1.634969120E2,-6.100971972E1,-1.006125210E2
1.779163333E-1,3.081808594E-1,6.007141915E-1,-6.090846268E-1,4.161525189E-1,1.441007304E2,-1.635752617E2,-6.109162733E1,-1.005288686E2
1.879383334E-1,3.084252742E-1,6.008798234E-1,-6.089008718E-1,4.160011643E-1,1.440712884E2,-1.636569849E2,-6.110826700E1,-1.004501095E2
1.979603333E-1,3.081641850E-1,6.011590686E-1,-6.091385155E-1,4.154430031E-1,1.441027389E2,-1.637372808E2,-6.103598303E1,-1.003840003E2
2.079813334E-1,3.073767344E-1,6.015147910E-1,-6.098416062E-1,4.144789993E-1,1.441975775E2,-1.638065637E2,-6.087179868E1,-1.003436063E2
2.180033333E-1,3.060746760E-1,6.020001416E-1,-6.109678668E-1,4.130766630E-1,1.443543387E2,-1.638792830E2,-6.061566599E1,-1.003114020E2
2.280253334E-1,3.041624208E-1,6.026841672E-1,-6.125450197E-1,4.111516162E-1,1.445844395E2,-1.639636939E2,-6.025192560E1,-1.002759060E2
2.380463333E-1,3.015175691E-1,6.034884624E-1,-6.146758310E-1,4.087327770E-1,1.449024507E2,-1.640270588E2,-5.976895896E1,-1.002714236E2
2.480683334E-1,2.985444935E-1,6.041754033E-1,-6.171362481E-1,4.061847418E-1,1.452595940E2,-1.640448645E2,-5.923795631E1,-1.003266183E2
2.580903333E-1,2.963112795E-1,6.043971840E-1,-6.192291723E-1,4.043005880E-1,1.455276318E2,-1.640128223E2,-5.883554309E1,-1.004438426E2
