"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.261799992E-2,8.932836376E0,-4.016032017E0,-5.585751557E-1
2.263999998E-2,8.941006690E0,-3.999580876E0,-5.457474609E-1
3.266199993E-2,8.948605147E0,-3.983347251E0,-5.399271425E-1
4.268399999E-2,8.955780265E0,-3.966894355E0,-5.420821704E-1
5.270599993E-2,8.962437320E0,-3.950763642E0,-5.498194254E-1
6.272799999E-2,8.968347686E0,-3.936009655E0,-5.591834123E-1
7.274999993E-2,8.973446458E0,-3.923028836E0,-5.685255819E-1
8.277199999E-2,8.977710248E0,-3.911993971E0,-5.771728098E-1
9.279399994E-2,8.981285235E0,-3.902534053E0,-5.855133148E-1
1.028160000E-1,8.983912389E0,-3.895147850E0,-5.943245571E-1
1.128379999E-1,8.984937991E0,-3.891221445E0,-6.044571972E-1
1.228600000E-1,8.984227554E0,-3.890994573E0,-6.163642113E-1
1.328819999E-1,8.982665763E0,-3.892395858E0,-6.301455870E-1
1.429040000E-1,8.980896980E0,-3.893580211E0,-6.477715800E-1
1.529260000E-1,8.978601363E0,-3.895034999E0,-6.704852354E-1
1.629480000E-1,8.976040283E0,-3.896778054E0,-6.942100205E-1
1.729700000E-1,8.974211274E0,-3.897443759E0,-7.138369308E-1
1.829920000E-1,8.973785012E0,-3.895885769E0,-7.275559605E-1
1.930140000E-1,8.974827570E0,-3.892013450E0,-7.354089904E-1
2.030359999E-1,8.975881823E0,-3.889335133E0,-7.366788594E-1
2.130580000E-1,8.974810029E0,-3.892724471E0,-7.318266937E-1
2.230799999E-1,8.971257845E0,-3.902259526E0,-7.245964654E-1
2.331020000E-1,8.966949617E0,-3.913480333E0,-7.173606091E-1
2.431229999E-1,8.963147172E0,-3.923202791E0,-7.117364647E-1
2.531445833E-1,8.959949330E0,-3.930936610E0,-7.093186411E-1
2.631665833E-1,8.957712770E0,-3.936237111E0,-7.081841350E-1
2.731885833E-1,8.957157285E0,-3.938244461E0,-7.040479609E-1
2.832105833E-1,8.958335499E0,-3.936558124E0,-6.984678168E-1
2.932325833E-1,8.960745721E0,-3.932571200E0,-6.899719586E-1
3.032545833E-1,8.963614365E0,-3.927756895E0,-6.800381970E-1
3.132765833E-1,8.960734611E0,-3.932624409E0,-6.897953727E-1
3.232985833E-1,8.951576702E0,-3.944117404E0,-7.411630891E-1
3.333205833E-1,8.943102917E0,-3.944371465E0,-8.360331398E-1
3.433425833E-1,8.938260253E0,-3.926964304E0,-9.605022347E-1
3.533645833E-1,8.934216903E0,-3.900786612E0,-1.095340782E0
3.633865833E-1,8.928138723E0,-3.877501830E0,-1.220415356E0
3.734085833E-1,8.921658254E0,-3.860626766E0,-1.317453116E0
3.834305833E-1,8.919165586E0,-3.845440670E0,-1.377377282E0
3.934525833E-1,8.924059705E0,-3.825970611E0,-1.399725194E0
4.034745833E-1,8.935915520E0,-3.802745178E0,-1.387321203E0
4.134965834E-1,8.951643945E0,-3.779656570E0,-1.348463239E0
4.235185833E-1,8.967317407E0,-3.759963440E0,-1.298469107E0
4.335405832E-1,8.980326877E0,-3.744085911E0,-1.253657362E0
4.435625833E-1,8.989380121E0,-3.731494224E0,-1.226018450E0
4.535845832E-1,8.994140339E0,-3.721598689E0,-1.221164238E0
4.636065833E-1,8.995112731E0,-3.715337783E0,-1.233012743E0
4.736285832E-1,8.994241496E0,-3.713187469E0,-1.245772976E0
4.836505833E-1,8.993265595E0,-3.714729672E0,-1.248217989E0
4.936725833E-1,8.992610707E0,-3.721611260E0,-1.232342214E0
5.036945833E-1,8.992433537E0,-3.736587149E0,-1.187501525E0
5.137165833E-1,8.992484992E0,-3.761377881E0,-1.106054927E0
5.237385833E-1,8.991203282E0,-3.796388670E0,-9.908552042E-1
5.337605833E-1,8.985895180E0,-3.841623900E0,-8.554042344E-1
5.437825833E-1,8.973813663E0,-3.897809210E0,-7.168296088E-1
5.538045833E-1,8.952680072E0,-3.967440778E0,-5.873948026E-1
5.638265833E-1,8.922204384E0,-4.051214129E0,-4.669249840E-1
5.738485833E-1,8.884105681E0,-4.145499896E0,-3.515830638E-1
5.838705833E-1,8.840618768E0,-4.245268013E0,-2.393135631E-1
5.938925833E-1,8.792447652E0,-4.348864887E0,-1.278342132E-1
6.039145833E-1,8.737952186E0,-4.459174950E0,-8.002520470E-3
6.139365833E-1,8.674437391E0,-4.579780789E0,1.258867614E-1
6.239585833E-1,8.601743052E0,-4.709185811E0,2.639567814E-1
6.339805833E-1,8.523961635E0,-4.840345582E0,3.863047805E-1
6.440025833E-1,8.448740129E0,-4.962975728E0,4.730343376E-1
6.540245833E-1,8.384649968E0,-5.066517638E0,5.139493886E-1
6.640465833E-1,8.335940908E0,-5.145529894E0,5.212543882E-1
6.740685833E-1,8.301355212E0,-5.201475468E0,5.179401498E-1
6.840905832E-1,8.274918780E0,-5.242657408E0,5.256996974E-1
6.941125833E-1,8.248672968E0,-5.280130459E0,5.618791615E-1
7.041345832E-1,8.216723782E0,-5.322439742E0,6.270484630E-1
7.141565833E-1,8.182670183E0,-5.366366365E0,6.943548853E-1
7.241785832E-1,8.156065936E0,-5.403050042E0,7.223268686E-1
7.342005833E-1,8.138117908E0,-5.434463038E0,6.882925652E-1
