"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.277208307E-3,1.014575180E1,6.855743408E-1,3.682342529E-2
6.745791645E-3,1.004605911E1,4.535568237E-1,2.692900085E-1
1.676779171E-2,1.027493317E1,5.186714172E-1,3.930825806E-1
2.679079166E-2,1.019020935E1,6.381230164E-1,3.776646423E-1
3.681279172E-2,9.943222961E0,8.485853577E-1,3.462300110E-1
4.683579167E-2,9.818681946E0,1.067130890E0,3.608995056E-1
5.685779173E-2,9.924362183E0,1.076261902E0,3.826043701E-1
6.688079168E-2,1.029678772E1,1.034498749E0,2.793191528E-1
7.690279162E-2,1.080542999E1,1.022673340E0,1.348695374E-1
8.692579169E-2,1.108010880E1,1.025367737E0,9.370513916E-2
9.694779164E-2,1.095601685E1,1.171014862E0,3.845503235E-1
1.069707917E-1,1.069600754E1,1.320703583E0,5.487588501E-1
1.169927916E-1,1.062774948E1,1.312171326E0,5.384303284E-1
1.270157917E-1,1.054766602E1,1.279539185E0,4.808001709E-1
1.370387917E-1,1.063194077E1,1.254840546E0,3.312611389E-1
1.470607917E-1,1.065110092E1,1.226549377E0,5.888754272E-1
1.570837917E-1,1.040785675E1,1.144969025E0,1.059796143E0
1.671057916E-1,9.898915100E0,1.044527893E0,1.341360626E0
1.771287917E-1,9.359287262E0,1.028062134E0,1.266516266E0
1.871507916E-1,9.106463013E0,1.002914429E0,1.066981201E0
1.971737917E-1,9.049581299E0,9.207353210E-1,9.009764099E-1
2.071957916E-1,9.054071960E0,8.078700256E-1,7.222480774E-1
2.172187917E-1,9.056916046E0,6.776408386E-1,6.403683472E-1
2.272407917E-1,9.038055267E0,5.995033264E-1,8.301736450E-1
2.372637917E-1,9.062454529E0,5.748046875E-1,1.004411316E0
2.472857917E-1,9.162147217E0,5.164260864E-1,1.160985718E0
2.573087916E-1,9.419162750E0,4.427792358E-1,1.357826385E0
2.673317917E-1,9.754166107E0,4.537065125E-1,1.376986542E0
2.773537916E-1,1.012045441E1,5.411247253E-1,1.254840546E0
2.873767917E-1,1.044602737E1,6.747967529E-1,1.078806610E0
2.973987916E-1,1.047461792E1,6.676116943E-1,1.032253418E0
3.074217917E-1,1.018287460E1,5.468128967E-1,1.243164825E0
3.174437917E-1,9.897268524E0,3.580554199E-1,1.394949188E0
3.274667917E-1,9.770931244E0,2.959346008E-1,1.255588989E0
3.374887917E-1,9.741442566E0,4.367916870E-1,1.100212097E0
3.475117916E-1,9.664801941E0,6.282435608E-1,1.129850464E0
3.575337917E-1,9.508826294E0,8.214916992E-1,1.294807434E0
3.675567916E-1,9.427545319E0,1.078357544E0,1.444945221E0
3.775787917E-1,9.627828827E0,1.290466461E0,1.404678955E0
3.876017916E-1,9.807754669E0,1.327738953E0,1.229992218E0
3.976237917E-1,9.583820343E0,1.316961365E0,1.293460236E0
4.076467917E-1,9.146130524E0,1.393452301E0,1.661844177E0
4.176697917E-1,8.787176971E0,1.435215454E0,1.907034302E0
4.276917917E-1,8.651109924E0,1.384171600E0,1.916015625E0
4.377147916E-1,8.695268097E0,1.270857239E0,1.800006866E0
4.477367917E-1,8.882378998E0,1.093027039E0,1.567240906E0
4.577597916E-1,8.941206665E0,1.067280579E0,1.329684906E0
4.677817917E-1,8.535699921E0,7.059320068E-1,9.072633362E-1
4.778047916E-1,8.065527649E0,7.355703735E-1,6.137237549E-1
4.878267917E-1,7.598349152E0,4.026626587E-1,7.878117371E-1
4.978497917E-1,8.281229095E0,4.191284180E-3,2.652484131E-1
5.078717917E-1,9.270671539E0,1.495390320E-1,4.326004028E-1
5.178947917E-1,9.605974274E0,3.511697388E-1,8.436456299E-1
5.279167917E-1,9.943821716E0,6.578819275E-1,1.878743134E0
5.379397917E-1,1.005504044E1,6.797364807E-1,2.128723297E0
5.479617916E-1,9.964029694E0,5.688171387E-1,1.931283875E0
