"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.143791760E-3,8.351582794E0,4.817282410E0,-4.227508850E0
1.216679171E-2,8.264314270E0,4.499942322E0,-4.098926239E0
2.218879166E-2,8.223149872E0,4.209396515E0,-3.913761292E0
3.221179172E-2,8.153394928E0,4.128714294E0,-3.779939575E0
4.223379167E-2,8.018675079E0,4.186194763E0,-3.717519379E0
5.225579173E-2,7.869285736E0,4.327800293E0,-3.729494476E0
6.227879168E-2,7.862400055E0,4.463118896E0,-3.802841949E0
7.230079174E-2,7.954009552E0,4.515809326E0,-3.921395416E0
8.232379169E-2,8.111332397E0,4.456233215E0,-4.028572540E0
9.234579175E-2,8.185278625E0,4.365821228E0,-4.095782776E0
1.023677917E-1,8.171507263E0,4.307292938E0,-4.075874176E0
1.123907916E-1,8.091723175E0,4.306694183E0,-4.026626587E0
1.224127917E-1,7.951764221E0,4.313579865E0,-3.918701019E0
1.324357917E-1,7.845784607E0,4.299658813E0,-3.803141327E0
1.424577917E-1,7.802674255E0,4.252955933E0,-3.741768951E0
1.524797917E-1,7.822732544E0,4.240382080E0,-3.694018250E0
1.625027917E-1,7.854017487E0,4.261039124E0,-3.724554749E0
1.725247917E-1,7.914791107E0,4.360731812E0,-3.742517395E0
1.825477917E-1,7.910599823E0,4.470303955E0,-3.751199341E0
1.925697917E-1,7.833360443E0,4.512366486E0,-3.740870819E0
2.025917917E-1,7.703879700E0,4.455634460E0,-3.705993347E0
2.126147917E-1,7.604037323E0,4.351002045E0,-3.672163696E0
2.226367918E-1,7.591762848E0,4.246669006E0,-3.689078522E0
2.326596250E-1,7.673642578E0,4.146078186E0,-3.779041443E0
2.426816251E-1,7.881260834E0,4.168681183E0,-3.872896271E0
2.527036250E-1,8.036188660E0,4.272116089E0,-3.908372498E0
2.627266251E-1,7.983647919E0,4.411925354E0,-3.851939850E0
2.727486250E-1,7.799979858E0,4.577780457E0,-3.759132843E0
2.827716251E-1,7.648794250E0,4.691992950E0,-3.818110199E0
2.927936250E-1,7.614365845E0,4.857099609E0,-4.222419434E0
3.028156251E-1,7.689808960E0,4.914729767E0,-4.208199005E0
3.128386250E-1,8.067473602E0,4.788691864E0,-4.019441528E0
3.228606250E-1,8.400231628E0,4.395908661E0,-3.811374207E0
3.328836251E-1,8.346643066E0,4.039200439E0,-3.616180115E0
3.429056250E-1,8.040379944E0,3.911066895E0,-3.645818481E0
3.529276251E-1,7.983049164E0,4.057462463E0,-3.779939575E0
3.629506250E-1,8.127349091E0,4.296515350E0,-3.876339111E0
3.729726251E-1,8.186326447E0,4.499493256E0,-3.894601135E0
3.829956250E-1,8.102500763E0,4.671335907E0,-3.869303741E0
3.930176251E-1,7.931256866E0,4.733007660E0,-3.847598877E0
4.030396250E-1,7.763904877E0,4.669839020E0,-3.867357788E0
4.130626250E-1,7.693401489E0,4.524790649E0,-3.877686310E0
4.230846250E-1,7.687563629E0,4.379592590E0,-3.838467865E0
4.331076250E-1,7.653733978E0,4.326902161E0,-3.780688019E0
4.431296251E-1,7.573051758E0,4.349654846E0,-3.733536072E0
4.531516250E-1,7.477550354E0,4.425996094E0,-3.778742065E0
4.631746251E-1,7.400310974E0,4.502037964E0,-3.867657166E0
4.731966250E-1,7.370073853E0,4.573888550E0,-3.952081604E0
4.832196251E-1,7.356452179E0,4.596641235E0,-4.002077637E0
4.932416250E-1,7.358098755E0,4.539160767E0,-3.996838531E0
5.032636251E-1,7.357500000E0,4.468807068E0,-3.952979736E0
5.132866250E-1,7.319479065E0,4.463418274E0,-3.855083313E0
5.233086250E-1,7.248227234E0,4.464017029E0,-3.755240936E0
5.333316250E-1,7.279063110E0,4.412075043E0,-3.730392609E0
5.433536250E-1,7.351362762E0,4.299658813E0,-3.811673584E0
5.533756251E-1,7.464527435E0,4.160298615E0,-3.917353821E0
5.633986250E-1,7.432044983E0,4.001628571E0,-4.064348145E0
5.734206251E-1,7.184010773E0,3.807931366E0,-4.201313324E0
5.834436250E-1,7.007078705E0,3.583697662E0,-4.344864807E0
5.934656251E-1,7.114405518E0,3.431613922E0,-4.462220764E0
6.034876250E-1,7.356003113E0,3.430117035E0,-4.386478271E0
6.135106251E-1,7.750582581E0,3.521127777E0,-4.255800018E0
6.235326250E-1,8.081244965E0,3.586691437E0,-4.227359161E0
6.335556250E-1,8.129594421E0,3.589236145E0,-4.329297180E0
6.435776250E-1,7.889194336E0,3.604803772E0,-4.380490723E0
6.535996250E-1,7.471562805E0,3.617976379E0,-4.470154266E0
6.636226251E-1,7.117249603E0,3.637286224E0,-4.613106995E0
6.736446250E-1,7.045399017E0,3.753145294E0,-4.751269684E0
6.836676251E-1,7.235653381E0,3.942501526E0,-4.943919067E0
6.936896250E-1,7.488028564E0,4.203858032E0,-5.046156464E0
7.037116251E-1,7.575297089E0,4.439318390E0,-4.981341248E0
7.137346250E-1,7.548053741E0,4.562212830E0,-4.753515015E0
7.237566251E-1,7.479047241E0,4.547094269E0,-4.442761230E0
7.337796250E-1,7.457492065E0,4.339176636E0,-4.200864258E0
7.438016250E-1,7.554939423E0,4.157604218E0,-4.068240051E0
7.538236250E-1,7.605234833E0,4.080963593E0,-3.865411835E0
7.638466250E-1,7.519912262E0,3.983366547E0,-3.625909882E0
7.738686251E-1,7.317084045E0,3.890260162E0,-3.607498169E0
7.838916250E-1,7.131769409E0,3.844305725E0,-3.790268097E0
7.939136251E-1,7.005432129E0,3.886967010E0,-4.129163361E0
8.039356250E-1,6.932384033E0,4.066294098E0,-4.454287262E0
8.139586251E-1,6.930438080E0,4.190685425E0,-4.678670654E0
8.239806250E-1,6.874155121E0,4.236639862E0,-4.771926727E0
8.340036251E-1,6.734046478E0,4.187991028E0,-4.759951630E0
8.440256250E-1,6.571783905E0,3.975732422E0,-4.787943420E0
8.540476251E-1,6.361920319E0,3.766317902E0,-4.943769379E0
8.640706250E-1,6.156397705E0,3.605402527E0,-5.225483551E0
8.740926250E-1,6.020031281E0,3.550766144E0,-5.507946167E0
8.841156251E-1,6.030958557E0,3.664978638E0,-5.652695160E0
8.941376250E-1,6.073470154E0,3.883673859E0,-5.607638855E0
9.041596251E-1,6.100563812E0,4.084855499E0,-5.470074921E0
9.141826250E-1,6.128854980E0,4.311633911E0,-5.359155579E0
9.242046251E-1,6.170618134E0,4.454736328E0,-5.242847443E0
9.342276250E-1,6.308182068E0,4.527784424E0,-5.128485260E0
9.442496251E-1,6.531817017E0,4.565206604E0,-5.004842377E0
9.542716250E-1,6.830895081E0,4.558919678E0,-4.899162140E0
9.642946250E-1,7.181166687E0,4.567302246E0,-4.931494904E0
9.743166250E-1,7.560926971E0,4.613106995E0,-5.102738800E0
9.843396250E-1,7.904163208E0,4.687202911E0,-5.310357056E0
9.943616251E-1,8.120762787E0,4.784500580E0,-5.578000488E0
1.004383625E0,8.238567810E0,4.805307312E0,-5.880371704E0
1.014406625E0,8.298143921E0,4.658163300E0,-6.108048248E0
1.024428625E0,8.400081940E0,4.462819519E0,-6.230493622E0
1.034451625E0,8.429420929E0,4.341721344E0,-6.173911285E0
