"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.554100990E-3,5.238120425E1,4.860367041E0,2.448884211E0,NaN,NaN,2.582723284E1,3.000000000E1
5.086505413E-2,5.238121701E1,4.860330871E0,2.448731623E0,NaN,NaN,1.586631641E2,3.001862150E1
6.499050856E-1,5.238124499E1,4.860298827E0,2.425510076E0,NaN,NaN,2.565941951E1,3.000000000E1
5.335529208E0,5.238160954E1,4.859968230E0,1.396914291E1,NaN,NaN,2.444792266E1,1.920000000E2
6.335518956E0,5.238117337E1,4.860475849E0,2.226058578E1,0.000000000E0,NaN,2.886333534E1,4.800000000E1
7.335509062E0,5.238120395E1,4.860432382E0,8.046531677E-1,0.000000000E0,NaN,1.386003433E1,4.000000000E0
8.335499167E0,5.238121669E1,4.860446996E0,1.541957855E0,0.000000000E0,NaN,1.356923148E1,4.000000000E0
9.335489631E0,5.238121311E1,4.860494375E0,1.838344574E0,0.000000000E0,NaN,1.314124416E1,4.000000000E0
1.033548021E1,5.238117086E1,4.860482617E0,1.569850922E0,0.000000000E0,NaN,1.390708436E1,4.000000000E0
1.133644724E1,5.238115895E1,4.860506316E0,1.449794769E0,0.000000000E0,NaN,1.295293211E1,4.000000000E0
1.233645701E1,5.238114913E1,4.860495475E0,1.482875824E0,0.000000000E0,NaN,1.388677411E1,4.000000000E0
1.333645034E1,5.238114022E1,4.860505118E0,1.821743011E0,0.000000000E0,NaN,1.398773487E1,4.000000000E0
1.433645582E1,5.238114238E1,4.860511795E0,1.625392914E0,0.000000000E0,NaN,1.370210143E1,4.000000000E0
1.533646512E1,5.238114666E1,4.860493834E0,1.407924652E0,0.000000000E0,NaN,1.396773642E1,4.000000000E0
1.633646119E1,5.238115292E1,4.860484843E0,1.889614105E0,0.000000000E0,NaN,1.310404128E1,4.000000000E0
1.733646727E1,5.238115377E1,4.860483643E0,1.889614174E0,0.000000000E0,NaN,4.744833970E0,4.918873145E0
1.833647716E1,5.238115334E1,4.860476556E0,1.515163489E0,0.000000000E0,NaN,4.748640636E0,5.233133703E0
1.933647001E1,5.238115175E1,4.860479166E0,1.023220130E0,0.000000000E0,NaN,4.686443761E0,5.282015189E0
2.033647251E1,5.238115457E1,4.860473593E0,6.087303851E-1,0.000000000E0,NaN,4.612079175E0,5.372485918E0
