"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.146991667E-2,5.877024413E-1,2.310674206E-1,-7.223737816E-1,-2.817620926E-1,1.080117292E2,1.024979008E2,-4.596123039E1,-1.069299211E2
2.149291662E-2,5.865763196E-1,2.317947909E-1,-7.226956150E-1,-2.826845606E-1,1.081711440E2,1.025936819E2,-4.578948499E1,-1.070454719E2
3.151591658E-2,5.856414288E-1,2.323143773E-1,-7.229846581E-1,-2.834559217E-1,1.083033661E2,1.026731326E2,-4.565285121E1,-1.071491314E2
4.153791664E-2,5.846896054E-1,2.325191056E-1,-7.234327844E-1,-2.841090925E-1,1.084378698E2,1.027739212E2,-4.554867769E1,-1.072908646E2
5.156091659E-2,5.837481818E-1,2.323770918E-1,-7.240531650E-1,-2.845804945E-1,1.085707921E2,1.028987408E2,-4.548520714E1,-1.074704557E2
6.158391666E-2,5.829485402E-1,2.320058834E-1,-7.246838293E-1,-2.849171108E-1,1.086836088E2,1.030160080E2,-4.545517418E1,-1.076502416E2
7.160591660E-2,5.823647326E-1,2.316398170E-1,-7.251464964E-1,-2.852313472E-1,1.087659244E2,1.030953237E2,-4.543522721E1,-1.077895101E2
8.162891667E-2,5.819719872E-1,2.313687495E-1,-7.253962375E-1,-2.856174334E-1,1.088212769E2,1.031291708E2,-4.541049776E1,-1.078813724E2
9.165191662E-2,5.817584502E-1,2.312753732E-1,-7.254412293E-1,-2.860138034E-1,1.088513641E2,1.031253903E2,-4.537888471E1,-1.079210612E2
1.016749166E-1,5.816662539E-1,2.314077986E-1,-7.253042520E-1,-2.864409828E-1,1.088643528E2,1.030914901E2,-4.533268847E1,-1.079137990E2
1.116969166E-1,5.816177218E-1,2.317178519E-1,-7.250183067E-1,-2.870123044E-1,1.088711896E2,1.030300061E2,-4.526382618E1,-1.078764203E2
1.217199166E-1,5.816253504E-1,2.321134843E-1,-7.246135705E-1,-2.876984130E-1,1.088701150E2,1.029436775E2,-4.518204450E1,-1.078169999E2
1.317429167E-1,5.816738930E-1,2.324833019E-1,-7.241915752E-1,-2.883634165E-1,1.088632766E2,1.028527922E2,-4.510547679E1,-1.077533624E2
1.417659166E-1,5.817469968E-1,2.327779716E-1,-7.238110945E-1,-2.889329679E-1,1.088529778E2,1.027696466E2,-4.504284924E1,-1.076954518E2
1.517879167E-1,5.818385713E-1,2.330485543E-1,-7.234858052E-1,-2.893447110E-1,1.088400758E2,1.027014596E2,-4.499468317E1,-1.076405151E2
1.618109166E-1,5.818699813E-1,2.332874848E-1,-7.232679481E-1,-2.896339543E-1,1.088356502E2,1.026588566E2,-4.495570105E1,-1.076030256E2
1.718339166E-1,5.817258706E-1,2.334459359E-1,-7.232601299E-1,-2.898152384E-1,1.088559541E2,1.026621020E2,-4.492381072E1,-1.076088472E2
1.818569166E-1,5.813383831E-1,2.334797166E-1,-7.234984492E-1,-2.899704126E-1,1.089105349E2,1.027150884E2,-4.489343612E1,-1.076730396E2
1.918789166E-1,5.806426334E-1,2.334088256E-1,-7.239629918E-1,-2.902618897E-1,1.090084905E2,1.028108294E2,-4.484798152E1,-1.078014272E2
2.019019166E-1,5.795914805E-1,2.332798984E-1,-7.246456443E-1,-2.907623519E-1,1.091563706E2,1.029484031E2,-4.477615626E1,-1.079956020E2
2.119249166E-1,5.782273450E-1,2.331367466E-1,-7.255294848E-1,-2.913887489E-1,1.093480802E2,1.031280220E2,-4.468230313E1,-1.082445828E2
2.219479167E-1,5.766648771E-1,2.329883054E-1,-7.265381432E-1,-2.920898195E-1,1.095673838E2,1.033337232E2,-4.457409333E1,-1.085270024E2
2.319699166E-1,5.749699521E-1,2.328687980E-1,-7.276083149E-1,-2.928613914E-1,1.098049441E2,1.035529128E2,-4.445182249E1,-1.088269069E2
2.419929166E-1,5.732074868E-1,2.328553110E-1,-7.286645992E-1,-2.936998292E-1,1.100516044E2,1.037725755E2,-4.431261758E1,-1.091242519E2
2.520159166E-1,5.715240258E-1,2.329354111E-1,-7.296022612E-1,-2.945878949E-1,1.102868616E2,1.039685682E2,-4.416527965E1,-1.093943087E2
2.620389166E-1,5.700669671E-1,2.329795599E-1,-7.303708722E-1,-2.954700706E-1,1.104902086E2,1.041239026E2,-4.403069500E1,-1.096261886E2
2.720609166E-1,5.689997351E-1,2.329163607E-1,-7.309187601E-1,-2.962213697E-1,1.106389927E2,1.042263439E2,-4.393131605E1,-1.098024573E2
2.820839166E-1,5.683354059E-1,2.327605649E-1,-7.312546916E-1,-2.967895198E-1,1.107315401E2,1.042802347E2,-4.387076440E1,-1.099214361E2
2.921069167E-1,5.678685558E-1,2.325412959E-1,-7.315137472E-1,-2.972160775E-1,1.107965460E2,1.043167627E2,-4.383447130E1,-1.100156808E2
3.021299166E-1,5.673712652E-1,2.323200882E-1,-7.317853626E-1,-2.976697883E-1,1.108657625E2,1.043553461E2,-4.379487659E1,-1.101146347E2
3.121519167E-1,5.667560582E-1,2.321252644E-1,-7.321204511E-1,-2.981695973E-1,1.109513516E2,1.044084708E2,-4.374436502E1,-1.102301257E2
3.221749166E-1,5.662046931E-1,2.319331380E-1,-7.324011702E-1,-2.986769610E-1,1.110280215E2,1.044492755E2,-4.369598836E1,-1.103337048E2
3.321979166E-1,5.659241847E-1,2.317923886E-1,-7.324653809E-1,-2.991596057E-1,1.110670140E2,1.044446810E2,-4.365813028E1,-1.103849618E2
3.422209166E-1,5.659874472E-1,2.317497149E-1,-7.322606526E-1,-2.995737828E-1,1.110582209E2,1.043864868E2,-4.363394006E1,-1.103676294E2
3.522429166E-1,5.664372383E-1,2.319071544E-1,-7.317225427E-1,-2.999167738E-1,1.109956893E2,1.042657577E2,-4.361776941E1,-1.102636403E2
3.622659167E-1,5.671193113E-1,2.322545077E-1,-7.309358507E-1,-3.002769081E-1,1.109008203E2,1.040991159E2,-4.359642376E1,-1.100986066E2
3.722889166E-1,5.677361515E-1,2.326687691E-1,-7.301390645E-1,-3.007289963E-1,1.108149778E2,1.039320304E2,-4.355987238E1,-1.099356816E2
3.823119166E-1,5.680826302E-1,2.330760130E-1,-7.295081894E-1,-3.012899392E-1,1.107667407E2,1.037996978E2,-4.350318888E1,-1.098181983E2
3.923339166E-1,5.680371222E-1,2.333956125E-1,-7.291418912E-1,-3.020139272E-1,1.107730771E2,1.037185282E2,-4.342321700E1,-1.097745603E2
