"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.988374977E-3,7.250771942E0,6.843618622E0,9.395960999E-1
8.033624967E-3,7.812853088E0,7.183561707E0,1.060245209E0
1.805662503E-2,7.740852814E0,7.438930664E0,1.167572021E0
2.807862498E-2,7.273973694E0,7.372917938E0,1.276844788E0
3.810162505E-2,6.904392242E0,7.076833649E0,1.523831177E0
4.812362499E-2,6.652615814E0,6.754553833E0,1.693428497E0
5.814662506E-2,6.488706665E0,6.768474884E0,1.775008850E0
6.816962501E-2,6.486611023E0,6.951095123E0,1.784888306E0
7.819162507E-2,6.591393127E0,7.066505127E0,1.687890015E0
8.821462502E-2,6.738088074E0,7.069049835E0,1.487456818E0
9.823662497E-2,6.876699829E0,7.025640106E0,1.205892334E0
1.082596250E-1,7.099736023E0,6.887926483E0,1.013242950E0
1.182816250E-1,7.235952759E0,6.741381226E0,9.026229858E-1
1.283046250E-1,7.204817505E0,6.627767487E0,9.300160217E-1
1.383276250E-1,7.176376648E0,6.540798340E0,1.094673615E0
1.483496251E-1,7.048392792E0,6.550528107E0,1.265618134E0
1.583726250E-1,6.753955078E0,6.749464417E0,1.434616699E0
1.683946251E-1,6.508764954E0,7.023843842E0,1.539847870E0
1.784176250E-1,6.452481995E0,7.156767426E0,1.470841370E0
1.884396250E-1,6.634353790E0,7.050937500E0,1.230590973E0
1.984626250E-1,6.894812164E0,6.845714264E0,1.003513184E0
2.084856250E-1,7.161258087E0,6.688241730E0,9.514215088E-1
2.185076250E-1,7.277416534E0,6.573729858E0,9.864486694E-1
2.285306250E-1,7.275320892E0,6.551426239E0,1.078956299E0
2.385526251E-1,7.148534546E0,6.572083282E0,1.138682098E0
2.485756250E-1,7.020700378E0,6.701713715E0,1.111588440E0
2.585976251E-1,7.022945709E0,6.937473450E0,1.188378754E0
2.686206250E-1,7.097790070E0,7.159611511E0,1.287772064E0
2.786436250E-1,7.220684509E0,7.295528870E0,1.425186310E0
2.886656250E-1,7.333549805E0,7.270530853E0,1.703307953E0
2.986886250E-1,7.315437469E0,7.177723846E0,1.943258972E0
3.087106250E-1,7.246730347E0,7.104226685E0,1.932182007E0
