"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.125083357E-6,-1.250349884E0,8.122708740E0,4.580774231E0
1.002912503E-2,-1.079105988E0,8.487949219E0,4.649481354E0
2.005212498E-2,-9.843530273E-1,8.383616180E0,4.860991516E0
3.007412492E-2,-6.397695923E-1,8.552465057E0,4.933590546E0
4.009712511E-2,1.769320679E-1,9.258247375E0,5.424719238E0
5.011912505E-2,-6.541397095E-2,8.622818756E0,5.918841705E0
6.014212500E-2,-1.745819550E0,7.123536530E0,5.299729156E0
7.016412495E-2,-2.378553772E0,7.486232300E0,4.612957306E0
8.018712513E-2,-1.762285309E0,9.014254761E0,4.734354858E0
9.020912508E-2,-1.407373352E0,9.591903534E0,5.077591095E0
1.002321250E-1,-1.552122345E0,9.386231232E0,5.210963745E0
1.102541250E-1,-1.628912659E0,9.138197021E0,5.072501678E0
1.202771249E-1,-1.283580780E0,9.021888885E0,5.052293701E0
1.302991251E-1,-8.372090149E-1,8.827293549E0,5.086871796E0
1.403211250E-1,-5.911207581E-1,8.597521362E0,5.107977905E0
1.503441250E-1,-5.863307190E-1,8.536598053E0,5.108726349E0
1.603661249E-1,-7.695497131E-1,8.570876770E0,5.098846893E0
1.703891251E-1,-7.509883118E-1,8.719817047E0,5.049898682E0
1.804111251E-1,-6.640191650E-1,8.753347321E0,5.028493195E0
1.904341250E-1,-6.490502930E-1,8.646768951E0,4.965324554E0
2.004561250E-1,-7.063810730E-1,8.514593811E0,4.934937744E0
2.104791251E-1,-7.948471069E-1,8.476722565E0,4.908592529E0
2.205011251E-1,-9.008267212E-1,8.298143921E0,4.951852570E0
2.305241250E-1,-9.342073059E-1,8.057743835E0,4.945266266E0
2.405461250E-1,-1.060245209E0,7.946674805E0,4.901407471E0
2.505691249E-1,-1.271755371E0,7.943082275E0,4.803211670E0
2.605911251E-1,-1.398092651E0,7.922874298E0,4.723876648E0
2.706141251E-1,-1.357227631E0,7.930209045E0,4.709057465E0
2.806361250E-1,-1.427880707E0,7.751181335E0,4.680616608E0
2.906591250E-1,-1.554068298E0,7.668702850E0,4.583768005E0
3.006811251E-1,-1.674867096E0,7.682623901E0,4.523144073E0
3.107041251E-1,-1.806742859E0,7.666307831E0,4.446653137E0
3.207261250E-1,-1.875150604E0,7.689659271E0,4.472249908E0
3.307491250E-1,-1.886676636E0,7.781867523E0,4.519850922E0
3.407711249E-1,-2.120041351E0,7.609875183E0,4.497098236E0
3.507931251E-1,-2.581381989E0,7.269932098E0,4.603077850E0
3.608161251E-1,-2.829865265E0,7.391778717E0,4.647385712E0
3.708381250E-1,-2.844534760E0,7.909851379E0,4.753664703E0
3.808611250E-1,-2.796185303E0,8.658145294E0,4.920268250E0
3.908831251E-1,-2.492616577E0,9.217532043E0,5.042713623E0
4.009061251E-1,-1.797761536E0,9.705367584E0,4.891977081E0
4.109281250E-1,-5.710624695E-1,9.940678253E0,4.647086334E0
4.209511250E-1,1.639091492E0,9.623038788E0,4.808151398E0
4.309731249E-1,5.123096466E0,9.013206940E0,5.194497986E0
4.409961251E-1,9.145531769E0,9.729317780E0,4.365671539E0
4.510181251E-1,1.191222839E1,1.248643433E1,3.079546051E0
4.610411250E-1,1.082758392E1,1.343980179E1,3.012186127E0
4.710631249E-1,6.039341125E0,1.145642624E1,4.177363129E0
4.810861251E-1,1.783840485E0,9.517208862E0,5.370082855E0
4.911081251E-1,-3.360511780E-1,8.738378448E0,5.764812012E0
5.011311250E-1,-8.279283142E-1,9.015452271E0,5.791306915E0
5.111531250E-1,3.863465881E-1,9.327104187E0,5.605393524E0
5.211761249E-1,2.148482208E0,9.222621460E0,5.281317444E0
5.311981251E-1,2.764451294E0,8.981622620E0,5.077740784E0
5.412211251E-1,2.341880035E0,8.596473541E0,5.020559692E0
5.512431250E-1,1.433568878E0,8.499175873E0,5.054089966E0
5.612651249E-1,5.026547241E-1,8.757688293E0,4.977898407E0
5.712881251E-1,-1.437011719E-1,8.967102814E0,4.829556885E0
5.813101251E-1,-5.074447632E-1,9.029223633E0,4.687352600E0
5.913331250E-1,-6.947053528E-1,9.115444336E0,4.508025513E0
6.013551250E-1,-6.459068298E-1,9.005722504E0,4.265679474E0
6.113781251E-1,-2.076182556E-1,8.496631165E0,3.971391449E0
6.214001251E-1,5.507048035E-1,7.892637177E0,3.600013733E0
6.314231250E-1,1.589394836E0,7.473209381E0,3.119063873E0
6.414451250E-1,2.756068726E0,7.312443695E0,2.769690399E0
6.514681249E-1,3.931424561E0,7.223977661E0,2.621947632E0
6.614901251E-1,4.866829376E0,7.204218750E0,2.566712494E0
6.715131251E-1,5.521418152E0,7.393425293E0,2.572849731E0
6.815351250E-1,5.907315674E0,7.616012421E0,2.609224091E0
6.915581250E-1,6.268215179E0,7.759863281E0,2.566113739E0
7.015801251E-1,6.732250214E0,7.645052032E0,2.571053467E0
7.116031251E-1,7.256460114E0,7.153174896E0,2.786754913E0
7.216251250E-1,7.735464020E0,6.411916351E0,3.151696014E0
7.316481250E-1,8.004754028E0,5.768853607E0,3.445085907E0
7.416701249E-1,8.213270416E0,5.333708496E0,3.633544006E0
7.516931251E-1,8.374036102E0,5.055886230E0,3.767216034E0
7.617151251E-1,8.544531555E0,4.926106110E0,3.769760742E0
7.717371250E-1,8.747060394E0,4.950804749E0,3.784579926E0
7.817601250E-1,8.907826080E0,5.066663818E0,3.883823547E0
7.917821251E-1,8.854237518E0,5.270090790E0,3.915407867E0
8.018051251E-1,8.690478058E0,5.531447296E0,3.783981171E0
8.118271250E-1,8.444988556E0,5.740113373E0,3.655248871E0
8.218501250E-1,8.223449249E0,5.772446136E0,3.532803497E0
8.318721249E-1,8.140521698E0,5.573360138E0,3.494632874E0
8.418951251E-1,7.996371460E0,5.252726898E0,3.597618713E0
8.519171251E-1,7.827073517E0,4.963677979E0,3.650907898E0
8.619401250E-1,7.709418182E0,4.750072174E0,3.652105408E0
8.719621249E-1,7.776329041E0,4.550237732E0,3.684887238E0
8.819851251E-1,7.966583405E0,4.438420258E0,3.701352997E0
8.920071251E-1,8.166717224E0,4.493655396E0,3.665427704E0
9.020301250E-1,8.506959686E0,4.834346924E0,3.604055328E0
9.120521250E-1,8.852441254E0,5.119653625E0,4.005819855E0
9.220751249E-1,8.807534637E0,5.252128143E0,4.364324341E0
9.320971251E-1,8.533155212E0,5.231022034E0,4.690496063E0
9.421201251E-1,8.101303253E0,5.176535339E0,4.685256958E0
9.521421250E-1,7.633675690E0,5.216053162E0,4.080963593E0
