"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.378812501E-2,-6.700270329E-1,8.560710801E0,4.743564808E0
2.381112496E-2,-6.558560865E-1,8.564378175E0,4.738920949E0
3.383312514E-2,-6.480213292E-1,8.568154306E0,4.733170213E0
4.385612509E-2,-6.616109893E-1,8.572950777E0,4.722592892E0
5.387812504E-2,-6.899044964E-1,8.579880313E0,4.705930958E0
6.390112499E-2,-7.070379346E-1,8.586927377E0,4.690510681E0
7.392312493E-2,-7.017225232E-1,8.591970016E0,4.682067010E0
8.394612512E-2,-6.804320801E-1,8.596058974E0,4.677700601E0
9.396812506E-2,-6.466450408E-1,8.599973100E0,4.675297980E0
1.039911250E-1,-6.029607850E-1,8.603135274E0,4.675318153E0
1.140131250E-1,-5.550334607E-1,8.605394053E0,4.677096876E0
1.240361251E-1,-5.082934500E-1,8.608230538E0,4.677188970E0
1.340581251E-1,-4.656521548E-1,8.613065600E0,4.672725790E0
1.440801250E-1,-4.304793619E-1,8.620027880E0,4.663250670E0
1.541031250E-1,-4.036272300E-1,8.628342036E0,4.650256695E0
1.641251249E-1,-3.825194393E-1,8.636856751E0,4.636216068E0
1.741481251E-1,-3.641075074E-1,8.644861590E0,4.622759286E0
1.841701251E-1,-3.466939145E-1,8.652286969E0,4.610186895E0
1.941931250E-1,-3.288540960E-1,8.658841113E0,4.599175419E0
2.042151249E-1,-3.112693259E-1,8.664069693E0,4.590545513E0
2.142381251E-1,-2.948961536E-1,8.668072112E0,4.584066506E0
2.242601251E-1,-2.799304975E-1,8.671148332E0,4.579183788E0
2.342831250E-1,-2.648780651E-1,8.673484880E0,4.575651485E0
2.443051250E-1,-2.482007462E-1,8.675106897E0,4.573511697E0
2.543281249E-1,-2.285448740E-1,8.675978132E0,4.572884583E0
2.643501251E-1,-2.046929119E-1,8.676051223E0,4.573876271E0
2.743731251E-1,-1.752490930E-1,8.675283483E0,4.576554295E0
2.843951250E-1,-1.397911388E-1,8.673778410E0,4.580625419E0
2.944181249E-1,-9.802140757E-2,8.671022617E0,4.586923163E0
3.044401251E-1,-4.742820969E-2,8.666740116E0,4.595811515E0
3.144631251E-1,1.444646903E-2,8.660756076E0,4.607299832E0
3.244851250E-1,8.668593136E-2,8.653100901E0,4.620868004E0
3.345081250E-1,1.683777558E-1,8.643688053E0,4.636206420E0
3.445301251E-1,2.630053846E-1,8.632062619E0,4.653432902E0
3.545521251E-1,3.742061605E-1,8.617614149E0,4.672559144E0
3.645751250E-1,5.053016125E-1,8.599058595E0,4.694352887E0
3.745971250E-1,6.665695012E-1,8.575748085E0,4.716813211E0
3.846201249E-1,8.657870621E-1,8.546716075E0,4.737104512E0
3.946421251E-1,1.106835458E0,8.509237177E0,4.754355844E0
4.046651251E-1,1.389622667E0,8.461662476E0,4.765008302E0
4.146871250E-1,1.696442591E0,8.408582622E0,4.759613368E0
4.247101250E-1,1.959787004E0,8.366817130E0,4.731987028E0
4.347321251E-1,2.117238342E0,8.343791379E0,4.704736372E0
4.447551251E-1,2.196467384E0,8.324202622E0,4.703112893E0
4.547771250E-1,2.249113082E0,8.300668749E0,4.719798800E0
4.648001250E-1,2.313825826E0,8.268831244E0,4.744337517E0
4.748221249E-1,2.426427119E0,8.222497907E0,4.768551130E0
4.848451251E-1,2.590439326E0,8.161593309E0,4.786869287E0
4.948671251E-1,2.770249101E0,8.090462515E0,4.806895708E0
5.048901250E-1,2.927957278E0,8.014976131E0,4.839765831E0
5.149121250E-1,3.036947038E0,7.943889776E0,4.889546394E0
5.249351251E-1,3.100501302E0,7.881996998E0,4.949456965E0
5.349571251E-1,3.139225073E0,7.828600225E0,5.009429517E0
5.449801250E-1,3.167231189E0,7.779857250E0,5.067402322E0
5.550021250E-1,3.188699242E0,7.731566266E0,5.127492988E0
5.650241249E-1,3.205511156E0,7.681082575E0,5.192471926E0
5.750471251E-1,3.221495105E0,7.628131360E0,5.260197301E0
5.850691251E-1,3.247194787E0,7.573154084E0,5.323454234E0
5.950921250E-1,3.291006220E0,7.516426152E0,5.376683777E0
6.051141249E-1,3.357553673E0,7.457821264E0,5.416996236E0
6.151371251E-1,3.450115682E0,7.396806153E0,5.442432209E0
6.251591251E-1,3.568320070E0,7.331892704E0,5.454038932E0
6.351821250E-1,3.708560860E0,7.262480407E0,5.453353638E0
6.452041250E-1,3.864744375E0,7.190086030E0,5.440820716E0
6.552271249E-1,4.030816702E0,7.117081203E0,5.416250131E0
6.652491251E-1,4.201734324E0,7.045682607E0,5.379580488E0
6.752721251E-1,4.373029091E0,6.976408305E0,5.333144825E0
6.852941250E-1,4.540598889E0,6.908837296E0,5.280816922E0
6.953171249E-1,4.704722047E0,6.841658050E0,5.224308845E0
7.053391251E-1,4.867089577E0,6.773471915E0,5.164069660E0
7.153621251E-1,5.027930692E0,6.704061956E0,5.100152577E0
7.253841250E-1,5.188012254E0,6.632023675E0,5.033576764E0
7.354071250E-1,5.347447699E0,6.554912349E0,4.967296820E0
7.454291251E-1,5.504698623E0,6.471196593E0,4.904897381E0
7.554521251E-1,5.659619433E0,6.379050322E0,4.848970810E0
7.654741250E-1,5.810244877E0,6.277849637E0,4.802682205E0
7.754961250E-1,5.953796360E0,6.168911331E0,4.767909398E0
7.855191249E-1,6.092068977E0,6.052433041E0,4.742452083E0
7.955411251E-1,6.227791623E0,5.926410926E0,4.725288751E0
8.055641251E-1,6.362264720E0,5.790154429E0,4.715060801E0
8.155861250E-1,6.497379255E0,5.643795113E0,4.708263120E0
8.256091250E-1,6.634547333E0,5.489015806E0,4.699956273E0
8.356311251E-1,6.774586394E0,5.328738363E0,4.684616103E0
8.456541251E-1,6.918051338E0,5.165451357E0,4.657765397E0
8.556761250E-1,7.063761613E0,5.000725937E0,4.618670036E0
8.656991250E-1,7.209278346E0,4.835821592E0,4.569161076E0
8.757211249E-1,7.350877444E0,4.673801970E0,4.511791412E0
8.857441251E-1,7.485517770E0,4.517041627E0,4.449658898E0
8.957661251E-1,7.612414629E0,4.365224812E0,4.385436882E0
9.057891250E-1,7.731506624E0,4.217106069E0,4.321565699E0
9.158111250E-1,7.840078309E0,4.072450339E0,4.264320873E0
9.258341251E-1,7.934821914E0,3.931342992E0,4.221285658E0
9.358561251E-1,8.012845990E0,3.796454451E0,4.197300088E0
9.458791250E-1,8.071788847E0,3.668553625E0,4.198098817E0
9.559011250E-1,8.110359421E0,3.545653338E0,4.229244596E0
9.659241249E-1,8.118630307E0,3.447397896E0,4.294111268E0
9.759461251E-1,8.089460303E0,3.403597281E0,4.383178103E0
9.859691251E-1,8.023395537E0,3.417856301E0,4.492157046E0
9.959911250E-1,7.922273789E0,3.483497144E0,4.619405323E0
1.006013125E0,7.806973128E0,3.583174629E0,4.737944464E0
1.016036125E0,7.713416508E0,3.686122462E0,4.811632245E0
1.026058125E0,7.665277551E0,3.766581026E0,4.826228065E0
1.036081125E0,7.664627926E0,3.816287037E0,4.788061827E0
1.046103125E0,7.703116638E0,3.839095564E0,4.707381068E0
1.056126125E0,7.769898273E0,3.843150315E0,4.592927669E0
1.066148125E0,7.858356121E0,3.835039058E0,4.446889657E0
1.076171125E0,7.964600029E0,3.817131375E0,4.269749136E0
1.086193125E0,8.082800324E0,3.788756007E0,4.068141526E0
1.096216125E0,8.205293645E0,3.747560911E0,3.855521854E0
1.106238125E0,8.325017139E0,3.692148018E0,3.646673637E0
1.116261125E0,8.435893212E0,3.622332847E0,3.456951077E0
1.126283125E0,8.532562889E0,3.538760933E0,3.302824612E0
1.136306125E0,8.610069487E0,3.444384533E0,3.199849589E0
1.146328125E0,8.665680016E0,3.342718703E0,3.157265780E0
1.156351125E0,8.699390969E0,3.236888485E0,3.174786084E0
1.166373125E0,8.712394592E0,3.129805501E0,3.245705501E0
1.176396125E0,8.706776002E0,3.022867820E0,3.360122648E0
1.186418125E0,8.685392734E0,2.916057024E0,3.506660011E0
1.196440125E0,8.652010396E0,2.810747501E0,3.671309126E0
1.206463125E0,8.609766017E0,2.707444157E0,3.844185565E0
1.216485125E0,8.562729844E0,2.605781250E0,4.015675629E0
1.226508125E0,8.518116174E0,2.504802759E0,4.171780792E0
1.236530125E0,8.482391440E0,2.409395203E0,4.298831432E0
1.246553125E0,8.459901879E0,2.328492981E0,4.386831443E0
1.256575125E0,8.449637092E0,2.269497499E0,4.437242336E0
1.266598125E0,8.446175541E0,2.232892906E0,4.462333615E0
1.276620125E0,8.447975314E0,2.206799852E0,4.471896152E0
1.286643125E0,8.465129875E0,2.176732007E0,4.454158623E0
1.296665125E0,8.511949700E0,2.137070197E0,4.383576006E0
1.306688125E0,8.588739429E0,2.087244903E0,4.255945322E0
1.316710125E0,8.681978545E0,2.024942528E0,4.093769287E0
1.326733125E0,8.781412786E0,1.949400741E0,3.914424658E0
1.336755125E0,8.881135880E0,1.865665543E0,3.725695540E0
1.346778125E0,8.971147918E0,1.781967329E0,3.546719286E0
1.356800125E0,9.041326784E0,1.708800535E0,3.401546955E0
1.366823125E0,9.087411615E0,1.656867758E0,3.303006753E0
1.376845125E0,9.110256101E0,1.632261213E0,3.251934540E0
1.386868125E0,9.113660350E0,1.631956134E0,3.242531925E0
1.396890125E0,9.103306101E0,1.646837737E0,3.264021904E0
1.406913125E0,9.085110735E0,1.668045442E0,3.303705787E0
1.416935125E0,9.064061928E0,1.688316423E0,3.350892233E0
1.426957125E0,9.045071926E0,1.703388498E0,3.394293483E0
1.436980125E0,9.034651603E0,1.709622946E0,3.418827231E0
1.447002125E0,9.039475556E0,1.704242923E0,3.408745462E0
1.457025125E0,9.063805820E0,1.686860612E0,3.352316322E0
1.467047125E0,9.107103868E0,1.664984278E0,3.244162713E0
1.477070125E0,9.160790663E0,1.648537815E0,3.098119439E0
1.487092125E0,9.212032152E0,1.641056595E0,2.946435649E0
1.497115125E0,9.251695570E0,1.641333168E0,2.819264555E0
1.507137125E0,9.275263942E0,1.647676812E0,2.736922895E0
1.517160125E0,9.281134547E0,1.659229741E0,2.709910513E0
1.527182125E0,9.272640882E0,1.676320860E0,2.728403794E0
1.537205125E0,9.254287641E0,1.700459336E0,2.775375939E0
1.547227125E0,9.222792199E0,1.733721368E0,2.858395292E0
1.557250125E0,9.172525440E0,1.773701851E0,2.992466684E0
1.567272125E0,9.107665200E0,1.812474884E0,3.162509855E0
1.577295125E0,9.037760568E0,1.842481626E0,3.340695858E0
1.587317708E0,8.972398637E0,1.861297089E0,3.502533047E0
1.597340708E0,8.920118097E0,1.871522992E0,3.628357234E0
1.607362708E0,8.888362454E0,1.878086345E0,3.702150265E0
1.617384708E0,8.881299602E0,1.882343995E0,3.716906590E0
1.627407708E0,8.899010233E0,1.881175429E0,3.674900193E0
1.637429708E0,8.938420467E0,1.870513178E0,3.583564638E0
1.647452708E0,8.994437962E0,1.849230774E0,3.452035323E0
1.657474708E0,9.061465765E0,1.820007268E0,3.288391052E0
1.667497708E0,9.133328630E0,1.787139191E0,3.102345222E0
1.677519708E0,9.200305561E0,1.756815092E0,2.916178939E0
1.687542708E0,9.252403083E0,1.738064680E0,2.758310256E0
1.697564708E0,9.285134043E0,1.738908141E0,2.645485306E0
1.707587708E0,9.298718879E0,1.760293162E0,2.582886477E0
1.717609708E0,9.295830354E0,1.797364217E0,2.567713245E0
1.727632708E0,9.281076660E0,1.844507978E0,2.587570097E0
1.737654708E0,9.260243030E0,1.894895482E0,2.625523789E0
1.747677708E0,9.238492557E0,1.940651406E0,2.668374232E0
1.757699708E0,9.220370282E0,1.971597503E0,2.708076534E0
1.767722708E0,9.210537019E0,1.977936615E0,2.736765313E0
1.777744708E0,9.213064186E0,1.954511208E0,2.745076253E0
1.787767708E0,9.229894812E0,1.900850140E0,2.726154078E0
1.797789708E0,9.260469902E0,1.823693499E0,2.674684547E0
1.807811708E0,9.301382870E0,1.735142388E0,2.590299285E0
1.817834708E0,9.345737509E0,1.646590838E0,2.486365611E0
1.827856708E0,9.386494941E0,1.564324461E0,2.383842871E0
1.837879708E0,9.419687245E0,1.487493947E0,2.300644155E0
1.847901708E0,9.445303897E0,1.410859170E0,2.243169972E0
1.857924708E0,9.465025971E0,1.328372791E0,2.210164340E0
1.867946708E0,9.479442866E0,1.238790377E0,2.200375224E0
1.877969708E0,9.488737600E0,1.143979822E0,2.211625267E0
1.887991708E0,9.491399252E0,1.047846700E0,2.247543251E0
1.898014708E0,9.487351225E0,9.567079034E-1,2.304552288E0
1.908036708E0,9.479341709E0,8.799411978E-1,2.367252274E0
1.918059708E0,9.471928024E0,8.269136761E-1,2.415555099E0
1.928081708E0,9.470292558E0,7.967542494E-1,2.432048925E0
1.938104708E0,9.476926224E0,7.789801025E-1,2.411879831E0
1.948126708E0,9.491676995E0,7.625524233E-1,2.358534952E0
1.958149708E0,9.513747311E0,7.385226327E-1,2.275809422E0
1.968171708E0,9.542220912E0,7.022027989E-1,2.165414575E0
1.978193708E0,9.574048476E0,6.536361911E-1,2.036286419E0
1.988216708E0,9.603189830E0,5.987850691E-1,1.912143014E0
1.998238708E0,9.624363767E0,5.466340085E-1,1.819041015E0
2.008261708E0,9.633731591E0,5.080238933E-1,1.780226613E0
2.018283708E0,9.629895233E0,4.942160956E-1,1.804707297E0
2.028306708E0,9.613184475E0,5.097513801E-1,1.887574037E0
2.038328708E0,9.584654156E0,5.510395200E-1,2.016646645E0
2.048351708E0,9.546440848E0,6.090931621E-1,2.174988806E0
2.058373708E0,9.503230509E0,6.736645858E-1,2.338992388E0
2.068396708E0,9.461560326E0,7.366240418E-1,2.484421704E0
2.078418708E0,9.427200333E0,7.927130194E-1,2.595306840E0
2.088441708E0,9.401653263E0,8.350891799E-1,2.673509841E0
2.098463708E0,9.383663719E0,8.547610407E-1,2.729898927E0
2.108486708E0,9.374556096E0,8.457908271E-1,2.763775648E0
2.118508708E0,9.372192067E0,8.211163080E-1,2.779187447E0
2.128531708E0,9.368924058E0,8.028425165E-1,2.795500009E0
2.138553708E0,9.362192159E0,7.934494031E-1,2.820618478E0
2.148575708E0,9.353843504E0,7.846118483E-1,2.850631651E0
2.158598708E0,9.344913636E0,7.683426286E-1,2.884153739E0
2.168620708E0,9.337376575E0,7.410814474E-1,2.915529898E0
2.178643708E0,9.333406316E0,7.043979167E-1,2.937252012E0
2.188665708E0,9.332651441E0,6.633890545E-1,2.949174777E0
2.198688708E0,9.333693999E0,6.263191690E-1,2.953974756E0
