"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.378812501E-2,5.672131106E-2,-7.253827155E-2,1.244055182E-1
2.381112496E-2,6.286442280E-2,-6.447980553E-2,1.233674139E-1
3.383312514E-2,6.796077639E-2,1.858920455E-1,9.091242403E-2
4.385612509E-2,1.164417565E-1,6.522299051E-1,6.716687977E-2
5.387812504E-2,1.492028683E-1,7.315592766E-1,8.098156750E-2
6.390112499E-2,1.154470220E-1,3.014038801E-1,1.036312208E-1
7.392312493E-2,7.417508960E-2,-1.186331585E-1,1.024773866E-1
8.394612512E-2,6.627269089E-2,-3.375902772E-1,1.389786750E-1
9.396812506E-2,5.169019103E-2,-4.833182395E-1,1.964807659E-1
1.039911250E-1,2.877395600E-2,-6.285942197E-1,2.037954032E-1
1.140131250E-1,2.492472529E-2,-6.781170368E-1,1.887186915E-1
1.240361251E-1,5.852555856E-2,-6.321516633E-1,1.794783324E-1
1.340581251E-1,1.103640720E-1,-5.257604122E-1,1.736991554E-1
1.440801250E-1,1.559488624E-1,-4.079525471E-1,1.339650601E-1
1.541031250E-1,1.751595736E-1,-3.016418219E-1,1.075156108E-1
1.641251249E-1,1.701448411E-1,-2.146952003E-1,1.095547900E-1
1.741481251E-1,1.570670456E-1,-1.570185870E-1,1.179256886E-1
1.841701251E-1,1.445549726E-1,-1.498184651E-1,1.214394644E-1
1.941931250E-1,1.195099950E-1,-1.530555040E-1,1.261562258E-1
2.042151249E-1,9.202218056E-2,-1.654759496E-1,1.072051749E-1
2.142381251E-1,6.970933080E-2,-1.544685066E-1,9.768504649E-2
2.242601251E-1,5.214764550E-2,-1.343930662E-1,9.771195054E-2
2.342831250E-1,3.781597316E-2,-1.583950520E-1,9.668347985E-2
2.443051250E-1,2.355740964E-2,-2.464122474E-1,7.538032532E-2
2.543281249E-1,8.628571406E-3,-3.769922853E-1,4.956490174E-2
2.643501251E-1,-1.170439646E-2,-4.860346019E-1,4.578667507E-2
2.743731251E-1,-2.472983673E-2,-5.838737488E-1,6.675885618E-2
2.843951250E-1,-4.652728140E-2,-7.009791136E-1,7.051125169E-2
2.944181249E-1,-7.712558657E-2,-8.552731276E-1,7.087969035E-2
3.044401251E-1,-1.117275059E-1,-1.033704042E0,9.809958935E-2
