"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.378812501E-2,-4.235986874E-1,-8.578391612E-2,-1.394391364E-1
2.381112496E-2,-3.505011097E-1,-1.710328120E-1,1.129392627E-1
3.383312514E-2,-6.823905319E-2,-6.823057473E-2,1.724285424E-1
4.385612509E-2,7.384012299E-1,6.146435219E-1,6.185997480E-1
5.387812504E-2,7.749276897E-1,2.378331578E-1,1.210216350E0
6.390112499E-2,-8.447850329E-1,-1.350974618E0,7.325619811E-1
7.392312493E-2,-1.696440398E0,-1.262312118E0,-2.884314537E-2
8.394612512E-2,-1.169421203E0,2.530891281E-1,1.563954771E-2
9.396812506E-2,-7.710566868E-1,9.863919514E-1,3.624759150E-1
1.039911250E-1,-9.166789614E-1,8.113871258E-1,5.368428093E-1
1.140131250E-1,-1.092889629E0,5.510649920E-1,4.172590631E-1
1.240361251E-1,-8.348634043E-1,4.251837945E-1,3.728591082E-1
1.340581251E-1,-4.248459351E-1,2.434172487E-1,4.150441378E-1
1.440801250E-1,-1.759097553E-1,1.743054986E-3,4.460741419E-1
1.541031250E-1,-1.623456768E-1,-8.650546253E-2,4.608643815E-1
1.641251249E-1,-3.684688359E-1,-7.600795627E-2,4.717621297E-1
1.741481251E-1,-4.019993286E-1,5.908845305E-2,4.320788312E-1
1.841701251E-1,-3.173251775E-1,1.089932692E-1,4.180066296E-1
1.941931250E-1,-3.212438718E-1,7.686164975E-3,3.725854585E-1
2.042151249E-1,-3.862802588E-1,-1.464821076E-1,3.502300912E-1
2.142381251E-1,-4.828864574E-1,-1.823682243E-1,3.261723071E-1
2.242601251E-1,-6.120645709E-1,-3.414200914E-1,3.681781197E-1
2.342831250E-1,-6.642398974E-1,-5.907441974E-1,3.778470755E-1
2.443051250E-1,-7.975246932E-1,-7.218457890E-1,3.392718244E-1
2.543281249E-1,-1.019559551E0,-7.369374526E-1,2.349674374E-1
2.643501251E-1,-1.183669918E0,-7.519794148E-1,1.603288990E-1
2.743731251E-1,-1.182277915E0,-7.434284467E-1,1.269646865E-1
2.843951250E-1,-1.267432525E0,-9.007425213E-1,1.089728040E-1
2.944181249E-1,-1.433443894E0,-1.007259495E0,1.211309195E-2
3.044401251E-1,-1.618457545E0,-9.826181585E-1,-6.877495050E-2
3.144631251E-1,-1.803376324E0,-9.935501128E-1,-1.431328225E-1
3.244851250E-1,-1.960489401E0,-9.818539274E-1,-1.620903727E-1
3.345081250E-1,-2.043977408E0,-8.627186626E-1,-1.227921134E-1
3.445301251E-1,-2.335296217E0,-9.760827255E-1,-1.594781291E-1
3.545521251E-1,-2.906939169E0,-1.319241194E0,-7.995950460E-2
3.645751250E-1,-3.315707490E0,-1.243355445E0,-5.879258394E-2
3.745971250E-1,-3.507661347E0,-7.476273322E-1,3.295929283E-2
3.846201249E-1,-3.674246767E0,1.428123951E-2,1.611592036E-1
3.946421251E-1,-3.660524814E0,6.565025693E-1,2.805739653E-1
4.046651251E-1,-3.301746678E0,1.196402888E0,1.539124569E-1
4.146871250E-1,-2.469135913E0,1.519671468E0,-9.007401824E-2
4.247101250E-1,-6.649798626E-1,1.336155435E0,1.808485329E-2
4.347321251E-1,2.501706659E0,7.233034998E-1,4.798818657E-1
4.447551251E-1,6.477394642E0,1.173546122E0,-1.557198313E-1
4.547771250E-1,9.462682407E0,3.839086500E0,-1.534572512E0
4.648001250E-1,8.922707829E0,5.265273854E0,-1.811935479E0
4.748221249E-1,4.262114426E0,3.527617602E0,-7.664734930E-1
4.848451251E-1,-3.988467658E-1,1.542726454E0,4.722942263E-1
4.948671251E-1,-2.939547044E0,6.738120818E-1,9.478874516E-1
5.048901250E-1,-3.782081410E0,9.340149325E-1,9.648630881E-1
5.149121250E-1,-2.877079777E0,1.375729975E0,7.568618399E-1
5.249351251E-1,-1.125358925E0,1.357389598E0,3.643423462E-1
5.349571251E-1,-3.789650631E-1,1.203617182E0,8.881803632E-2
5.449801250E-1,-7.325438547E-1,8.598763311E-1,-5.268048942E-2
5.550021250E-1,-1.634630943E0,7.563829529E-1,-7.594831467E-2
5.650241249E-1,-2.595230534E0,1.038435094E0,-1.957127398E-1
5.750471251E-1,-3.309811450E0,1.321606978E0,-4.189652807E-1
5.850691251E-1,-3.720061456E0,1.446339782E0,-6.152949017E-1
5.950921250E-1,-3.966551416E0,1.595275966E0,-8.475515699E-1
6.051141249E-1,-4.024266943E0,1.583976222E0,-1.119732442E0
6.151371251E-1,-3.732129232E0,1.173920928E0,-1.438109241E0
6.251591251E-1,-3.129881515E0,6.240628016E-1,-1.796844692E0
6.351821250E-1,-2.260322194E0,2.487499094E-1,-2.271869568E0
6.452041250E-1,-1.250580849E0,1.407693779E-1,-2.642239809E0
6.552271249E-1,-2.381538776E-1,1.193206215E-1,-2.776489542E0
6.652491251E-1,5.654020724E-1,1.585361427E-1,-2.799994764E0
6.752721251E-1,1.078634117E0,3.872283483E-1,-2.764486962E0
6.852941250E-1,1.324205188E0,6.856193644E-1,-2.674736295E0
6.953171249E-1,1.518436243E0,9.119177198E-1,-2.651758491E0
7.053391251E-1,1.801243845E0,9.103494966E-1,-2.594214288E0
7.153621251E-1,2.157875760E0,5.354833317E-1,-2.353814203E0
7.253841250E-1,2.501796706E0,-1.275996941E-1,-1.933972424E0
7.354071250E-1,2.622279754E0,-7.191478837E-1,-1.544664221E0
7.454291251E-1,2.690609146E0,-1.088988951E0,-1.297998260E0
7.554521251E-1,2.697801222E0,-1.298016386E0,-1.094029836E0
7.654741250E-1,2.712132162E0,-1.344109987E0,-1.037262435E0
