"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
3.921958385E-3,8.645416134E-1,4.900960510E-1,9.505652699E-3,1.108298586E-1,6.033919072E1,5.855680838E1,-5.290097137E0,1.164288137E1
1.394395833E-2,8.643960381E-1,4.901162604E-1,1.088813255E-2,1.117452039E-1,6.037237580E1,5.856808211E1,-5.204624795E0,1.181200176E1
2.396695828E-2,8.643002805E-1,4.900457698E-1,1.193242609E-2,1.126844885E-1,6.039419555E1,5.856484143E1,-5.152947898E0,1.196529791E1
3.398895846E-2,8.642252591E-1,4.899335960E-1,1.282709832E-2,1.136450995E-1,6.041128526E1,5.855499068E1,-5.116785749E0,1.211268188E1
4.401195841E-2,8.641566019E-1,4.897854920E-1,1.393256801E-2,1.146704902E-1,6.042692139E1,5.854235044E1,-5.062826319E0,1.227852497E1
5.403495836E-2,8.640908107E-1,4.896582296E-1,1.489935349E-2,1.155844446E-1,6.044190138E1,5.853179143E1,-5.016634445E0,1.242528523E1
6.405695830E-2,8.640411195E-1,4.895921433E-1,1.498693464E-2,1.162230958E-1,6.045321331E1,5.852199099E1,-5.043104666E0,1.249506861E1
7.407995826E-2,8.640823391E-1,4.895170798E-1,1.389419330E-2,1.163685867E-1,6.044383001E1,5.850148921E1,-5.158853317E0,1.244957078E1
8.410295844E-2,8.642180520E-1,4.894407940E-1,1.195016991E-2,1.158962891E-1,6.041292680E1,5.847531857E1,-5.324343589E0,1.229445765E1
9.412495838E-2,8.643440289E-1,4.894506774E-1,9.749788319E-3,1.151188905E-1,6.038422773E1,5.846000156E1,-5.499421095E0,1.209381938E1
1.041479583E-1,8.643763134E-1,4.895686675E-1,7.831874904E-3,1.145195623E-1,6.037687095E1,5.846154210E1,-5.658040041E0,1.192618007E1
1.141699583E-1,8.642995219E-1,4.897890112E-1,6.337642684E-3,1.142494010E-1,6.039436839E1,5.847944367E1,-5.794509457E0,1.181461837E1
1.241929585E-1,8.641598472E-1,4.900541992E-1,5.049424259E-3,1.142326266E-1,6.042618238E1,5.850433439E1,-5.925391088E0,1.173974821E1
1.342149584E-1,8.639962331E-1,4.903096091E-1,3.897930211E-3,1.144190842E-1,6.046342982E1,5.852850819E1,-6.054013101E0,1.169301983E1
1.442379584E-1,8.638481713E-1,4.905135366E-1,2.946823354E-3,1.146910578E-1,6.049711884E1,5.854726248E1,-6.166831083E0,1.166636252E1
1.542609583E-1,8.637412868E-1,4.906271224E-1,2.269649939E-3,1.150251138E-1,6.052142806E1,5.855599612E1,-6.254681729E0,1.166178904E1
1.642826668E-1,8.636770972E-1,4.906307892E-1,1.901202189E-3,1.154971163E-1,6.053602276E1,5.855200026E1,-6.318130589E0,1.168907432E1
1.743056667E-1,8.636645796E-1,4.905039272E-1,1.757397142E-3,1.161305413E-1,6.053886850E1,5.853181226E1,-6.366586369E0,1.174610464E1
1.843286667E-1,8.637171367E-1,4.902425745E-1,1.615277969E-3,1.168436238E-1,6.052691941E1,5.849359387E1,-6.417540087E0,1.181229943E1
1.943506666E-1,8.637857096E-1,4.899259042E-1,1.391035662E-3,1.176646023E-1,6.051132585E1,5.844703754E1,-6.481982211E0,1.188532701E1
