"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.172824996E-2,1.322052376E-2,7.616190176E0,6.183007799E0
2.175125014E-2,5.788135934E-2,7.615290874E0,6.183857984E0
3.177525010E-2,9.296708350E-2,7.615291459E0,6.183428798E0
4.179825005E-2,1.050236310E-1,7.617569534E0,6.180429177E0
5.182125000E-2,8.833415181E-2,7.622435587E0,6.174687796E0
6.184524996E-2,5.689862511E-2,7.628255906E0,6.167865849E0
7.186845830E-2,3.121496790E-2,7.632596878E0,6.162676445E0
8.189145848E-2,1.644875553E-2,7.634805956E0,6.159998420E0
9.191545844E-2,8.759178726E-3,7.635932715E0,6.158617308E0
1.019384584E-1,8.097514883E-3,7.636247295E0,6.158227299E0
1.119614583E-1,1.760717346E-2,7.635314664E0,6.159363998E0
1.219854583E-1,3.469179999E-2,7.633756381E0,6.161222243E0
1.320084585E-1,5.249869126E-2,7.632582260E0,6.162551315E0
1.420314584E-1,6.748327316E-2,7.631981167E0,6.163150070E0
1.520544584E-1,7.833488314E-2,7.631907492E0,6.163112063E0
1.620784584E-1,8.215528026E-2,7.632916721E0,6.161812811E0
1.721014583E-1,7.850689178E-2,7.635092470E0,6.159163438E0
1.821244585E-1,6.931728889E-2,7.638293236E0,6.155304276E0
1.921484584E-1,5.792874462E-2,7.641706840E0,6.151183158E0
2.021714584E-1,4.913851113E-2,7.644601797E0,6.147661380E0
2.121944583E-1,4.524423810E-2,7.646610315E0,6.145194440E0
2.222184583E-1,4.667425234E-2,7.647867467E0,6.143618615E0
2.322414585E-1,5.445769123E-2,7.648715898E0,6.142498289E0
2.422644584E-1,6.874183151E-2,7.649729220E0,6.141092618E0
2.522874584E-1,8.988483340E-2,7.650893986E0,6.139368274E0
2.623114584E-1,1.193921311E-1,7.651761128E0,6.137784848E0
2.723344583E-1,1.580474617E-1,7.653218839E0,6.135092790E0
2.823574585E-1,2.052435003E-1,7.655520887E0,6.130821399E0
2.923814585E-1,2.618979037E-1,7.658106526E0,6.125430851E0
3.024044584E-1,3.310341939E-1,7.660353026E0,6.119272563E0
3.124274584E-1,4.163763894E-1,7.661296767E0,6.112877464E0
3.224514583E-1,5.233157875E-1,7.661714843E0,6.104127690E0
3.324744583E-1,6.542527800E-1,7.661753435E0,6.091434554E0
3.424974584E-1,8.075969607E-1,7.660546569E0,6.074531423E0
3.525214584E-1,9.796437529E-1,7.661230109E0,6.048301983E0
3.625444584E-1,1.155944322E0,7.667169710E0,6.009526758E0
3.725674583E-1,1.345014697E0,7.676529348E0,5.958013957E0
3.825904583E-1,1.564931402E0,7.690635756E0,5.885679222E0
3.926144585E-1,1.820030364E0,7.710968279E0,5.784855682E0
4.026374584E-1,2.105637905E0,7.730532478E0,5.660499439E0
4.126604584E-1,2.420541897E0,7.750836350E0,5.504690437E0
4.226844583E-1,2.752380887E0,7.764950944E0,5.325977308E0
4.327074583E-1,3.074356355E0,7.770382422E0,5.138637781E0
4.427304585E-1,3.352762757E0,7.774404722E0,4.955169110E0
4.527544584E-1,3.562732471E0,7.788269055E0,4.783921413E0
4.627774584E-1,3.694084031E0,7.821596430E0,4.627362214E0
4.728004583E-1,3.753597869E0,7.876500031E0,4.484123849E0
4.828234583E-1,3.761667026E0,7.947435527E0,4.350199807E0
4.928474585E-1,3.742586392E0,8.025695831E0,4.221060541E0
5.028704584E-1,3.717352148E0,8.103105950E0,4.093540661E0
5.128934584E-1,3.699305010E0,8.174264225E0,3.966440611E0
5.229174583E-1,3.695094137E0,8.236186824E0,3.840261498E0
5.329404583E-1,3.706524859E0,8.288369715E0,3.714930232E0
5.429634585E-1,3.729900565E0,8.331913345E0,3.592098942E0
5.529874584E-1,3.757730096E0,8.368393539E0,3.476431076E0
5.630104584E-1,3.783109936E0,8.398482141E0,3.374860555E0
5.730334583E-1,3.803274351E0,8.421016726E0,3.295100440E0
5.830574583E-1,3.825810105E0,8.433252025E0,3.237211251E0
5.930804585E-1,3.864342671E0,8.431127146E0,3.196724837E0
6.031034584E-1,3.928278759E0,8.410613945E0,3.172745114E0
6.131264584E-1,4.019117300E0,8.369577600E0,3.167487005E0
6.231504583E-1,4.129310710E0,8.309868758E0,3.182919269E0
6.331734583E-1,4.249644947E0,8.235465862E0,3.217717803E0
6.431964585E-1,4.375829322E0,8.149205983E0,3.267822302E0
6.532204584E-1,4.506570433E0,8.051541694E0,3.331606654E0
6.632434584E-1,4.642774013E0,7.941283672E0,3.408339373E0
6.732664583E-1,4.785254578E0,7.817523844E0,3.496247290E0
6.832904583E-1,4.933157267E0,7.679919564E0,3.594286093E0
6.933134585E-1,5.085205924E0,7.529366040E0,3.699382193E0
7.033364584E-1,5.242428197E0,7.366256790E0,3.806745551E0
7.133604584E-1,5.407348330E0,7.190344477E0,3.910962229E0
7.233834583E-1,5.584493821E0,7.000247403E0,4.005755243E0
7.334064583E-1,5.778766977E0,6.793566456E0,4.085268605E0
7.434294585E-1,5.992523639E0,6.567983800E0,4.145763606E0
7.534534584E-1,6.226019332E0,6.322463892E0,4.183208590E0
