"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.172824996E-2,-1.280338131E-2,-5.576092601E-1,1.468527317E-1
2.175125014E-2,-1.038292609E-2,-4.684513211E-1,1.714345217E-1
3.177525010E-2,1.898561604E-2,-2.412202954E-1,1.467422247E-1
4.179825005E-2,5.876210332E-2,1.244682744E-1,6.031566113E-2
5.182125000E-2,9.319625050E-2,4.016023874E-1,-4.554792121E-2
6.184524996E-2,8.902260661E-2,4.099352062E-1,-7.838238776E-2
7.186845830E-2,4.960302636E-2,2.450088263E-1,-6.086092070E-2
8.189145848E-2,2.521568164E-2,1.231740713E-1,-3.840974346E-2
9.191545844E-2,1.308205258E-2,5.332575366E-2,-2.019771934E-2
1.019384584E-1,-5.105150398E-3,-4.824009538E-2,1.388147660E-2
1.119614583E-1,-2.287429385E-2,-1.535060555E-1,6.640566885E-2
1.219854583E-1,-2.336391807E-2,-1.736154258E-1,1.022127047E-1
1.320084585E-1,-1.234615501E-2,-1.331257969E-1,1.092599630E-1
1.420314584E-1,-6.545748096E-3,-8.773748577E-2,1.047811061E-1
1.520544584E-1,7.804961409E-3,-3.255758807E-2,7.622270286E-2
1.620784584E-1,2.633142471E-2,5.062028766E-2,3.858174384E-2
1.721014583E-1,4.541163892E-2,1.461302936E-1,2.889715880E-2
1.821244585E-1,5.573225021E-2,2.064821720E-1,2.034200355E-2
1.921484584E-1,5.234684050E-2,1.988817751E-1,1.782291941E-2
2.021714584E-1,4.148127884E-2,1.417291015E-1,3.086917661E-2
2.121944583E-1,2.558540180E-2,7.374206185E-2,4.069916904E-2
2.222184583E-1,1.547429152E-2,-1.452111173E-2,4.757955298E-2
2.322414585E-1,1.306120120E-2,-1.102686748E-1,5.492401868E-2
2.422644584E-1,2.051984333E-2,-2.152986825E-1,5.598051101E-2
2.522874584E-1,1.560524479E-2,-3.487019837E-1,4.635931179E-2
2.623114584E-1,1.702084579E-2,-4.927596748E-1,4.925100505E-2
2.723344583E-1,3.425575793E-2,-6.243181825E-1,5.688335747E-2
2.823574585E-1,4.348966107E-2,-7.542115450E-1,6.972221285E-2
2.923814585E-1,4.378180951E-2,-9.201887846E-1,7.165673375E-2
3.024044584E-1,3.609549254E-2,-1.127097726E0,1.009497494E-1
3.124274584E-1,1.378645934E-2,-1.227276802E0,2.239180058E-1
3.224514583E-1,3.602784872E-2,-1.594478846E0,3.029302657E-1
3.324744583E-1,1.981132850E-2,-1.938774109E0,2.962923348E-1
3.424974584E-1,1.170877367E-2,-2.421962500E0,2.339393348E-1
3.525214584E-1,2.004260384E-2,-3.101404667E0,-1.628034860E-1
3.625444584E-1,-1.689727232E-2,-4.021934509E0,-8.294790387E-1
3.725674583E-1,-1.048534885E-1,-4.951487541E0,-1.201386690E0
3.825904583E-1,-3.492603451E-2,-5.811621666E0,-1.375542283E0
3.926144585E-1,-9.611215442E-2,-6.498807907E0,-1.377835274E0
4.026374584E-1,-7.998069376E-2,-6.924730778E0,-1.182046413E0
4.126604584E-1,4.804770928E-3,-6.985840321E0,-7.508253455E-1
4.226844583E-1,2.054403536E-2,-6.664878845E0,-2.925208211E-1
4.327074583E-1,1.630960777E-2,-6.039627075E0,-6.115282327E-2
4.427304585E-1,4.707592353E-2,-5.187560081E0,-1.301082224E-1
4.527544584E-1,1.626821458E-1,-4.230298519E0,-4.050444365E-1
4.627774584E-1,3.380449414E-1,-3.311708450E0,-7.775918245E-1
4.728004583E-1,5.154386163E-1,-2.577959538E0,-1.097576976E0
4.828234583E-1,6.419267058E-1,-2.110294580E0,-1.281293154E0
4.928474585E-1,6.929920316E-1,-1.919555306E0,-1.326627135E0
5.028704584E-1,6.600322723E-1,-1.979301691E0,-1.285893321E0
5.128934584E-1,5.257487893E-1,-2.251046658E0,-1.239161491E0
5.229174583E-1,3.135985434E-1,-2.693651915E0,-1.209366918E0
5.329404583E-1,6.758795679E-2,-3.203728437E0,-1.211737156E0
5.429634585E-1,-2.033074051E-1,-3.668769360E0,-1.258179069E0
5.529874584E-1,-4.764683843E-1,-3.987593889E0,-1.326675892E0
5.630104584E-1,-7.843428850E-1,-4.156278610E0,-1.402966142E0
5.730334583E-1,-1.107890248E0,-4.237800121E0,-1.435002208E0
5.830574583E-1,-1.393483400E0,-4.335264206E0,-1.331858039E0
5.930804585E-1,-1.639117718E0,-4.415649891E0,-1.080799699E0
6.031034584E-1,-1.892260671E0,-4.438282013E0,-7.487078905E-1
6.131264584E-1,-2.159006119E0,-4.370523453E0,-4.320188761E-1
6.231504583E-1,-2.393165350E0,-4.193522453E0,-2.054533958E-1
6.331734583E-1,-2.543636084E0,-3.916033983E0,-3.240678459E-2
6.431964585E-1,-2.617606401E0,-3.577648878E0,1.358945817E-1
6.532204584E-1,-2.653140545E0,-3.173077822E0,3.366028965E-1
6.632434584E-1,-2.644126654E0,-2.749266386E0,5.690403581E-1
6.732664583E-1,-2.601144552E0,-2.305004120E0,8.241501451E-1
6.832904583E-1,-2.526080608E0,-1.859558821E0,1.078757167E0
6.933134585E-1,-2.442500353E0,-1.512751937E0,1.299986124E0
7.033364584E-1,-2.381181717E0,-1.310364008E0,1.493058085E0
7.133604584E-1,-2.348101377E0,-1.265292168E0,1.672107100E0
7.233834583E-1,-2.344639540E0,-1.365846395E0,1.854066133E0
7.334064583E-1,-2.364239454E0,-1.561620116E0,2.054975748E0
7.434294585E-1,-2.400731564E0,-1.801839232E0,2.261269331E0
7.534534584E-1,-2.424343586E0,-2.066772461E0,2.464251995E0
7.634764584E-1,-2.405222893E0,-2.309528589E0,2.666749954E0
7.734994583E-1,-2.338962555E0,-2.511596918E0,2.867629290E0
7.835234583E-1,-2.225745440E0,-2.587824821E0,3.048203468E0
7.935464585E-1,-2.113950014E0,-2.599141359E0,3.178864002E0
8.035694584E-1,-2.025621891E0,-2.558338881E0,3.264030457E0
8.135934584E-1,-1.936900735E0,-2.475700855E0,3.321854115E0
8.236164583E-1,-1.833896518E0,-2.346639633E0,3.379343510E0
8.336394583E-1,-1.691319942E0,-2.212874889E0,3.427688837E0
8.436634585E-1,-1.548210502E0,-2.104402304E0,3.490130186E0
8.536864584E-1,-1.389195204E0,-1.765855312E0,3.546918869E0
8.637094584E-1,-1.157585979E0,-1.388086915E0,3.553057432E0
8.737324583E-1,-8.855119348E-1,-9.612224698E-1,3.515872478E0
8.837564583E-1,-6.495872736E-1,-4.799865782E-1,3.467085838E0
8.937794585E-1,-4.700669944E-1,4.671691358E-2,3.425918102E0
9.038024584E-1,-3.550954759E-1,5.522525311E-1,3.386191130E0
9.138264584E-1,-2.885332108E-1,1.008123159E0,3.346565008E0
9.238494583E-1,-2.493777126E-1,1.378072023E0,3.305714846E0
9.338724583E-1,-2.761890888E-1,1.602558136E0,3.257337332E0
9.438964585E-1,-3.566306233E-1,1.654987574E0,3.178293943E0
9.539194584E-1,-4.712850153E-1,1.649554491E0,3.087454081E0
9.639424584E-1,-5.648618340E-1,1.498822808E0,2.988221645E0
9.739664583E-1,-6.139470935E-1,1.207364678E0,2.877587795E0
9.839894583E-1,-6.346995234E-1,7.311491370E-1,2.700222731E0
9.940124585E-1,-6.093204021E-1,3.115459979E-1,2.491693020E0
1.004035458E0,-5.667226315E-1,2.260236591E-1,2.349114418E0
1.014059458E0,-4.748400748E-1,2.441544831E-2,2.229407787E0
1.024082458E0,-4.190831184E-1,-9.509342909E-2,2.183515072E0
1.034105458E0,-3.668526709E-1,-8.346526325E-2,2.187760115E0
1.044129458E0,-2.698614597E-1,5.654431880E-5,2.208049059E0
1.054152458E0,-1.806120425E-1,1.859806031E-1,2.195290565E0
1.064175458E0,-9.758146107E-2,4.199464023E-1,2.120395184E0
1.074200083E0,6.279151887E-3,6.642618775E-1,2.013151884E0
