"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.172824996E-2,-9.749531348E-2,-3.170945048E-3,-5.220686495E-2
2.175125014E-2,-2.197150667E-3,-3.250934958E-2,9.947517157E-2
3.177525010E-2,2.387431307E-1,7.825971901E-2,3.203964275E-1
4.179825005E-2,8.728928179E-1,3.192258149E-1,5.444857049E-1
5.182125000E-2,1.213808075E0,6.288212657E-2,7.190759629E-1
6.184524996E-2,6.023304552E-1,-8.525965476E-1,5.190280974E-1
7.186845830E-2,-1.090531483E-1,-9.711500144E-1,1.597254664E-1
8.189145848E-2,-2.873852772E-1,-9.348820746E-2,1.733313525E-1
9.191545844E-2,-7.986128052E-2,6.711925292E-1,3.700562453E-1
1.019384584E-1,-4.237621536E-2,8.054475242E-1,3.460469931E-1
1.119614583E-1,-1.587636542E-1,5.849911219E-1,1.434292763E-1
1.219854583E-1,-8.196843888E-3,4.711388165E-1,5.054333210E-3
1.320084585E-1,2.991201639E-1,3.316061246E-1,2.737666368E-2
1.420314584E-1,4.495416138E-1,6.905503213E-2,1.974253893E-2
1.520544584E-1,5.823910844E-1,-1.157374477E-1,-8.062140942E-3
1.620784584E-1,6.423381279E-1,-1.366552770E-1,-6.469183981E-2
1.721014583E-1,6.126058403E-1,-1.350893927E-1,-8.853795469E-2
1.821244585E-1,5.110258173E-1,-2.429219896E-1,-4.531065881E-2
1.921484584E-1,3.552120651E-1,-2.758248568E-1,-7.352230489E-2
2.021714584E-1,1.535400624E-1,-1.898041284E-1,-8.197562456E-2
2.121944583E-1,-4.808826897E-2,-1.371762639E-1,-1.275581789E-1
2.222184583E-1,-1.998057725E-1,-1.242129868E-1,-1.620573360E-1
2.322414585E-1,-3.897604119E-1,-1.271570599E-1,-2.015020680E-1
2.422644584E-1,-5.242446543E-1,-1.135008878E-1,-2.232987338E-1
2.522874584E-1,-6.726230505E-1,-1.465493506E-1,-3.045019412E-1
2.623114584E-1,-7.437438308E-1,-1.421773875E-1,-4.297048616E-1
2.723344583E-1,-8.407777168E-1,-2.888331574E-1,-4.439282137E-1
2.823574585E-1,-1.011616620E0,-5.435103893E-1,-5.318656594E-1
2.923814585E-1,-1.249394449E0,-7.162926883E-1,-6.704744911E-1
3.024044584E-1,-1.702632015E0,-8.754129678E-1,-8.264296728E-1
3.124274584E-1,-2.310537498E0,-1.153879012E0,-8.556599039E-1
3.224514583E-1,-2.734367954E0,-1.575970214E0,-7.120405930E-1
3.324744583E-1,-3.419152921E0,-1.793058035E0,-1.123416188E0
3.424974584E-1,-4.169605335E0,-2.059941915E0,-1.243477067E0
3.525214584E-1,-4.785329715E0,-2.175737835E0,-1.367535687E0
3.625444584E-1,-4.969563786E0,-1.729316953E0,-2.019424219E0
3.725674583E-1,-4.534132746E0,-4.425231278E-1,-2.895682694E0
3.825904583E-1,-4.722016064E0,2.895693219E-1,-3.480331169E0
3.926144585E-1,-4.089461059E0,1.866864515E0,-4.169265320E0
4.026374584E-1,-2.453065426E0,4.773414844E0,-5.512157916E0
4.126604584E-1,-1.470018666E0,5.499458933E0,-6.044018898E0
4.226844583E-1,-1.454024193E-1,5.251829935E0,-6.446696759E0
4.327074583E-1,1.676913329E0,4.050086786E0,-6.238999566E0
4.427304585E-1,3.029215850E0,2.193815086E0,-5.317715777E0
4.527544584E-1,3.461260767E0,7.297675967E-1,-4.012874520E0
4.627774584E-1,2.894165926E0,6.375219226E-3,-2.625425556E0
4.728004583E-1,1.663188452E0,-7.517180443E-2,-1.446340367E0
4.828234583E-1,2.450509608E-1,2.828988183E-1,-5.002059102E-1
4.928474585E-1,-1.070493039E0,6.472686464E-1,2.570272279E-1
5.028704584E-1,-2.140681145E0,7.765786511E-1,9.437844604E-1
5.128934584E-1,-2.821680040E0,6.551249653E-1,1.507376527E0
5.229174583E-1,-3.121037893E0,5.616180468E-1,1.988018823E0
5.329404583E-1,-3.108219042E0,7.707916617E-1,2.438174322E0
5.429634585E-1,-2.753630437E0,1.308340815E0,2.822362410E0
5.529874584E-1,-2.012508717E0,1.881991847E0,2.986978488E0
5.630104584E-1,-1.075989422E0,2.260252905E0,3.110702355E0
5.730334583E-1,-2.739136943E-1,2.623914635E0,3.349133098E0
5.830574583E-1,1.701305866E-1,2.979315419E0,3.234430608E0
5.930804585E-1,7.105934072E-1,3.382455795E0,2.382173491E0
6.031034584E-1,1.719027607E0,3.815062630E0,1.229899832E0
6.131264584E-1,3.101874229E0,3.916573218E0,1.436274970E-1
6.231504583E-1,4.638705812E0,3.539490373E0,-4.979523933E-1
6.331734583E-1,5.928439325E0,2.733423629E0,-5.165848383E-1
6.431964585E-1,6.615663750E0,1.975290020E0,-1.255566770E-1
6.532204584E-1,6.908991078E0,1.296518914E0,3.478917897E-1
6.632434584E-1,6.741951914E0,7.581768787E-1,7.428282300E-1
6.732664583E-1,6.076757458E0,3.598206943E-1,8.855909237E-1
6.832904583E-1,5.160651963E0,1.170659351E-1,8.239261875E-1
6.933134585E-1,4.312101688E0,1.429293394E-1,5.863552773E-1
7.033364584E-1,3.725273371E0,4.355193329E-1,2.805049682E-1
7.133604584E-1,3.306630272E0,8.808707589E-1,1.507324487E-2
7.233834583E-1,2.944919173E0,1.217363986E0,-1.885428840E-1
7.334064583E-1,2.534345816E0,1.300551739E0,-4.249306101E-1
7.434294585E-1,2.174193585E0,1.180802516E0,-6.900492150E-1
7.534534584E-1,2.000423691E0,9.838425654E-1,-7.574325281E-1
7.634764584E-1,1.841858897E0,8.268711376E-1,-6.435597575E-1
7.734994583E-1,1.709884901E0,7.209435636E-1,-5.638370651E-1
7.835234583E-1,1.549370061E0,6.321342981E-1,-5.866376978E-1
7.935464585E-1,1.621025349E0,5.568397021E-1,-6.958736265E-1
8.035694584E-1,1.878640807E0,5.678380224E-1,-7.127586311E-1
8.135934584E-1,2.193204052E0,6.613849944E-1,-6.557196271E-1
8.236164583E-1,2.441561614E0,7.689325395E-1,-4.378041324E-1
8.336394583E-1,2.605773649E0,8.426644671E-1,-2.439411592E-1
