"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.172824996E-2,7.851330311E-1,3.742644679E-1,2.116319810E-1,4.457625608E-1,7.653403263E1,5.092946977E1,-7.721512900E-2,5.913508486E1
2.175125014E-2,7.853470528E-1,3.755459375E-1,2.092460531E-1,4.454338997E-1,7.649442439E1,5.092230520E1,-3.380608472E-1,5.896119919E1
3.177525010E-2,7.853592016E-1,3.765387381E-1,2.075068740E-1,4.453879491E-1,7.649217553E1,5.092425318E1,-5.429868747E-1,5.885777943E1
4.179825005E-2,7.851149080E-1,3.769423732E-1,2.071420983E-1,4.456469941E-1,7.653738582E1,5.094624091E1,-6.134072909E-1,5.886800330E1
5.182125000E-2,7.846649798E-1,3.766395376E-1,2.083955561E-1,4.461107464E-1,7.662059280E1,5.099019120E1,-5.159268712E-1,5.899359600E1
6.184524996E-2,7.841978768E-1,3.759870359E-1,2.103984428E-1,4.465421089E-1,7.670689516E1,5.104254980E1,-3.323210276E-1,5.915789684E1
7.186845830E-2,7.838706382E-1,3.754484782E-1,2.119827481E-1,4.468203729E-1,7.676730716E1,5.108205880E1,-1.823128431E-1,5.928071148E1
8.189145848E-2,7.837258427E-1,3.751374713E-1,2.128535073E-1,4.469219258E-1,7.679402524E1,5.110233260E1,-9.606979991E-2,5.934222922E1
9.191545844E-2,7.836622115E-1,3.749796156E-1,2.132965707E-1,4.469547055E-1,7.680576417E1,5.111274366E1,-5.115841310E-2,5.937131343E1
1.019384584E-1,7.836586606E-1,3.749840357E-1,2.133353933E-1,4.469386159E-1,7.680641920E1,5.111567144E1,-4.729393364E-2,5.937160462E1
1.119614583E-1,7.837091736E-1,3.752018296E-1,2.128160387E-1,4.469149083E-1,7.679710056E1,5.110708387E1,-1.028356010E-1,5.933926107E1
1.219854583E-1,7.837449773E-1,3.755769892E-1,2.119298907E-1,4.469580878E-1,7.679049491E1,5.109292124E1,-2.026195583E-1,5.929409369E1
1.320084585E-1,7.837001331E-1,3.759654883E-1,2.110795464E-1,4.471124295E-1,7.679876842E1,5.108257299E1,-3.066226101E-1,5.926426467E1
1.420314584E-1,7.835938282E-1,3.762914626E-1,2.104253746E-1,4.473328681E-1,7.681837808E1,5.107764622E1,-3.941424172E-1,5.925347189E1
1.520544584E-1,7.834514456E-1,3.765258728E-1,2.100102387E-1,4.475799434E-1,7.684463622E1,5.107754876E1,-4.575235495E-1,5.925940009E1
1.620784584E-1,7.832872204E-1,3.766356601E-1,2.099710474E-1,4.477933962E-1,7.687491315E1,5.108715665E1,-4.798375075E-1,5.928257698E1
1.721014583E-1,7.830440963E-1,3.765877339E-1,2.103781912E-1,4.480676246E-1,7.691971756E1,5.110718155E1,-4.585282036E-1,5.933822302E1
