"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
7.366999984E-3,9.432686191E0,2.007587115E0,-1.797252682E0
1.738999994E-2,9.435910930E0,2.031757751E0,-1.752601881E0
2.741200000E-2,9.439085968E0,2.054325664E0,-1.708652600E0
3.743499995E-2,9.442369764E0,2.068814918E0,-1.672652609E0
4.745800002E-2,9.444999257E0,2.074145825E0,-1.651066297E0
5.748099997E-2,9.447181438E0,2.073845132E0,-1.638912859E0
6.750399992E-2,9.452367334E0,2.076576366E0,-1.605209508E0
7.752699999E-2,9.458361899E0,2.083174803E0,-1.560724622E0
8.754899993E-2,9.462051492E0,2.087898622E0,-1.531777250E0
9.757200000E-2,9.463086450E0,2.090687598E0,-1.521549447E0
1.075946250E-1,9.462794089E0,2.093646874E0,-1.519295784E0
1.176176249E-1,9.462428053E0,2.096847055E0,-1.517175584E0
1.276406250E-1,9.462133938E0,2.099780164E0,-1.514950864E0
1.376636249E-1,9.461414731E0,2.102692955E0,-1.515388674E0
1.476856250E-1,9.459884514E0,2.106096327E0,-1.520203418E0
1.577086250E-1,9.457479554E0,2.110201072E0,-1.529449912E0
1.677316249E-1,9.454451866E0,2.114396303E0,-1.542325481E0
1.777546250E-1,9.451045278E0,2.117605255E0,-1.558710403E0
1.877776249E-1,9.447469121E0,2.119401227E0,-1.577828459E0
1.978006250E-1,9.443689481E0,2.120511467E0,-1.598829319E0
2.078226249E-1,9.439221039E0,2.122263439E0,-1.622710225E0
2.178456250E-1,9.433604788E0,2.125607316E0,-1.650758880E0
2.278686250E-1,9.427117887E0,2.130675390E0,-1.681003456E0
2.378916249E-1,9.420470772E0,2.137274704E0,-1.709647796E0
2.479146250E-1,9.413855233E0,2.146075640E0,-1.734884818E0
2.579376249E-1,9.406699995E0,2.157559133E0,-1.759267853E0
2.679596250E-1,9.398165399E0,2.170129478E0,-1.789176361E0
2.779826249E-1,9.387620530E0,2.182068176E0,-1.829545100E0
2.880056250E-1,9.376018485E0,2.192630441E0,-1.875835606E0
2.980286250E-1,9.364686581E0,2.201706635E0,-1.921267302E0
3.080516249E-1,9.353744102E0,2.210261111E0,-1.964252669E0
3.180746250E-1,9.342468331E0,2.219739009E0,-2.006769967E0
3.280966249E-1,9.329849455E0,2.229524910E0,-2.054087536E0
3.381196250E-1,9.315140784E0,2.238809411E0,-2.109980924E0
3.481426249E-1,9.298865059E0,2.248907845E0,-2.170170993E0
3.581656250E-1,9.283638909E0,2.261228805E0,-2.221943264E0
3.681886250E-1,9.272830331E0,2.274934094E0,-2.252865094E0
3.782116249E-1,9.268258978E0,2.286575316E0,-2.259882338E0
3.882346250E-1,9.269362932E0,2.293894568E0,-2.247894084E0
3.982566249E-1,9.274679806E0,2.297382140E0,-2.222263545E0
4.082796250E-1,9.282902745E0,2.298667942E0,-2.186317494E0
4.183026250E-1,9.292954693E0,2.299689158E0,-2.142079069E0
4.283256250E-1,9.303774966E0,2.301448440E0,-2.092651678E0
4.383486250E-1,9.313967832E0,2.303813931E0,-2.044149316E0
4.483716249E-1,9.322526987E0,2.305994503E0,-2.002250069E0
4.583936250E-1,9.329153636E0,2.306239648E0,-1.970857976E0
4.684166249E-1,9.334054772E0,2.302440127E0,-1.952003483E0
4.784396250E-1,9.337791143E0,2.292312457E0,-1.946026752E0
4.884626250E-1,9.340098454E0,2.276215365E0,-1.953835416E0
4.984856250E-1,9.339623076E0,2.257379729E0,-1.977825957E0
5.085086250E-1,9.334336023E0,2.240513874E0,-2.021473814E0
5.185306249E-1,9.322805899E0,2.228810672E0,-2.086576421E0
5.285536250E-1,9.304765484E0,2.223373054E0,-2.171185923E0
5.385766249E-1,9.281653195E0,2.222298482E0,-2.269017150E0
5.485996250E-1,9.255338386E0,2.221711129E0,-2.374618888E0
5.586226250E-1,9.227686903E0,2.221144680E0,-2.480404960E0
5.686456250E-1,9.200316086E0,2.224285512E0,-2.577365244E0
5.786676250E-1,9.173957423E0,2.235391567E0,-2.660385181E0
5.886906249E-1,9.148390473E0,2.255783293E0,-2.730288059E0
5.987136250E-1,9.122266282E0,2.281938327E0,-2.795191861E0
6.087366249E-1,9.091889997E0,2.309889041E0,-2.870206667E0
6.187596250E-1,9.054510502E0,2.338664067E0,-2.963547233E0
6.287826250E-1,9.012508197E0,2.365381165E0,-3.068517325E0
6.388046250E-1,8.971308131E0,2.384714545E0,-3.172517657E0
6.488276250E-1,8.936402008E0,2.390634850E0,-3.265228769E0
6.588506249E-1,8.909065690E0,2.382765229E0,-3.344703248E0
6.688736250E-1,8.886970816E0,2.369801952E0,-3.412019902E0
6.788966249E-1,8.867347561E0,2.362854875E0,-3.467445075E0
6.889196250E-1,8.849479639E0,2.366916790E0,-3.510065137E0
6.989416250E-1,8.833494521E0,2.379801568E0,-3.541473164E0
7.089646250E-1,8.819402146E0,2.396390411E0,-3.565331850E0
7.189876250E-1,8.806806659E0,2.411971779E0,-3.585895046E0
7.290106249E-1,8.795556616E0,2.423925534E0,-3.605398434E0
7.390336250E-1,8.786296965E0,2.431764896E0,-3.622654444E0
7.490566249E-1,8.778995547E0,2.436008659E0,-3.637468657E0
7.590796250E-1,8.772218624E0,2.437352788E0,-3.652884842E0
7.691016250E-1,8.763891020E0,2.436411094E0,-3.673448330E0
7.791246250E-1,8.751703084E0,2.434090626E0,-3.703918170E0
7.891476250E-1,8.735314507E0,2.431391698E0,-3.744154323E0
7.991706249E-1,8.717740116E0,2.428112287E0,-3.786998334E0
8.091936250E-1,8.702085366E0,2.424791653E0,-3.824944132E0
8.192166250E-1,8.689769960E0,2.421670555E0,-3.854805863E0
8.292386250E-1,8.680536622E0,2.417242313E0,-3.878312547E0
8.392616250E-1,8.673856178E0,2.409807578E0,-3.897838739E0
8.492846249E-1,8.669391829E0,2.399278789E0,-3.914235793E0
8.593076250E-1,8.666818469E0,2.387976121E0,-3.926819586E0
8.693306249E-1,8.665758954E0,2.380328110E0,-3.933795314E0
8.793536250E-1,8.665629146E0,2.379373113E0,-3.934656317E0
8.893756249E-1,8.664859652E0,2.384681800E0,-3.933137502E0
8.993986250E-1,8.661736654E0,2.393589156E0,-3.934609539E0
9.094216250E-1,8.655525742E0,2.402966336E0,-3.942554443E0
9.194446249E-1,8.646162595E0,2.410560553E0,-3.958435189E0
9.294676250E-1,8.634255325E0,2.415303084E0,-3.981467663E0
9.394906249E-1,8.620208559E0,2.415993786E0,-4.011370909E0
9.495126250E-1,8.603520606E0,2.411482221E0,-4.049724258E0
9.595356249E-1,8.584151119E0,2.399898009E0,-4.097428475E0
9.695586250E-1,8.562866669E0,2.380364801E0,-4.152984917E0
9.795816250E-1,8.541340730E0,2.355974749E0,-4.210814465E0
9.896046249E-1,8.521293551E0,2.332269698E0,-4.264292514E0
9.996276250E-1,8.502853771E0,2.314945714E0,-4.310292560E0
1.009649625E0,8.485472338E0,2.304975772E0,-4.349704548E0
1.019672625E0,8.469997097E0,2.298974336E0,-4.382915563E0
1.029695625E0,8.458214373E0,2.294733936E0,-4.407821486E0
1.039718625E0,8.451412892E0,2.292673669E0,-4.421917661E0
1.049741625E0,8.448892157E0,2.293517861E0,-4.426293717E0
1.059764625E0,8.448932503E0,2.297348957E0,-4.424234620E0
1.069787625E0,8.450006636E0,2.304082318E0,-4.418676842E0
1.079809625E0,8.451254432E0,2.313712974E0,-4.411255555E0
1.089832625E0,8.452699279E0,2.325339286E0,-4.402356093E0
1.099855625E0,8.455168558E0,2.337688313E0,-4.391066874E0
1.109879125E0,8.459078591E0,2.350823206E0,-4.376497074E0
1.119902125E0,8.464216540E0,2.364904324E0,-4.358940225E0
1.129925125E0,8.469978971E0,2.380422250E0,-4.339259374E0
1.139947125E0,8.476172342E0,2.397210483E0,-4.317864704E0
1.149970125E0,8.482656904E0,2.414292977E0,-4.295557576E0
1.159993125E0,8.489720340E0,2.429748192E0,-4.272830034E0
1.170016125E0,8.498479469E0,2.441055830E0,-4.248908490E0
1.180039125E0,8.510293184E0,2.447697536E0,-4.221352609E0
1.190062125E0,8.525446243E0,2.453171260E0,-4.187456885E0
1.200084125E0,8.542392644E0,2.462934356E0,-4.146992983E0
1.210107125E0,8.557926357E0,2.479948000E0,-4.104612072E0
1.220130125E0,8.569935953E0,2.503542100E0,-4.065045717E0
1.230153125E0,8.579429492E0,2.531969216E0,-4.027236159E0
1.240176125E0,8.588711947E0,2.564834661E0,-3.986450661E0
1.250199125E0,8.598739337E0,2.601405194E0,-3.940875708E0
1.260221125E0,8.608642766E0,2.639565585E0,-3.893588982E0
1.270244125E0,8.616630063E0,2.677383622E0,-3.849859703E0
1.280267125E0,8.621227144E0,2.712567195E0,-3.814776701E0
1.290290125E0,8.621882032E0,2.744041295E0,-3.790709269E0
1.300313125E0,8.618498248E0,2.772411109E0,-3.777736052E0
1.310336125E0,8.609888223E0,2.800703446E0,-3.776503167E0
1.320358125E0,8.594986594E0,2.832586559E0,-3.786655979E0
1.330381125E0,8.574259384E0,2.870090016E0,-3.805358299E0
1.340404125E0,8.550194584E0,2.913445658E0,-3.826498322E0
1.350427125E0,8.525239837E0,2.962600276E0,-3.844401619E0
1.360450125E0,8.500426008E0,3.018258168E0,-3.856030270E0
1.370473125E0,8.476439559E0,3.079436123E0,-3.860460997E0
1.380496125E0,8.454184472E0,3.142795967E0,-3.858195201E0
1.390518125E0,8.434676406E0,3.205731011E0,-3.849105704E0
1.400541125E0,8.419442071E0,3.266580061E0,-3.831264680E0
1.410564125E0,8.409083143E0,3.325136417E0,-3.803532213E0
1.420587125E0,8.402848842E0,3.383115946E0,-3.766007414E0
1.430610125E0,8.399500726E0,3.442972431E0,-3.718925634E0
1.440633125E0,8.398200890E0,3.505382102E0,-3.663146413E0
1.450655125E0,8.398278074E0,3.569146866E0,-3.600868011E0
