"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.366999984E-3,3.951040298E-1,-4.923013533E-1,-5.909673996E-1,-5.022844771E-1,1.334550754E2,1.318358653E2,-7.405750543E1,1.376715285E2
1.738999994E-2,3.953388615E-1,-4.909613943E-1,-5.901560991E-1,-5.043607257E-1,1.334257807E2,1.307811787E2,-7.412621818E1,1.386502794E2
2.741200000E-2,3.956780330E-1,-4.895813748E-1,-5.894042467E-1,-5.063117296E-1,1.333834641E2,1.297514513E2,-7.419415485E1,1.396231803E2
3.743499995E-2,3.961142265E-1,-4.885086585E-1,-5.887373940E-1,-5.077805736E-1,1.333290327E2,1.289558045E2,-7.426471734E1,1.403826437E2
4.745800002E-2,3.964925735E-1,-4.879364623E-1,-5.882773296E-1,-5.085680928E-1,1.332818108E2,1.285205707E2,-7.432145683E1,1.408007587E2
5.748099997E-2,3.967922534E-1,-4.877187844E-1,-5.879312513E-1,-5.089431839E-1,1.332444014E2,1.283185202E2,-7.436868269E1,1.409910461E2
6.750399992E-2,3.974139985E-1,-4.871312889E-1,-5.869566159E-1,-5.101442901E-1,1.331667715E2,1.277043001E2,-7.448148435E1,1.415494756E2
7.752699999E-2,3.981179193E-1,-4.862949848E-1,-5.857173563E-1,-5.118148384E-1,1.330788537E2,1.268407271E2,-7.461289124E1,1.423339470E2
8.754899993E-2,3.985651290E-1,-4.857309388E-1,-5.849253696E-1,-5.129069159E-1,1.330229833E2,1.262654626E2,-7.469431383E1,1.428588189E2
9.757200000E-2,3.986687259E-1,-4.855234288E-1,-5.846519841E-1,-5.133344535E-1,1.330100391E2,1.260461794E2,-7.471723096E1,1.430556075E2
1.075946250E-1,3.986181813E-1,-4.854162915E-1,-5.846427118E-1,-5.134855605E-1,1.330163546E2,1.259672497E2,-7.471075694E1,1.431285290E2
1.176176249E-1,3.985732001E-1,-4.852869481E-1,-5.846576686E-1,-5.136258779E-1,1.330219748E2,1.258876533E2,-7.470265077E1,1.432058072E2
1.276406250E-1,3.985317908E-1,-4.851706702E-1,-5.846571998E-1,-5.137683553E-1,1.330271487E2,1.258097217E2,-7.469613936E1,1.432797906E2
