"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.008454163E-2,7.219908584E0,-1.804552930E0,6.391604294E0
2.010654157E-2,7.217090226E0,-1.799951026E0,6.396083845E0
3.012854164E-2,7.220759354E0,-1.800470112E0,6.391795498E0
4.015154159E-2,7.230230674E0,-1.804323573E0,6.379991139E0
5.017354165E-2,7.242683489E0,-1.807877511E0,6.364842172E0
6.019654160E-2,7.255774820E0,-1.809394279E0,6.349482706E0
7.021854166E-2,7.268039939E0,-1.809300870E0,6.335466346E0
8.024054160E-2,7.279380614E0,-1.809517217E0,6.322370337E0
9.026354167E-2,7.291360974E0,-1.811702029E0,6.307922451E0
1.002855416E-1,7.305396631E0,-1.816595125E0,6.290250412E0
1.103085416E-1,7.321226798E0,-1.823689844E0,6.269760599E0
1.203305416E-1,7.338410595E0,-1.832319165E0,6.247114332E0
1.303525416E-1,7.357597064E0,-1.841497539E0,6.221797643E0
1.403755416E-1,7.379542834E0,-1.850500351E0,6.193069103E0
1.503975416E-1,7.405042541E0,-1.859391920E0,6.159879722E0
1.604205417E-1,7.434349955E0,-1.867011134E0,6.122157580E0
1.704425416E-1,7.468960209E0,-1.874167103E0,6.077683073E0
1.804645417E-1,7.508135385E0,-1.881061993E0,6.027073082E0
1.904875416E-1,7.548505147E0,-1.885619313E0,5.974998364E0
2.005095417E-1,7.589203522E0,-1.889066685E0,5.922120824E0
2.105325416E-1,7.630397156E0,-1.892552941E0,5.867826503E0
2.205545416E-1,7.672063830E0,-1.896573048E0,5.811930630E0
2.305765416E-1,7.714642085E0,-1.900474018E0,5.754006357E0
2.405995416E-1,7.760173184E0,-1.904324702E0,5.691165746E0
2.506215416E-1,7.811273755E0,-1.908688041E0,5.619342642E0
2.606445416E-1,7.871048087E0,-1.914057831E0,5.533451722E0
2.706665416E-1,7.942323307E0,-1.921135593E0,5.428153308E0
2.806885416E-1,8.027007946E0,-1.930056982E0,5.298878971E0
2.907115417E-1,8.121107188E0,-1.941277643E0,5.149286145E0
3.007335416E-1,8.223139347E0,-1.953644358E0,4.979896401E0
3.107565417E-1,8.330671982E0,-1.964296523E0,4.793490966E0
3.207785416E-1,8.441556825E0,-1.973822222E0,4.591323485E0
3.308005417E-1,8.560537723E0,-1.982810708E0,4.361394593E0
3.408235416E-1,8.680095742E0,-1.990501843E0,4.114600578E0
3.508455416E-1,8.796771668E0,-1.998529486E0,3.854710845E0
3.608685416E-1,8.908446470E0,-2.005538836E0,3.585180224E0
3.708905416E-1,9.017002952E0,-2.002817249E0,3.304314775E0
3.809125416E-1,9.128380131E0,-1.978249442E0,2.999219926E0
3.909355416E-1,9.242564558E0,-1.930305489E0,2.661771556E0
4.009575417E-1,9.357868727E0,-1.861698208E0,2.280457374E0
4.109805416E-1,9.464937678E0,-1.778970046E0,1.867169009E0
4.210025417E-1,9.556540158E0,-1.686254548E0,1.437074284E0
4.310245416E-1,9.625975844E0,-1.599329987E0,1.009379914E0
4.410475416E-1,9.670638632E0,-1.534059126E0,6.012649098E-1
4.510695416E-1,9.691879812E0,-1.500116917E0,2.307007241E-1
4.610925416E-1,9.694880018E0,-1.495988344E0,-8.615781815E-2
4.711145416E-1,9.686636029E0,-1.512973190E0,-3.407513161E-1
