"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.008454163E-2,7.837593916E-1,-2.922326974E-1,-2.980439470E-1,-4.598816602E-1,7.678783540E1,-1.576605840E1,-4.738961598E1,-5.385119164E1
2.010654157E-2,7.837264959E-1,-2.919812005E-1,-2.979073978E-1,-4.601858972E-1,7.679390471E1,-1.571737344E1,-4.736530737E1,-5.391206082E1
3.012854164E-2,7.835179744E-1,-2.922170444E-1,-2.980429941E-1,-4.603034659E-1,7.683236795E1,-1.573170984E1,-4.739695579E1,-5.392658045E1
4.015154159E-2,7.832004400E-1,-2.927999376E-1,-2.984799281E-1,-4.601902594E-1,7.689090810E1,-1.579141961E1,-4.747873806E1,-5.389445883E1
5.017354165E-2,7.828713680E-1,-2.934387867E-1,-2.991452290E-1,-4.599110682E-1,7.695153560E1,-1.585673194E1,-4.758645919E1,-5.383809512E1
6.019654160E-2,7.825513154E-1,-2.939903240E-1,-2.999112022E-1,-4.596046501E-1,7.701046270E1,-1.590581425E1,-4.769994522E1,-5.378436019E1
7.021854166E-2,7.822336862E-1,-2.944480984E-1,-3.006521685E-1,-4.593682168E-1,7.706890596E1,-1.593843579E1,-4.780649215E1,-5.374651495E1
8.024054160E-2,7.818916329E-1,-2.949171019E-1,-3.013018687E-1,-4.592238954E-1,7.713180139E1,-1.597158139E1,-4.790520830E1,-5.372123723E1
9.026354167E-2,7.815007103E-1,-2.955231446E-1,-3.019293800E-1,-4.590874766E-1,7.720362974E1,-1.602462444E1,-4.800969167E1,-5.368990511E1
1.002855416E-1,7.810525102E-1,-2.963356193E-1,-3.026238659E-1,-4.588690822E-1,7.728591298E1,-1.610847161E1,-4.813237338E1,-5.363613003E1
1.103085416E-1,7.805611096E-1,-2.973164328E-1,-3.033863304E-1,-4.585674477E-1,7.737604238E1,-1.621816626E1,-4.827108896E1,-5.356133525E1
1.203305416E-1,7.800445051E-1,-2.984135363E-1,-3.042103645E-1,-4.581877573E-1,7.747069914E1,-1.634675535E1,-4.842209839E1,-5.346850392E1
1.303525416E-1,7.794704650E-1,-2.996157890E-1,-3.051480337E-1,-4.577564265E-1,7.757576556E1,-1.648744601E1,-4.859123246E1,-5.336455787E1
1.403755416E-1,7.788106456E-1,-3.009238686E-1,-3.062580452E-1,-4.572799669E-1,7.769638429E1,-1.663624117E1,-4.878539363E1,-5.325248130E1
1.503975416E-1,7.780369453E-1,-3.023758519E-1,-3.075867846E-1,-4.567470305E-1,7.783762059E1,-1.679671490E1,-4.901194245E1,-5.312967134E1
1.604205417E-1,7.771210732E-1,-3.039420328E-1,-3.091644636E-1,-4.562011656E-1,7.800453173E1,-1.695959163E1,-4.927360601E1,-5.300628314E1
1.704425416E-1,7.759753639E-1,-3.057502435E-1,-3.110418261E-1,-4.556665644E-1,7.821290740E1,-1.713812401E1,-4.958440881E1,-5.288162290E1
1.804645417E-1,7.746050539E-1,-3.077928639E-1,-3.131665597E-1,-4.551673245E-1,7.846152178E1,-1.733325223E1,-4.993861219E1,-5.275819040E1
1.904875416E-1,7.731136561E-1,-3.098360224E-1,-3.153815816E-1,-4.547870651E-1,7.873135647E1,-1.751490983E1,-5.030635914E1,-5.265800382E1
2.005095417E-1,7.715553712E-1,-3.118834189E-1,-3.176282747E-1,-4.544703210E-1,7.901246798E1,-1.769189382E1,-5.068000422E1,-5.256882964E1
2.105325416E-1,7.699588275E-1,-3.139724784E-1,-3.199180619E-1,-4.541334201E-1,7.929961652E1,-1.787609467E1,-5.106124935E1,-5.247350911E1
2.205545416E-1,7.683370484E-1,-3.161168189E-1,-3.222504333E-1,-4.537432773E-1,7.959041759E1,-1.807275243E1,-5.145009597E1,-5.236478914E1
2.305765416E-1,7.666675801E-1,-3.183103743E-1,-3.246628962E-1,-4.533136639E-1,7.988884736E1,-1.827772122E1,-5.185089610E1,-5.224663256E1
2.405995416E-1,7.648850845E-1,-3.206424866E-1,-3.272900772E-1,-4.527918227E-1,8.020646059E1,-1.850079118E1,-5.228348085E1,-5.210837926E1
2.506215416E-1,7.628983769E-1,-3.232552942E-1,-3.302985212E-1,-4.521006039E-1,8.055923406E1,-1.876077227E1,-5.277407209E1,-5.193198861E1
2.606445416E-1,7.605623140E-1,-3.263366855E-1,-3.338759948E-1,-4.511942254E-1,8.097240928E1,-1.908084332E1,-5.335504806E1,-5.170205516E1
2.706665416E-1,7.577118173E-1,-3.300951350E-1,-3.381906476E-1,-4.500413615E-1,8.147422021E1,-1.948992295E1,-5.405833569E1,-5.140168883E1
2.806885416E-1,7.541892259E-1,-3.346926100E-1,-3.433736860E-1,-4.486355534E-1,8.209084708E1,-2.001358437E1,-5.490974237E1,-5.101713051E1
2.907115417E-1,7.500876210E-1,-3.400134146E-1,-3.491990792E-1,-4.470115932E-1,8.280406308E1,-2.065641127E1,-5.587745721E1,-5.054447775E1
3.007335416E-1,7.453784799E-1,-3.460050915E-1,-3.556165302E-1,-4.452285181E-1,8.361676443E1,-2.142038588E1,-5.695478301E1,-4.998570210E1
3.107565417E-1,7.401466651E-1,-3.524300997E-1,-3.625968330E-1,-4.432827245E-1,8.451217863E1,-2.228304012E1,-5.812498280E1,-4.934356763E1
3.207785416E-1,7.344649117E-1,-3.592251220E-1,-3.700606796E-1,-4.411051865E-1,8.547595768E1,-2.326299920E1,-5.937336510E1,-4.859057769E1
