"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.644624979E-3,9.572593689E0,2.524799652E0,-3.929328918E0
1.166762493E-2,9.524992676E0,2.150877228E0,-3.906576233E0
2.169062500E-2,9.279503174E0,1.942211151E0,-3.852239227E0
3.171262494E-2,8.919501801E0,1.996398468E0,-3.962110748E0
4.173562489E-2,8.481961670E0,2.197729797E0,-3.997287598E0
5.175862496E-2,8.220605164E0,2.501747589E0,-4.067491608E0
6.178162491E-2,8.186027069E0,2.780467987E0,-4.030817871E0
7.180462498E-2,8.353229370E0,2.882256317E0,-3.953877869E0
8.182662493E-2,8.561296692E0,2.862796783E0,-3.930376740E0
9.184962499E-2,8.677904205E0,2.765648804E0,-3.916755066E0
1.018726249E-1,8.716523895E0,2.645598450E0,-3.917204132E0
1.118956249E-1,8.670719147E0,2.533032532E0,-3.942052460E0
1.219179999E-1,8.613538055E0,2.448308716E0,-4.002975769E0
1.319410000E-1,8.600066071E0,2.486479340E0,-4.071832581E0
1.419629999E-1,8.493487701E0,2.540067902E0,-4.065994720E0
1.519859999E-1,8.362360382E0,2.521955566E0,-4.046385498E0
1.620090000E-1,8.340206451E0,2.543810120E0,-4.091441803E0
1.720319999E-1,8.405919800E0,2.642005920E0,-4.155508575E0
1.820550000E-1,8.532257080E0,2.686613159E0,-4.197571106E0
1.920769999E-1,8.664432220E0,2.667902069E0,-4.201912079E0
2.021000000E-1,8.736133118E0,2.721490631E0,-4.105662231E0
2.121229999E-1,8.777596893E0,2.721041565E0,-4.066443787E0
2.221459999E-1,8.858578491E0,2.646496582E0,-4.120631104E0
2.321690000E-1,8.850944366E0,2.533331909E0,-4.144281921E0
2.421909999E-1,8.756640472E0,2.434387665E0,-4.111500092E0
2.522140000E-1,8.569080505E0,2.401306458E0,-4.022285614E0
2.622369999E-1,8.473130035E0,2.509830780E0,-4.018693085E0
2.722600000E-1,8.594826965E0,2.574196930E0,-4.016597443E0
2.822829999E-1,8.831185455E0,2.569406891E0,-3.995790710E0
2.923049999E-1,9.106612701E0,2.530936890E0,-3.901187439E0
3.023280000E-1,9.176667023E0,2.584375763E0,-3.859274597E0
3.123509999E-1,9.099876709E0,2.594404907E0,-3.873644714E0
3.223740000E-1,8.954079895E0,2.634820862E0,-3.805686035E0
3.323969999E-1,8.778045959E0,2.646646271E0,-3.866160278E0
3.424190000E-1,8.609197083E0,2.603386230E0,-4.023483124E0
3.524419999E-1,8.521030426E0,2.618804169E0,-4.009562073E0
3.624649999E-1,8.435857544E0,2.678230591E0,-3.879033508E0
3.724880000E-1,8.347840576E0,2.708018646E0,-3.825594635E0
3.825109999E-1,8.278983765E0,2.717598724E0,-3.829636230E0
3.925330000E-1,8.274792480E0,2.670895844E0,-3.931873627E0
4.025559999E-1,8.350235596E0,2.609074402E0,-4.014202423E0
4.125790000E-1,8.460556183E0,2.541415100E0,-4.070485382E0
4.226019999E-1,8.559350739E0,2.479443970E0,-4.131109314E0
4.326249999E-1,8.601862335E0,2.467019806E0,-4.161795502E0
4.426480000E-1,8.569828949E0,2.488874359E0,-4.162094879E0
4.526699999E-1,8.519084473E0,2.538421326E0,-4.109404449E0
4.626930000E-1,8.438551941E0,2.571801910E0,-4.025429077E0
4.727159999E-1,8.384364624E0,2.610571289E0,-3.945495300E0
4.827390000E-1,8.348289642E0,2.621947632E0,-3.934717712E0
4.927620000E-1,8.384214935E0,2.610271912E0,-3.944746857E0
5.027839999E-1,8.455017700E0,2.593207397E0,-3.949387207E0
