"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.064991951E-2,5.238120807E1,4.860371413E0,2.434316949E0,NaN,NaN,1.892625846E1,3.000000000E1
2.340996265E-2,5.238120890E1,4.860369027E0,2.434168176E0,NaN,NaN,4.071545535E1,3.000626488E1
3.208509684E-1,5.238121119E1,4.860372117E0,2.433008508E0,NaN,NaN,4.114802461E1,3.000626817E1
3.217519522E-1,5.238121119E1,4.860372117E0,2.433008508E0,NaN,NaN,4.114802461E1,3.000626817E1
6.885108948E-1,5.238118036E1,4.860401023E0,2.469479015E0,NaN,NaN,2.081650207E1,3.000000000E1
1.134206891E0,5.238117967E1,4.860400092E0,2.469314983E0,NaN,NaN,2.258056212E1,3.000001046E1
1.148404956E0,5.238117967E1,4.860400092E0,2.469314983E0,NaN,NaN,2.258229116E1,3.000001046E1
4.770380974E0,5.238115798E1,4.860523004E0,6.930995941E0,0.000000000E0,NaN,4.908617266E1,4.800000000E1
5.774240971E0,5.238117241E1,4.860465768E0,4.317283630E-1,0.000000000E0,NaN,2.365668398E1,4.000000000E0
6.776042938E0,5.238113675E1,4.860651553E0,6.502952576E-1,0.000000000E0,NaN,2.044127734E1,4.000000000E0
7.773638964E0,5.238111898E1,4.860752990E0,1.612331390E0,0.000000000E0,NaN,1.325469491E1,4.000000000E0
8.773277998E0,5.238111604E1,4.860775656E0,2.835964203E0,0.000000000E0,NaN,1.391926050E1,4.000000000E0
9.774596930E0,5.238112937E1,4.860796540E0,3.194850922E0,3.430000067E0,3.445312500E1,1.399128490E1,4.000000000E0
1.075513470E1,5.238115035E1,4.860828917E0,2.680568695E0,3.430000067E0,5.273437500E1,1.399172302E1,4.000000000E0
1.175513577E1,5.238115139E1,4.860820090E0,3.213527679E0,0.000000000E0,NaN,1.399237196E1,4.000000000E0
1.275512600E1,5.238114372E1,4.860797456E0,3.173122406E0,3.000000119E-1,5.378906250E1,1.338317422E1,4.000000000E0
1.375513303E1,5.238113739E1,4.860771651E0,3.752529144E0,3.100000024E-1,NaN,1.339679842E1,4.000000000E0
1.475513005E1,5.238112477E1,4.860746495E0,3.449550629E0,9.499999881E-1,1.993359375E2,1.393469918E1,4.000000000E0
1.575511837E1,5.238112149E1,4.860734390E0,3.669155121E0,2.199999988E-1,2.042578125E2,1.393651366E1,4.000000000E0
1.675511801E1,5.238112098E1,4.860732981E0,3.669155188E0,2.199999988E-1,NaN,4.744621838E0,4.296676358E0
