"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
9.161624941E-3,3.332310021E-1,-4.884159512E-1,-6.859680504E-1,-4.240929061E-1,1.410699961E2,1.484958591E2,-6.062630785E1,1.278267259E2
1.918462489E-2,3.339783395E-1,-4.871296399E-1,-6.857841110E-1,-4.252802777E-1,1.409791535E2,1.481511287E2,-6.073960391E1,1.282090973E2
2.920762496E-2,3.346796999E-1,-4.858556250E-1,-6.856401374E-1,-4.264170256E-1,1.408938763E2,1.478123523E2,-6.084369690E1,1.285875690E2
3.923062491E-2,3.351640726E-1,-4.848611279E-1,-6.855976533E-1,-4.272360021E-1,1.408349692E2,1.475558803E2,-6.091218873E1,1.288796414E2
4.925362498E-2,3.353737584E-1,-4.843411096E-1,-6.856116566E-1,-4.276385414E-1,1.408094648E2,1.474238990E2,-6.094078223E1,1.290314192E2
5.927662493E-2,3.353992151E-1,-4.842905545E-1,-6.855934281E-1,-4.277049648E-1,1.408063683E2,1.474060771E2,-6.094594667E1,1.290486421E2
6.929862499E-2,3.352671058E-1,-4.845594303E-1,-6.855793722E-1,-4.275267047E-1,1.408224373E2,1.474674015E2,-6.093022039E1,1.289735366E2
7.932162494E-2,3.349872771E-1,-4.849115461E-1,-6.856174518E-1,-4.272855984E-1,1.408564715E2,1.475433637E2,-6.089593152E1,1.288771489E2
8.934462490E-2,3.345645758E-1,-4.851752379E-1,-6.857601400E-1,-4.270884881E-1,1.409078756E2,1.475919072E2,-6.084295912E1,1.288088350E2
9.936762496E-2,3.340410277E-1,-4.853254282E-1,-6.859911258E-1,-4.269565685E-1,1.409715322E2,1.476080924E2,-6.077675971E1,1.287751655E2
1.093906249E-1,3.335374044E-1,-4.854241361E-1,-6.862411409E-1,-4.268362498E-1,1.410327544E2,1.476165521E2,-6.071149218E1,1.287538902E2
1.194119999E-1,3.331382632E-1,-4.855448025E-1,-6.864575650E-1,-4.266629525E-1,1.410812672E2,1.476433595E2,-6.065662240E1,1.287202018E2
1.294349999E-1,3.328724694E-1,-4.857078687E-1,-6.865809288E-1,-4.264862887E-1,1.411135685E2,1.476831248E2,-6.061978456E1,1.286733331E2
1.394580000E-1,3.326727776E-1,-4.859498653E-1,-6.866582366E-1,-4.262416684E-1,1.411378345E2,1.477490757E2,-6.059012245E1,1.286006792E2
1.494809999E-1,3.324451109E-1,-4.862690434E-1,-6.867848879E-1,-4.258512937E-1,1.411654977E2,1.478506202E2,-6.055094089E1,1.284979663E2
1.595040000E-1,3.322346664E-1,-4.865741339E-1,-6.869476274E-1,-4.254042474E-1,1.411910662E2,1.479617507E2,-6.050946593E1,1.283930238E2
1.695259999E-1,3.321121982E-1,-4.867715603E-1,-6.870855214E-1,-4.250510463E-1,1.412059449E2,1.480462912E2,-6.048008524E1,1.283190560E2
1.795490000E-1,3.320313342E-1,-4.868735030E-1,-6.871896768E-1,-4.248290430E-1,1.412157687E2,1.480963747E2,-6.046015244E1,1.282777738E2
1.895719999E-1,3.318960586E-1,-4.869407483E-1,-6.872946435E-1,-4.246878353E-1,1.412322020E2,1.481238799E2,-6.043730998E1,1.282531930E2
1.995949999E-1,3.316866520E-1,-4.870280871E-1,-6.873979771E-1,-4.245840908E-1,1.412576392E2,1.481427320E2,-6.040873491E1,1.282294469E2
2.096180000E-1,3.314900159E-1,-4.871582155E-1,-6.874553178E-1,-4.244955613E-1,1.412815233E2,1.481647215E2,-6.038460147E1,1.281970800E2
2.196399999E-1,3.314340343E-1,-4.872530354E-1,-6.874258256E-1,-4.244781231E-1,1.412883227E2,1.481767079E2,-6.038077426E1,1.281754728E2
2.296630000E-1,3.315203564E-1,-4.872603268E-1,-6.873472217E-1,-4.245296213E-1,1.412778381E2,1.481727254E2,-6.039502947E1,1.281762139E2
2.396859999E-1,3.316337156E-1,-4.872070531E-1,-6.872987528E-1,-4.245805505E-1,1.412640692E2,1.481627809E2,-6.040988750E1,1.281899128E2
2.497090000E-1,3.316612269E-1,-4.871542537E-1,-6.873292145E-1,-4.245704879E-1,1.412607275E2,1.481596130E2,-6.041028012E1,1.282002665E2
