"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.173408329E-2,-8.465937960E-1,7.732729277E0,5.976979986E0
2.175508335E-2,-8.755869956E-1,7.722219492E0,5.986382893E0
3.177708329E-2,-9.193011452E-1,7.712304953E0,5.992606670E0
4.179908335E-2,-9.731534898E-1,7.702920172E0,5.996172886E0
5.182108330E-2,-1.029207092E0,7.692950084E0,5.999612803E0
6.184208335E-2,-1.079772862E0,7.682509881E0,6.004101126E0
7.186408329E-2,-1.121811273E0,7.672084880E0,6.009721470E0
8.188608335E-2,-1.158015551E0,7.662051058E0,6.015651716E0
9.190808330E-2,-1.189032984E0,7.651849421E0,6.022583005E0
1.019300834E-1,-1.212693377E0,7.641875240E0,6.030522940E0
1.119510833E-1,-1.228258957E0,7.631090051E0,6.041022785E0
1.219730834E-1,-1.235773945E0,7.618900945E0,6.054858466E0
1.319950833E-1,-1.239143549E0,7.606784930E0,6.069386458E0
1.420170834E-1,-1.245164719E0,7.594896371E0,6.083027428E0
1.520390833E-1,-1.252589952E0,7.583939273E0,6.095160400E0
1.620600834E-1,-1.255469998E0,7.574462106E0,6.106342031E0
1.720820833E-1,-1.251347127E0,7.565695961E0,6.118044648E0
1.821040834E-1,-1.241529944E0,7.557126281E0,6.130623763E0
1.921260833E-1,-1.226861911E0,7.549085775E0,6.143468927E0
2.021470834E-1,-1.204727422E0,7.541696064E0,6.156911091E0
2.121690833E-1,-1.171969201E0,7.534151402E0,6.172451236E0
2.221910834E-1,-1.128892617E0,7.525847771E0,6.190584036E0
2.322130833E-1,-1.079128719E0,7.516072980E0,6.211297798E0
2.422350832E-1,-1.025514867E0,7.504855097E0,6.233904887E0
2.522560833E-1,-9.650912757E-1,7.492063143E0,6.258889455E0
2.622780834E-1,-8.899089463E-1,7.477652680E0,6.287198750E0
2.723000833E-1,-7.923790703E-1,7.460809776E0,6.320170614E0
2.823220833E-1,-6.723311283E-1,7.441743760E0,6.356455511E0
2.923430833E-1,-5.332066452E-1,7.421560925E0,6.393139188E0
3.023650832E-1,-3.763306001E-1,7.401845868E0,6.427064733E0
3.123870833E-1,-2.040553827E-1,7.381215722E0,6.458491178E0
3.224090833E-1,-2.089889891E-2,7.357642672E0,6.488509614E0
3.324310833E-1,1.846479257E-1,7.323538202E0,6.524399239E0
3.424520832E-1,4.223181107E-1,7.271367590E0,6.571526628E0
3.524740833E-1,6.978985903E-1,7.203145201E0,6.622971600E0
3.624960833E-1,1.041670066E0,7.107630349E0,6.680764310E0
3.725180833E-1,1.466172222E0,6.984726554E0,6.730529963E0
3.825400833E-1,1.937939322E0,6.841721785E0,6.758056315E0
3.925610833E-1,2.454072316E0,6.679948039E0,6.752179279E0
4.025830833E-1,3.065994544E0,6.493852800E0,6.683236513E0
4.126050833E-1,3.715171137E0,6.310317471E0,6.527901721E0
4.226270833E-1,4.363884045E0,6.132881373E0,6.291294140E0
4.326479166E-1,5.009262872E0,5.947494816E0,5.980860783E0
4.426699167E-1,5.626011391E0,5.740303992E0,5.624323885E0
4.526919166E-1,6.171833185E0,5.516079059E0,5.264736494E0
4.627139167E-1,6.607348425E0,5.301361699E0,4.947180644E0
4.727359166E-1,6.916083165E0,5.125460495E0,4.704631999E0
4.827569167E-1,7.107708701E0,4.998492885E0,4.553201393E0
4.927789166E-1,7.210979885E0,4.904031701E0,4.493144641E0
5.028009167E-1,7.257310883E0,4.820034694E0,4.509412765E0
5.128229166E-1,7.271462315E0,4.733599983E0,4.577661173E0
5.228449167E-1,7.271801453E0,4.640376947E0,4.671606048E0
5.328659166E-1,7.270858882E0,4.541017550E0,4.769681104E0
5.428879167E-1,7.276278666E0,4.438334303E0,4.857268594E0
5.529099166E-1,7.293133850E0,4.335088263E0,4.924765343E0
5.629319167E-1,7.326053674E0,4.234225254E0,4.963504901E0
5.729529166E-1,7.379841042E0,4.139773426E0,4.963497300E0
5.829749167E-1,7.456929563E0,4.054932958E0,4.918111796E0
5.929969166E-1,7.556838598E0,3.979875467E0,4.826063758E0
6.030189167E-1,7.630296584E0,3.929272493E0,4.751367625E0
6.130409166E-1,7.422661371E0,3.968269621E0,5.039150915E0
6.230619167E-1,7.218191841E0,4.050488782E0,5.265677311E0
6.330839166E-1,7.183489786E0,4.121985026E0,5.257643237E0
6.431059167E-1,7.190238642E0,4.141845679E0,5.232751055E0
6.531279166E-1,7.186982912E0,4.116110913E0,5.257471914E0
6.631499167E-1,7.224827846E0,4.062604505E0,5.247210050E0
6.731709166E-1,7.363338445E0,3.996980326E0,5.103089048E0
6.831929167E-1,7.607604125E0,3.943659275E0,4.775772441E0
6.932149166E-1,7.909122816E0,3.917186590E0,4.282234696E0
7.032369167E-1,8.213787895E0,3.907626685E0,3.674266647E0
7.132579166E-1,8.492599509E0,3.885599347E0,3.002330937E0
7.232799167E-1,8.735540210E0,3.835683421E0,2.283412118E0
7.333019166E-1,8.927147620E0,3.776947555E0,1.508912152E0
7.433239167E-1,9.040780070E0,3.738003052E0,7.264567570E-1
7.533459166E-1,9.068851967E0,3.740534897E0,1.997050268E-2
