"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.173408329E-2,1.444450547E0,4.170731217E-1,1.311413527E-2
2.175508335E-2,1.136494436E0,-4.452520233E-1,2.978489792E-1
3.177708329E-2,1.048781889E0,-6.534339505E-1,1.594500625E-1
4.179908335E-2,9.420183089E-1,-3.035079145E-1,-1.319681489E-1
5.182108330E-2,8.611066584E-1,2.606104016E-1,-2.746179914E-1
6.184208335E-2,7.820419970E-1,5.202823251E-1,-1.702826142E-1
7.186408329E-2,8.559641053E-1,3.322200823E-1,-1.592875099E-1
8.188608335E-2,8.821393123E-1,1.130798882E-1,-1.265986508E-1
9.190808330E-2,8.475930121E-1,7.777673900E-2,-2.529809546E-1
1.019300834E-1,7.998518850E-1,-3.167080039E-1,-2.962480116E-1
1.119510833E-1,8.603240816E-1,-6.368845761E-1,-3.516538882E-1
1.219730834E-1,7.708407784E-1,-4.389317679E-1,-3.840509713E-1
1.319950833E-1,7.559483586E-1,-1.486941093E-1,-2.012892294E-1
1.420170834E-1,1.228549271E0,4.146476966E-1,-1.513119078E-1
1.520390833E-1,1.252589952E0,4.621288419E-1,-2.005682677E-1
1.620600834E-1,9.548951934E-1,-2.341517508E-2,-2.003741401E-1
1.720820833E-1,7.299813125E-1,-4.153651500E-1,-2.203090525E-1
1.821040834E-1,6.321471620E-1,-3.106953120E-1,-1.432246238E-1
1.921260833E-1,6.010135160E-1,-2.837946117E-1,5.933228195E-2
2.021470834E-1,3.723084466E-1,-4.799809760E-1,1.810590327E-1
2.121690833E-1,1.132209523E-1,-4.799207497E-1,2.252446872E-1
2.221910834E-1,6.975655183E-3,-4.009640425E-1,3.316529024E-1
2.322130833E-1,-1.686764572E-1,-3.872973454E-1,3.456663394E-1
2.422350832E-1,-2.097164559E-1,-1.629227239E-1,4.796342361E-1
2.522560833E-1,-3.895917197E-1,-1.936901879E-1,4.643800199E-1
2.622780834E-1,-9.451250808E-1,-7.651613778E-1,2.973086965E-1
2.723000833E-1,-1.734965363E0,-1.266989890E0,1.186897069E-1
2.823220833E-1,-2.185525927E0,-1.413479599E0,1.175816596E-1
2.923430833E-1,-2.350546486E0,-1.270102948E0,1.829856902E-1
3.023650832E-1,-2.910534329E0,-1.205630963E0,2.849775034E-1
3.123870833E-1,-3.290277949E0,-8.690085125E-1,1.852924168E-1
3.224090833E-1,-3.326140969E0,-6.182073998E-1,7.399359047E-2
3.324310833E-1,-3.462681348E0,-7.038544911E-1,-6.578059137E-2
3.424520832E-1,-3.857524526E0,-4.566388911E-1,-4.024053812E-1
3.524740833E-1,-4.049578663E0,-5.910073221E-2,-6.750896984E-1
3.624960833E-1,-4.585550529E0,4.631760782E-1,-1.595090024E0
3.725180833E-1,-5.142078282E0,7.615150541E-1,-2.329382197E0
3.825400833E-1,-5.539150418E0,1.497735638E0,-1.962629043E0
3.925610833E-1,-5.155355555E0,2.912403976E0,-2.688280200E0
4.025830833E-1,-3.605921760E0,4.172666060E0,-5.255056429E0
4.126050833E-1,-3.595719538E0,4.196034458E0,-5.125617785E0
4.226270833E-1,-2.698147961E0,3.998949376E0,-4.524667858E0
4.326479166E-1,2.710067511E-1,3.931661373E0,-5.163111302E0
4.426699167E-1,3.400368741E0,3.636497435E0,-5.575525362E0
4.526919166E-1,7.084899298E0,2.807062878E0,-4.802498310E0
4.627139167E-1,1.040118157E1,1.619944784E0,-2.834923691E0
