"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.173408329E-2,6.128664925E-1,3.353176531E-1,-2.879669700E-1,-6.550052883E-1,1.044058822E2,5.229792492E1,4.950729948E0,-9.137542290E1
2.175508335E-2,6.154057769E-1,3.370420229E-1,-2.851075434E-1,-6.529871075E-1,1.040371786E2,5.221660726E1,5.120722367E0,-9.088344908E1
3.177708329E-2,6.178071528E-1,3.393835727E-1,-2.817538371E-1,-6.509591526E-1,1.036876452E2,5.215211849E1,5.377112366E0,-9.036060956E1
4.179908335E-2,6.201930082E-1,3.421894570E-1,-2.780126720E-1,-6.488265155E-1,1.033395393E2,5.210179149E1,5.693113734E0,-8.980041570E1
5.182108330E-2,6.225826265E-1,3.450466630E-1,-2.741389262E-1,-6.466695478E-1,1.029900444E2,5.204988368E1,6.022215998E0,-8.923183092E1
6.184208335E-2,6.250331529E-1,3.476463386E-1,-2.704119068E-1,-6.444788145E-1,1.026307583E2,5.199135674E1,6.319269321E0,-8.867120213E1
7.186408329E-2,6.276041970E-1,3.499086786E-1,-2.669419752E-1,-6.421984995E-1,1.022528302E2,5.192757980E1,6.566357454E0,-8.811682384E1
8.188608335E-2,6.302968353E-1,3.519764267E-1,-2.636369642E-1,-6.397921225E-1,1.018559482E2,5.186372941E1,6.779252862E0,-8.755724635E1
9.190808330E-2,6.328378896E-1,3.537297330E-1,-2.606028995E-1,-6.375559586E-1,1.014803828E2,5.179458458E1,6.961722076E0,-8.704236953E1
1.019300834E-1,6.353489312E-1,3.551504875E-1,-2.578798495E-1,-6.353721451E-1,1.011082623E2,5.172155350E1,7.100958681E0,-8.655667885E1
1.119510833E-1,6.377866945E-1,3.561235212E-1,-2.554892908E-1,-6.333478424E-1,1.007460477E2,5.163369948E1,7.192582124E0,-8.611670601E1
1.219730834E-1,6.401353401E-1,3.566094849E-1,-2.534230310E-1,-6.315324387E-1,1.003961756E2,5.152529196E1,7.236823953E0,-8.572863178E1
1.319950833E-1,6.424399067E-1,3.568956884E-1,-2.515522747E-1,-6.297761183E-1,1.000520025E2,5.141394191E1,7.256662588E0,-8.536230979E1
1.420170834E-1,6.445645399E-1,3.572356870E-1,-2.496807860E-1,-6.281551399E-1,9.973393197E1,5.130750043E1,7.292115016E0,-8.501679080E1
1.520390833E-1,6.464452792E-1,3.575956527E-1,-2.479209128E-1,-6.267128965E-1,9.945175156E1,5.121139740E1,7.335838137E0,-8.470476772E1
1.620600834E-1,6.482075429E-1,3.578037633E-1,-2.464670256E-1,-6.253458016E-1,9.918681155E1,5.112510909E1,7.352798459E0,-8.442247536E1
1.720820833E-1,6.499257817E-1,3.577356382E-1,-2.453533531E-1,-6.240379888E-1,9.892798727E1,5.103906054E1,7.328519462E0,-8.416946475E1
1.821040834E-1,6.515963195E-1,3.574158226E-1,-2.445114751E-1,-6.228083914E-1,9.867586816E1,5.094974321E1,7.270713694E0,-8.394425837E1
1.921260833E-1,6.532137074E-1,3.569024108E-1,-2.439219039E-1,-6.216386030E-1,9.843131567E1,5.086119935E1,7.184357571E0,-8.374285646E1
2.021470834E-1,6.547958026E-1,3.561009990E-1,-2.436886527E-1,-6.205243378E-1,9.819166311E1,5.077238936E1,7.054076061E0,-8.357062776E1
2.121690833E-1,6.563562397E-1,3.548352765E-1,-2.439097656E-1,-6.195130742E-1,9.795486520E1,5.067350747E1,6.861330685E0,-8.344013209E1
