"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.340858336E-2,3.630508669E-3,-7.215635478E-2,6.428825855E-2
2.343058342E-2,-4.162081331E-2,-6.493661553E-2,5.990825593E-2
3.345158335E-2,-3.637571633E-2,1.779362261E-1,9.501272812E-3
4.347358341E-2,-1.567788236E-2,4.910759330E-1,-2.711580368E-3
5.349558336E-2,-3.536130488E-2,4.643361866E-1,3.539559245E-2
6.351758342E-2,-7.921170443E-2,2.174897641E-1,4.474947602E-2
7.353958336E-2,-1.150911450E-1,-7.557682693E-5,7.296641357E-3
8.356158331E-2,-1.219882593E-1,-8.648689836E-2,-3.612772748E-2
9.358258336E-2,-1.341218799E-1,-9.480369091E-2,-3.762761876E-2
1.036045834E-1,-1.360772848E-1,-6.849346310E-2,-2.269951440E-2
1.136265834E-1,-1.262209266E-1,-7.984843105E-3,-1.850956818E-3
1.236485833E-1,-1.086451411E-1,5.984533578E-2,8.833378553E-3
1.336705834E-1,-9.371200204E-2,9.539880604E-2,3.894812893E-3
1.436925833E-1,-9.214890003E-2,9.197430313E-2,-5.463173613E-3
1.537135834E-1,-9.740304947E-2,6.875579804E-2,-5.796068814E-3
1.637355833E-1,-1.086044163E-1,1.444777660E-2,-6.385113113E-3
1.737575834E-1,-1.269778311E-1,-7.889361680E-2,3.217447083E-3
1.837795833E-1,-1.466839164E-1,-1.867858171E-1,4.571021069E-3
1.938015834E-1,-1.716606468E-1,-3.131818175E-1,7.453626487E-3
2.038235833E-1,-1.987358779E-1,-4.482275546E-1,9.511392564E-3
2.138445834E-1,-2.040062696E-1,-5.936257243E-1,3.952044062E-3
2.238665833E-1,-2.160034925E-1,-7.724142075E-1,-4.204970784E-3
2.338885834E-1,-2.496197820E-1,-9.940754771E-1,8.935332298E-3
2.439105833E-1,-2.986899316E-1,-1.278730154E0,4.314668942E-3
2.539325834E-1,-3.639065027E-1,-1.576694012E0,1.853941008E-2
2.639545833E-1,-4.443069100E-1,-1.894403219E0,7.121331245E-2
2.739755834E-1,-5.484372377E-1,-2.272424459E0,1.194167957E-1
2.839975833E-1,-6.795049906E-1,-2.757674694E0,1.473281533E-1
2.940195834E-1,-8.080613613E-1,-3.277266264E0,1.783643663E-1
3.040415833E-1,-9.168842435E-1,-3.825096607E0,2.219771296E-1
3.140635834E-1,-1.002521873E0,-4.439297199E0,2.500873208E-1
3.240845833E-1,-1.105629444E0,-5.101966381E0,2.935158908E-1
3.341065834E-1,-1.245031476E0,-5.621405125E0,3.022696972E-1
3.441285833E-1,-1.281066418E0,-5.744967937E0,3.382776976E-1
3.541505834E-1,-1.056071877E0,-4.969084740E0,4.010106027E-1
3.641725833E-1,-7.557266951E-1,-3.444603205E0,3.393754661E-1
3.741945834E-1,-7.116764188E-1,-2.644123077E0,1.447950453E-1
3.842155833E-1,-7.884930372E-1,-2.536937714E0,-5.270437896E-2
3.942375834E-1,-7.511389852E-1,-2.364031076E0,-2.379115075E-1
4.042595833E-1,-5.848670602E-1,-1.836548448E0,-3.131242990E-1
4.142815834E-1,-4.017340243E-1,-1.265486717E0,-2.110400051E-1
4.243035833E-1,-2.944790125E-1,-8.391261697E-1,6.142726913E-2
4.343255834E-1,-2.531696558E-1,-5.486996770E-1,2.155864835E-1
4.443462084E-1,-2.535761595E-1,-4.988667667E-1,2.447483838E-1
4.543682084E-1,-2.926311493E-1,-6.362741590E-1,9.759009629E-2
4.643902084E-1,-3.343928754E-1,-8.497684598E-1,-4.332379624E-2
4.744122083E-1,-3.196597397E-1,-9.862525463E-1,-4.864319414E-2
4.844342084E-1,-3.084779680E-1,-1.088200212E0,-3.964715078E-2
4.944562083E-1,-3.208850920E-1,-1.248145938E0,-8.463779092E-2
