"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.340858336E-2,3.191589374E-1,2.761406064E-1,1.431170350E-1
2.343058342E-2,4.369863993E-1,4.312836099E-1,-2.221497560E-1
3.345158335E-2,7.473526593E-1,7.098894024E-1,-8.748837948E-2
4.347358341E-2,1.315939856E0,1.118926111E0,5.232263982E-1
5.349558336E-2,7.915818755E-1,3.664145994E-1,6.114094269E-1
6.351758342E-2,-1.720557824E-1,-8.451729226E-1,-9.092011034E-2
7.353958336E-2,8.796273485E-2,-2.813001895E-1,-5.383864743E-1
8.356158331E-2,8.456037162E-1,9.117083895E-1,-3.628039438E-1
9.358258336E-2,8.740764405E-1,9.317485517E-1,-8.017351270E-2
1.036045834E-1,2.960668941E-1,-2.868643999E-3,-4.461425543E-2
1.136265834E-1,1.877725133E-1,-4.425465167E-1,-1.680051237E-1
1.236485833E-1,4.399782734E-1,-1.843451679E-1,-1.319985545E-1
1.336705834E-1,6.543778373E-1,5.760267556E-2,-3.303735316E-2
1.436925833E-1,7.465208928E-1,9.826362848E-2,-6.187523603E-3
1.537135834E-1,5.931735693E-1,1.666514933E-2,-2.263106346E-2
1.637355833E-1,2.959810862E-1,-7.936016500E-2,5.107250512E-2
1.737575834E-1,2.103478821E-1,-8.541554153E-2,1.115467483E-1
1.837795833E-1,1.194751342E-1,-1.035471725E-1,1.087114334E-1
1.938015834E-1,-1.084002154E-1,-2.042058206E-1,3.551306427E-2
2.038235833E-1,-3.375648028E-1,-2.095267868E-1,-7.652134180E-2
2.138445834E-1,-3.707395656E-1,-7.603953123E-2,-1.343269157E-1
2.238665833E-1,-4.728800442E-1,-5.623852015E-3,-1.256245047E-1
2.338885834E-1,-7.749815572E-1,-1.645921040E-1,-2.799635160E-1
2.439105833E-1,-1.222142404E0,-4.529013509E-1,-3.953173864E-1
2.539325834E-1,-1.928665199E0,-7.839321095E-1,-4.911748856E-1
2.639545833E-1,-2.800169595E0,-1.125781386E0,-4.414425623E-1
2.739755834E-1,-3.624725236E0,-1.346837128E0,-4.381108189E-1
2.839975833E-1,-4.051196002E0,-1.200625162E0,-5.547037143E-1
2.940195834E-1,-3.751401947E0,-7.630920482E-1,-7.274895215E-1
3.040415833E-1,-3.367091067E0,-4.800844717E-1,-8.500167561E-1
3.140635834E-1,-3.085521613E0,-4.946627498E-1,-9.390107936E-1
3.240845833E-1,-2.861670317E0,-3.052293348E-1,-1.176255137E0
3.341065834E-1,-2.476546674E0,2.953539723E-1,-1.611443517E0
3.441285833E-1,-1.287114983E0,1.022830045E0,-1.746659210E0
3.541505834E-1,4.546547846E-1,1.240953408E0,-1.269617629E0
3.641725833E-1,2.148750011E0,8.505669791E-1,-3.138627487E-1
3.741945834E-1,4.754160840E0,2.801564741E-1,2.744998777E-1
3.842155833E-1,7.271303855E0,7.025534856E-1,-5.103315336E-1
3.942375834E-1,8.003844202E0,1.930452985E0,-1.126189522E0
4.042595833E-1,6.951363510E0,1.792673289E0,-2.243027008E-1
