"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.340858336E-2,9.094344133E-1,4.021528900E-1,9.065630118E-2,5.462248426E-2,4.914538342E1,4.831831631E1,6.947437425E0,9.993749213E0
2.343058342E-2,9.094980972E-1,4.021043052E-1,9.014757818E-2,5.476118954E-2,4.912783165E1,4.830441977E1,6.888563729E0,9.983192595E0
3.345158335E-2,9.095549955E-1,4.019197758E-1,9.023474840E-2,5.502654609E-2,4.911214508E1,4.828406305E1,6.887163438E0,1.001397270E1
4.347358341E-2,9.094457508E-1,4.017132035E-1,9.181269480E-2,5.572601519E-2,4.914225915E1,4.828831099E1,7.020564482E0,1.016289066E1
5.349558336E-2,9.092560479E-1,4.014733037E-1,9.404449687E-2,5.681757642E-2,4.919451106E1,4.830228910E1,7.203831303E0,1.038485011E1
6.351758342E-2,9.091932491E-1,4.011360025E-1,9.551559047E-2,5.774303692E-2,4.921179694E1,4.829070226E1,7.316984637E0,1.055153450E1
7.353958336E-2,9.093386557E-1,4.006658017E-1,9.587852751E-2,5.811578365E-2,4.917176391E1,4.824014870E1,7.342601816E0,1.060478756E1
8.356158331E-2,9.096059932E-1,4.001309792E-1,9.564425426E-2,5.800253507E-2,4.909808126E1,4.816829851E1,7.329769251E0,1.057715149E1
9.358258336E-2,9.099182170E-1,3.995560014E-1,9.525996983E-2,5.770160657E-2,4.901189565E1,4.808778961E1,7.310565667E0,1.052213387E1
1.036045834E-1,9.102374372E-1,3.989514786E-1,9.489203838E-2,5.745437316E-2,4.892363152E1,4.800420587E1,7.290812663E0,1.047337518E1
1.136265834E-1,9.105237829E-1,3.983532041E-1,9.469896367E-2,5.738710679E-2,4.884432982E1,4.792548404E1,7.280709147E0,1.045216932E1
1.236485833E-1,9.107437473E-1,3.978119437E-1,9.478061265E-2,5.751519106E-2,4.878332985E1,4.785978259E1,7.289408068E0,1.046535563E1
1.336705834E-1,9.109038211E-1,3.973331977E-1,9.510244598E-2,5.775947419E-2,4.873889355E1,4.780677413E1,7.316996864E0,1.050292818E1
1.436925833E-1,9.110426949E-1,3.968821948E-1,9.551534812E-2,5.798795226E-2,4.870031147E1,4.775879009E1,7.354517529E0,1.054344597E1
1.537135834E-1,9.111932856E-1,3.964237741E-1,9.586688445E-2,5.817647511E-2,4.865844174E1,4.770861808E1,7.387627266E0,1.057669465E1
1.637355833E-1,9.113773409E-1,3.959396016E-1,9.605248863E-2,5.828399172E-2,4.860722164E1,4.765187366E1,7.407548389E0,1.059313800E1
1.737575834E-1,9.116249115E-1,3.954128608E-1,9.587887523E-2,5.827379218E-2,4.853824602E1,4.758281769E1,7.396021029E0,1.057944360E1
1.837795833E-1,9.119581666E-1,3.948275465E-1,9.522747461E-2,5.809740762E-2,4.844525216E1,4.749714856E1,7.343060735E0,1.052471969E1
1.938015834E-1,9.123886124E-1,3.941760405E-1,9.403303292E-2,5.770683278E-2,4.832488869E1,4.739271040E1,7.244054824E0,1.042084699E1
2.038235833E-1,9.129313374E-1,3.934389659E-1,9.221605067E-2,5.708217434E-2,4.817272627E1,4.726602993E1,7.091666381E0,1.026201231E1
2.138445834E-1,9.135637087E-1,3.926660137E-1,8.976224008E-2,5.619279154E-2,4.799485780E1,4.712361181E1,6.885006898E0,1.004504453E1
2.238665833E-1,9.142772970E-1,3.918928403E-1,8.658865614E-2,5.494941736E-2,4.779339752E1,4.696907570E1,6.618824619E0,9.757267638E0
