"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.536749933E-3,9.395362244E0,1.294358368E0,-3.021766205E0
1.255974988E-2,9.560319214E0,1.292412415E0,-2.367027740E0
2.258274984E-2,9.698481903E0,1.368005219E0,-2.064357147E0
3.260574979E-2,9.584718475E0,1.703158264E0,-2.284549255E0
4.262874997E-2,9.175020447E0,2.112706604E0,-2.831661530E0
5.265174992E-2,8.499475250E0,2.335293732E0,-3.181184692E0
6.267474988E-2,7.928562469E0,2.259401550E0,-3.194956055E0
7.269774983E-2,7.811056824E0,2.064955902E0,-3.109633484E0
8.272075001E-2,8.165370026E0,1.930236053E0,-3.013533325E0
9.274374996E-2,8.720864868E0,1.833686829E0,-2.950214996E0
1.027667499E-1,9.301806793E0,1.827399902E0,-3.040177917E0
1.127897499E-1,9.630523224E0,1.885628815E0,-3.346141663E0
1.228127498E-1,9.519154816E0,1.969005432E0,-3.583997040E0
1.328367500E-1,9.177714844E0,1.856439514E0,-3.629352722E0
1.428597500E-1,8.797804871E0,1.628164215E0,-3.500470734E0
1.528827499E-1,8.584797821E0,1.524130554E0,-3.422183533E0
1.629057499E-1,8.589288483E0,1.624272308E0,-3.443139954E0
1.729287498E-1,8.785380707E0,1.775757294E0,-3.454965363E0
1.829517500E-1,9.063053284E0,1.971699829E0,-3.562741241E0
1.929747500E-1,9.295819244E0,2.077829132E0,-3.666924591E0
2.029977499E-1,9.338330841E0,2.055525513E0,-3.728147278E0
2.130207499E-1,9.113348694E0,1.935475159E0,-3.772604828E0
2.230437498E-1,8.702902222E0,1.797162781E0,-3.913761292E0
2.330667500E-1,8.460406494E0,1.656455383E0,-4.139641571E0
2.430897499E-1,8.461154938E0,1.411864014E0,-4.285887451E0
2.531127499E-1,8.393495636E0,1.264720001E0,-4.301754456E0
2.631357498E-1,8.164022827E0,1.306782532E0,-4.256099396E0
2.731587498E-1,7.854466553E0,1.360371094E0,-4.119732971E0
2.831817500E-1,7.506589966E0,1.321901093E0,-3.781436462E0
2.932057499E-1,7.442074127E0,1.248553619E0,-3.608545990E0
3.032287499E-1,7.573351135E0,1.279239807E0,-3.581901398E0
3.132517498E-1,7.402256927E0,1.954485626E0,-3.341501312E0
3.232747498E-1,7.698041840E0,2.207758942E0,-3.490291901E0
3.332977500E-1,7.701933746E0,1.897154846E0,-4.701423340E0
