"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.130674989E-2,9.082283607E0,1.773087309E0,-3.256433680E0
2.132974984E-2,9.073201126E0,1.790603228E0,-3.272129946E0
3.135274979E-2,9.059612197E0,1.806275666E0,-3.301047351E0
4.137574998E-2,9.042569903E0,1.818676734E0,-3.340726849E0
5.139974994E-2,9.023786307E0,1.825195064E0,-3.387632043E0
6.142274989E-2,9.003938518E0,1.824555817E0,-3.440377437E0
7.144574984E-2,8.983414791E0,1.816921838E0,-3.497595365E0
8.146874979E-2,8.962661853E0,1.803542093E0,-3.557251583E0
9.149174998E-2,8.941817699E0,1.788558018E0,-3.616774192E0
1.015147499E-1,8.920980561E0,1.777280055E0,-3.673352728E0
1.115377499E-1,8.901533307E0,1.772008059E0,-3.722744158E0
1.215607498E-1,8.885724190E0,1.770595518E0,-3.760983194E0
1.315837500E-1,8.874139686E0,1.770362506E0,-3.788344363E0
1.416067500E-1,8.866228403E0,1.770077016E0,-3.806961313E0
1.516297499E-1,8.861070575E0,1.769066763E0,-3.819418221E0
1.616527499E-1,8.858220642E0,1.766867187E0,-3.827037435E0
1.716757498E-1,8.856704459E0,1.763851486E0,-3.831934186E0
1.816987500E-1,8.855837901E0,1.762133866E0,-3.834730325E0
1.917217500E-1,8.853921769E0,1.764632381E0,-3.837996872E0
2.017447499E-1,8.850790585E0,1.772274984E0,-3.841692897E0
2.117687499E-1,8.846767700E0,1.782062054E0,-3.846430896E0
2.217917498E-1,8.842337850E0,1.790338495E0,-3.852768108E0
2.318147500E-1,8.837929634E0,1.797497680E0,-3.859546493E0
2.418377500E-1,8.833313257E0,1.806653396E0,-3.865834881E0
2.518607499E-1,8.828398672E0,1.818537278E0,-3.871490600E0
2.618837499E-1,8.822110577E0,1.832164360E0,-3.879385511E0
2.719067498E-1,8.812370285E0,1.848250196E0,-3.893870526E0
2.819297500E-1,8.798926367E0,1.866849020E0,-3.915340332E0
2.919527499E-1,8.787646503E0,1.884328686E0,-3.932258081E0
3.019757499E-1,8.785843806E0,1.891661387E0,-3.932774098E0
3.119987499E-1,8.786438468E0,1.882481551E0,-3.935845056E0
3.220217498E-1,8.786905076E0,1.861174151E0,-3.944922858E0
3.320447500E-1,8.772113374E0,1.838239909E0,-3.988356560E0
3.420677499E-1,8.727113788E0,1.823661631E0,-4.092412441E0
3.520907499E-1,8.656909193E0,1.820645199E0,-4.240199647E0
3.621137498E-1,8.578243092E0,1.825409510E0,-4.395195301E0
3.721367498E-1,8.500935300E0,1.832820856E0,-4.539934061E0
3.821597500E-1,8.425722565E0,1.840566370E0,-4.674998895E0
