"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.130674989E-2,3.217153996E-2,-9.626766294E-2,-2.134072632E-1
2.132974984E-2,8.989137411E-2,-2.281563282E-1,-2.165674865E-1
3.135274979E-2,1.154404059E-1,-3.633320034E-1,-2.006649524E-1
4.137574998E-2,8.917163312E-2,-4.642432630E-1,-1.425766945E-1
5.139974994E-2,4.959440231E-2,-5.432837605E-1,-5.105131492E-2
6.142274989E-2,2.333273180E-2,-6.078189611E-1,3.740977496E-2
7.144574984E-2,3.784243017E-2,-6.449927092E-1,1.077036485E-1
8.146874979E-2,7.827910036E-2,-6.538111567E-1,1.385326087E-1
9.149174998E-2,1.178219840E-1,-6.290627122E-1,1.083070487E-1
1.015147499E-1,1.299130023E-1,-5.803455114E-1,3.975689411E-2
1.115377499E-1,1.043448001E-1,-4.713867903E-1,-1.334733702E-2
1.215607498E-1,7.125061750E-2,-3.520472050E-1,-2.467369661E-2
1.315837500E-1,4.454097897E-2,-2.416333556E-1,-1.817984506E-2
1.416067500E-1,3.942085057E-2,-1.645995528E-1,-9.831313044E-3
1.516297499E-1,3.929381818E-2,-9.981922060E-2,2.665943466E-4
1.616527499E-1,5.398982018E-2,-5.660585687E-2,1.115580462E-2
1.716757498E-1,6.758578867E-2,-2.782667428E-2,3.923192155E-3
1.816987500E-1,6.632096320E-2,-1.904299296E-2,-2.686901763E-2
1.917217500E-1,4.562154040E-2,-3.012280725E-2,-7.928775251E-2
2.017447499E-1,2.854584530E-2,-3.966311738E-2,-1.201521680E-1
2.117687499E-1,3.296536207E-2,-5.726421624E-2,-1.223319694E-1
2.217917498E-1,5.340440199E-2,-6.610257924E-2,-1.033458784E-1
2.318147500E-1,6.013048068E-2,-6.329613924E-2,-1.119859740E-1
2.418377500E-1,4.553001374E-2,-5.507399514E-2,-1.427108496E-1
2.518607499E-1,2.331126109E-2,-6.363952160E-2,-1.546524763E-1
2.618837499E-1,-8.635066450E-3,-1.191896498E-1,-1.605130285E-1
2.719067498E-1,-4.430677742E-2,-2.206534147E-1,-1.797548980E-1
2.819297500E-1,-7.556105405E-2,-2.784193754E-1,-1.859370321E-1
2.919527499E-1,-5.097634345E-2,-7.641059905E-2,-1.311917603E-1
3.019757499E-1,-4.911636561E-2,1.640517078E-2,2.067253739E-2
3.119987499E-1,1.460429281E-2,-7.415748388E-2,1.911188364E-1
3.220217498E-1,3.962977976E-2,-1.557971388E-1,2.517890334E-1
3.320447500E-1,-3.296914976E-3,-8.429243565E-1,2.329221517E-1
3.420677499E-1,-3.967738524E-2,-1.516883135E0,1.151899323E-1
3.520907499E-1,-4.396108165E-2,-1.829139590E0,-2.354806755E-3
3.621137498E-1,-3.278250806E-4,-1.749527216E0,-7.652653009E-2
3.721367498E-1,2.772910893E-2,-1.628764510E0,-1.074090749E-1
3.821597500E-1,3.404075652E-2,-1.548979044E0,-1.032665223E-1
3.921837499E-1,3.596782312E-2,-1.510909081E0,-6.988646090E-2
4.022067499E-1,5.493069440E-2,-1.437629700E0,-1.158711873E-2
4.122297498E-1,8.709981292E-2,-1.276111841E0,4.914972931E-2
4.222527498E-1,1.281934083E-1,-1.023083687E0,8.896031231E-2
4.322757500E-1,1.642046720E-1,-7.157274485E-1,8.063926548E-2
4.422987499E-1,1.752757877E-1,-3.701077700E-1,2.298136428E-2
4.523217499E-1,1.618278921E-1,2.277081460E-2,-6.033695862E-2
4.623447498E-1,1.282277107E-1,4.320097566E-1,-1.366507709E-1
4.723677500E-1,8.509328216E-2,7.942289710E-1,-1.850420088E-1
4.823907500E-1,3.326224536E-2,1.040344477E0,-2.014028728E-1
4.924137499E-1,2.300600056E-3,1.152283549E0,-1.713895798E-1
5.024367499E-1,-1.306884177E-2,1.130534172E0,-1.130684093E-1
5.124597498E-1,-5.160238594E-2,9.969010353E-1,-4.838315770E-2
5.224827500E-1,-9.824315459E-2,7.906265855E-1,-3.353563137E-3
5.325057500E-1,-1.075439751E-1,5.580117106E-1,-5.191606469E-4
5.425287499E-1,-9.652975202E-2,2.778745890E-1,-2.627452090E-2
5.525527499E-1,-8.524007350E-2,-1.006846949E-1,-4.774332792E-2
5.625757498E-1,-7.005448639E-2,-5.039356947E-1,-3.613328934E-2
5.725987500E-1,-6.995754689E-2,-8.502984643E-1,7.769452408E-3
5.826217500E-1,-8.280518651E-2,-1.065704346E0,6.649795175E-2
5.926447499E-1,-1.081169248E-1,-1.078323960E0,1.157757565E-1
6.026677499E-1,-1.840849668E-1,-9.313753843E-1,9.482485801E-2
6.126907498E-1,-2.792695463E-1,-7.587721348E-1,-1.307071745E-2
6.227137500E-1,-3.660872281E-1,-6.472634673E-1,-1.631946266E-1
6.327367499E-1,-4.382298589E-1,-5.896875262E-1,-2.709969878E-1
6.427597499E-1,-5.033512115E-1,-5.364600420E-1,-2.889234722E-1
6.527827499E-1,-5.711017847E-1,-4.466521442E-1,-2.305887789E-1
6.628057498E-1,-6.481068134E-1,-2.733276784E-1,-1.225609928E-1
6.728287500E-1,-7.150940895E-1,-3.177921474E-2,-8.623767644E-3
6.828517499E-1,-7.400492430E-1,2.333788425E-1,7.796517760E-2
6.928747499E-1,-7.185623050E-1,4.764586091E-1,1.646033973E-1
7.028977498E-1,-6.754218340E-1,6.654765606E-1,2.676905096E-1
7.129217498E-1,-6.061239839E-1,7.967343926E-1,3.834213912E-1
7.229447500E-1,-5.429234505E-1,8.687141538E-1,5.008893609E-1
7.329677499E-1,-4.616229832E-1,8.266753554E-1,5.981573462E-1
7.429907499E-1,-3.843657970E-1,7.047506571E-1,6.508637071E-1
7.530137498E-1,-3.731376529E-1,5.725529194E-1,6.592078805E-1
7.630367498E-1,-4.050070643E-1,4.500325620E-1,6.243720651E-1
7.730597500E-1,-4.373524785E-1,3.316007257E-1,5.482237339E-1
7.830827499E-1,-3.904283047E-1,2.560845613E-1,4.560777843E-1
7.931057499E-1,-3.409065604E-1,2.598617375E-1,3.837705553E-1
8.031287498E-1,-2.630857825E-1,2.514379919E-1,3.578079343E-1
8.131515000E-1,-1.573678851E-1,2.103738934E-1,3.515553772E-1
8.231744999E-1,3.179488704E-4,1.024218425E-1,3.136247098E-1
8.331974999E-1,1.372281313E-1,-5.347232334E-3,1.833966672E-1
8.432204998E-1,2.402779907E-1,-5.486319587E-2,1.272986829E-2
8.532435000E-1,2.955748141E-1,-5.137498677E-2,-9.131743759E-2
8.632664999E-1,2.718324363E-1,-3.496918082E-2,-7.515612245E-2
8.732894999E-1,2.424945086E-1,-8.996532112E-2,6.087441742E-2
8.833134999E-1,2.198278457E-1,-2.042878121E-1,2.703871131E-1
8.933364998E-1,2.027484626E-1,-3.783831894E-1,4.498652518E-1
9.033595000E-1,2.231976092E-1,-5.734454393E-1,4.629473090E-1
9.133824999E-1,1.887522936E-1,-6.310442686E-1,3.197280765E-1
9.234054999E-1,1.989970207E-1,-4.157393873E-1,1.568553448E-1
9.334284998E-1,2.291570604E-1,3.091930412E-2,5.321790278E-2
9.434514998E-1,2.785032690E-1,4.137016833E-1,4.168228433E-2
9.534745000E-1,2.710080445E-1,4.889157414E-1,6.623876095E-2
9.634974999E-1,2.231263369E-1,2.120588273E-1,7.854089141E-2
9.735204999E-1,2.139046192E-1,-2.095185071E-1,8.197291195E-2
9.835434998E-1,2.728816867E-1,-5.746383071E-1,1.263160855E-1
9.935664998E-1,3.676119149E-1,-8.376976848E-1,2.672878206E-1
1.003589500E0,4.265935421E-1,-9.619206786E-1,4.705469608E-1
1.013612500E0,4.426212311E-1,-9.632205367E-1,6.594676375E-1
1.023635500E0,4.601673186E-1,-7.926412225E-1,7.612962127E-1
1.033658500E0,5.460055470E-1,-4.376713932E-1,7.256998420E-1
1.043681500E0,8.005979657E-1,9.523551166E-2,5.431954265E-1
1.053705500E0,1.096655846E0,6.351208091E-1,2.406283915E-1
1.063728500E0,1.140339971E0,9.652681351E-1,-2.166914642E-1
1.073751500E0,1.088136673E0,1.224744916E0,-6.730379462E-1
1.083774500E0,7.973555326E-1,1.443170905E0,-9.220340252E-1
1.093797500E0,3.376990557E-1,1.840626955E0,-8.272438645E-1
1.103820500E0,-5.246457085E-2,2.246256351E0,-3.796350062E-1
1.113843500E0,-3.030003905E-1,2.401811600E0,1.715349555E-1
1.123866500E0,-3.734312952E-1,2.192288399E0,5.628439784E-1
1.133889500E0,-2.745366693E-1,1.644340754E0,7.027888298E-1
1.143912500E0,-7.467907667E-2,7.673068047E-1,6.526035070E-1
1.153935500E0,9.242415428E-2,-2.367954552E-1,4.927999973E-1
1.163958500E0,1.793501377E-1,-9.704360366E-1,3.133036792E-1
1.173981500E0,2.531948090E-1,-1.275496364E0,2.148551345E-1
1.184004500E0,3.069502115E-1,-1.354791164E0,2.283080816E-1
1.194027500E0,3.849329054E-1,-1.406232357E0,3.190289438E-1
1.204050500E0,3.519493937E-1,-1.533153772E0,3.899471760E-1
1.214074500E0,3.290587068E-1,-1.484017372E0,3.681041896E-1
1.224097500E0,3.607802987E-1,-1.227692485E0,3.249570429E-1
1.234120500E0,3.449030817E-1,-8.421092629E-1,3.020586669E-1
1.244143500E0,2.967823148E-1,-3.425802886E-1,3.058195114E-1
1.254166500E0,2.716444433E-1,1.052086875E-1,3.239031732E-1
1.264189500E0,2.276485115E-1,3.213408887E-1,3.376232088E-1
1.274212500E0,2.831360102E-1,3.869707584E-1,3.820953369E-1
1.284235500E0,3.340067267E-1,3.349429369E-1,4.047867358E-1
1.294258500E0,2.907255590E-1,3.413395882E-1,3.656475842E-1
1.304281500E0,2.492028475E-1,4.524165094E-1,3.148255944E-1
1.314304500E0,2.310685813E-1,5.578393340E-1,3.238473237E-1
1.324327500E0,2.886677980E-1,5.103456378E-1,4.337172210E-1
1.334350500E0,2.032567412E-1,2.877839804E-1,5.494201183E-1
1.344373500E0,1.466926038E-1,1.110878065E-1,6.151269078E-1
1.354396500E0,2.454790771E-1,-1.344825476E-1,6.564754248E-1
1.364419500E0,3.534923494E-1,-2.983405292E-1,6.436684728E-1
1.374442500E0,3.303878307E-1,-3.198948205E-1,6.008168459E-1
1.384466500E0,2.190020382E-1,-3.235943317E-1,5.177766085E-1
1.394489500E0,1.349135190E-1,-2.282369137E-1,4.501696527E-1
1.404512500E0,1.303127557E-1,-9.662399441E-2,4.814636409E-1
1.414535500E0,1.173112020E-1,8.650641143E-2,5.332666636E-1
1.424558500E0,1.597159505E-1,2.973734438E-1,5.219710469E-1
1.434581500E0,1.816516072E-1,3.385794759E-1,4.968763888E-1
1.444604500E0,1.397729516E-1,2.092044204E-1,5.084116459E-1
1.454627500E0,1.653454304E-1,5.935189314E-3,5.901075602E-1
1.464650500E0,1.331009716E-1,-1.186087132E-1,6.782559156E-1
1.474673500E0,1.739868969E-1,-1.030225605E-1,7.280865908E-1
1.484696500E0,2.111882120E-1,-2.286620289E-1,6.721474528E-1
1.494719500E0,1.494750530E-1,2.395850606E-2,6.579842567E-1
1.504742500E0,5.978916585E-2,3.290810287E-1,7.325467467E-1
1.514765500E0,4.821986333E-2,1.075752676E-1,7.050357461E-1
1.524788500E0,5.990331993E-2,-2.486429960E-1,5.957288146E-1
1.534811500E0,9.040903300E-2,-4.576497376E-1,5.241307616E-1
1.544835500E0,2.723661996E-2,-4.100479484E-1,4.734850228E-1
1.554858500E0,1.109120622E-2,-1.371820420E-1,4.119274020E-1
1.564881500E0,-2.340079658E-2,5.602392182E-2,3.888799250E-1
1.574904500E0,-9.193671495E-2,1.875398755E-1,4.553361833E-1
1.584927500E0,-1.123639271E-1,2.117366344E-1,5.596947670E-1
1.594950500E0,-1.669496745E-1,1.991952658E-1,5.997121930E-1
1.604973500E0,-1.726364195E-1,7.636740059E-2,6.127976775E-1
1.614996500E0,-1.342187226E-1,-2.448172867E-1,5.976299047E-1
1.625019500E0,-9.690187126E-2,-5.548007488E-1,4.966610372E-1
1.635042500E0,-3.355086595E-2,-7.583221793E-1,3.684823215E-1
1.645065500E0,1.838400587E-2,-8.898326755E-1,2.821888328E-1
1.655088500E0,-4.489617422E-3,-7.988523841E-1,2.671427727E-1
1.665111500E0,-6.845821440E-2,-4.240276814E-1,3.267776072E-1
1.675134500E0,-9.706882387E-2,1.450921781E-2,3.761680722E-1
1.685157500E0,-1.236848980E-1,3.049143851E-1,3.588064313E-1
1.695180500E0,-1.432828456E-1,4.153098464E-1,3.182339966E-1
1.705203500E0,-9.908790886E-2,3.551083803E-1,2.926216424E-1
1.715226500E0,-1.312181354E-1,1.847142726E-1,2.589728534E-1
1.725250500E0,-1.556347162E-1,6.928336620E-2,2.499766946E-1
1.735273500E0,-1.640740037E-1,-8.194122463E-3,2.694984674E-1
1.745296500E0,-1.928456426E-1,-4.630771279E-2,2.873715162E-1
1.755319500E0,-1.545922756E-1,-5.968210846E-2,3.197062910E-1
1.765342500E0,-9.646826982E-2,3.524777293E-2,2.806131840E-1
1.775365500E0,-8.876107633E-2,2.230704129E-1,1.534645408E-1
1.785388500E0,-9.519319981E-2,3.921964467E-1,3.767016530E-2
1.795411500E0,-5.494457856E-2,3.630183041E-1,1.971539855E-2
1.805434500E0,-6.865087152E-2,-3.797081485E-2,9.470654279E-2
1.815457500E0,-1.032064557E-1,-5.142886043E-1,1.689594686E-1
1.825480500E0,-9.909915924E-2,-8.143464923E-1,2.284735292E-1
1.835503500E0,-9.008409083E-2,-9.399654269E-1,2.957106233E-1
1.845526500E0,-1.120254248E-1,-9.665385485E-1,3.258090019E-1
1.855549500E0,-1.932989806E-1,-9.180613160E-1,2.289386392E-1
1.865572500E0,-2.033239752E-1,-8.039547205E-1,3.405937925E-2
1.875595500E0,-1.939392537E-1,-7.308046222E-1,-1.259089857E-1
1.885618500E0,-1.792320460E-1,-6.711139083E-1,-2.023530155E-1
1.895642500E0,-1.364467740E-1,-6.177574992E-1,-1.984706670E-1
1.905665500E0,-7.471146435E-2,-5.358294845E-1,-1.659203619E-1
1.915688500E0,-9.000889957E-3,-4.590383470E-1,-1.545992643E-1
1.925711500E0,1.240397245E-2,-3.735096455E-1,-1.655021906E-1
1.935734500E0,-6.988633424E-3,-2.567638755E-1,-1.555329114E-1
1.945757500E0,-3.511741757E-2,-2.259181887E-1,-1.251226664E-1
1.955780500E0,-5.231105164E-2,-3.423116505E-1,-9.777680784E-2
1.965803500E0,-7.092488557E-2,-5.774163008E-1,-9.543529898E-2
1.975826500E0,-1.341557950E-1,-8.617425561E-1,-1.630441695E-1
1.985849500E0,-1.975129098E-1,-1.045507908E0,-2.950068712E-1
1.995872500E0,-1.996940374E-1,-1.121511340E0,-4.136040807E-1
2.005895500E0,-1.776719242E-1,-1.166208148E0,-4.562835693E-1
2.015918500E0,-1.831170321E-1,-1.269952059E0,-4.265491068E-1
2.025941500E0,-1.813238859E-1,-1.260020375E0,-3.385745883E-1
2.035964500E0,-1.310218424E-1,-1.065861583E0,-2.312127054E-1
2.045987500E0,-8.118059486E-2,-7.377387285E-1,-1.487152427E-1
2.056010500E0,-8.819136769E-2,-3.447874486E-1,-1.402093619E-1
2.066034500E0,-1.188380420E-1,6.780441105E-2,-2.565344572E-1
2.076057500E0,-1.437828094E-1,5.135744214E-1,-4.356565475E-1
2.086080500E0,-1.785669178E-1,8.533384800E-1,-5.337919593E-1
2.096103500E0,-1.837070733E-1,8.661562800E-1,-4.912663996E-1
2.106126500E0,-1.355004162E-1,5.852838755E-1,-3.357227445E-1
2.116149500E0,-8.965676278E-2,1.480154544E-1,-1.441264153E-1
2.126172500E0,-3.072024137E-2,-2.785929441E-1,4.488700535E-3
2.136195500E0,2.960142307E-2,-6.064952016E-1,1.107980981E-1
2.146218500E0,6.642429531E-2,-8.670281172E-1,1.972809881E-1
2.156241500E0,7.425505668E-2,-1.039694190E0,2.426183820E-1
2.166264500E0,1.026491970E-1,-9.788282514E-1,2.404735982E-1
2.176287500E0,1.167746037E-1,-6.356509328E-1,2.035747021E-1
2.186310500E0,9.780914336E-2,-6.055856869E-2,1.535898298E-1
2.196333500E0,5.427577719E-2,5.826262832E-1,9.342608601E-2
2.206356500E0,-1.614313386E-2,1.145684600E0,4.588503391E-3
2.216379500E0,-6.339772791E-2,1.392465115E0,-6.828596443E-2
2.226402500E0,-5.385814980E-2,1.222466350E0,-9.234502912E-2
2.236425500E0,-2.560973167E-2,8.029039502E-1,-1.017800793E-1
2.246449500E0,-3.274458274E-2,2.887631953E-1,-1.041114777E-1
2.256472500E0,-7.629126310E-2,-1.914705336E-1,-7.681088150E-2
2.266495500E0,-1.216200739E-1,-4.945241511E-1,-2.330152690E-2
2.276518500E0,-1.453096867E-1,-6.218147278E-1,2.121933550E-2
2.286541500E0,-1.391127110E-1,-6.337679625E-1,8.116917312E-2
2.296564500E0,-7.098799199E-2,-5.839932561E-1,1.385933161E-1
2.306587500E0,2.285399660E-2,-5.559826493E-1,1.591203660E-1
2.316610500E0,6.836608797E-2,-4.946505427E-1,1.146980375E-1
2.326633500E0,4.895351455E-2,-3.270703554E-1,2.750069834E-3
2.336656500E0,5.130134523E-4,-4.842036590E-2,-1.140029132E-1
2.346679500E0,-3.262550756E-2,2.740951180E-1,-1.640800536E-1
2.356702500E0,-5.698117986E-2,4.956616163E-1,-1.268530637E-1
2.366725500E0,-7.415698469E-2,5.230466723E-1,-3.761734068E-2
2.376748500E0,-4.700845480E-2,3.818689883E-1,4.808903858E-2
2.386771500E0,-1.784041151E-2,1.295284331E-1,7.115608454E-2
2.396794500E0,-8.713490330E-3,-7.552326471E-2,4.247304052E-2
2.406817500E0,-2.812395617E-2,-1.687403917E-1,7.376512978E-3
2.416840500E0,-6.495095044E-2,-1.846908480E-1,3.499242663E-2
2.426864500E0,-1.130492762E-1,-2.105403543E-1,1.144677326E-1
2.436887500E0,-1.352730840E-1,-3.145969808E-1,1.759228408E-1
2.446910500E0,-1.070212871E-1,-4.249372184E-1,1.829377264E-1
2.456933500E0,-3.105382249E-2,-4.306984246E-1,1.802455336E-1
2.466956500E0,3.791132243E-3,-3.652601838E-1,1.736199409E-1
2.476979500E0,-6.087863352E-3,-2.085693777E-1,1.500192732E-1
2.487002500E0,-1.956969686E-2,1.651509106E-2,1.329329610E-1
2.497025500E0,-1.841015555E-2,2.221087366E-1,1.267653406E-1
2.507048500E0,9.425271302E-3,3.463355005E-1,1.177529469E-1
2.517071500E0,4.771087691E-2,3.733428717E-1,6.508201361E-2
2.527094500E0,1.040961519E-1,3.671928942E-1,-2.997958660E-2
2.537117500E0,1.195715144E-1,2.447687238E-1,-1.089977100E-1
2.547140500E0,1.032131687E-1,2.376324870E-2,-1.665347070E-1
2.557163500E0,5.544375163E-4,-2.396862358E-1,-1.840284765E-1
2.567186500E0,-1.771395355E-1,-4.673160613E-1,-1.237578839E-1
2.577209500E0,-2.756099105E-1,-6.881808043E-1,3.717800602E-2
2.587232500E0,-3.339053392E-1,-1.036246419E0,2.117445618E-1
2.597255500E0,-2.893080413E-1,-1.683522820E0,3.857637644E-1
2.607278500E0,-2.297336608E-1,-2.617911339E0,5.133057833E-1
2.617302500E0,-1.928342432E-1,-3.395046234E0,5.197956562E-1
2.627325500E0,-1.829296350E-2,-3.617433071E0,3.963692784E-1
2.637348500E0,3.684840500E-1,-3.120329380E0,1.409771740E-1
2.647371500E0,8.230147958E-1,-2.111312866E0,-2.889582813E-1
2.657394500E0,1.222512364E0,-1.177508593E0,-9.409741759E-1
2.667417500E0,1.379542112E0,-9.240389466E-1,-1.749151587E0
2.677440500E0,1.385853052E0,-1.635619879E0,-2.375882864E0
2.687463500E0,1.659089565E0,-2.604639530E0,-2.576878548E0
2.697486500E0,2.059439898E0,-2.724477053E0,-2.459183216E0
2.707509500E0,2.305606604E0,-1.760268688E0,-2.510369301E0
2.717532500E0,2.703025103E0,-6.312518716E-1,-2.849646807E0
2.727555500E0,3.491989613E0,-3.971027434E-1,-3.426192284E0
2.737578500E0,4.492949963E0,-9.166052938E-1,-4.000431538E0
2.747601500E0,5.360450268E0,-5.239429474E-1,-4.242534637E0
2.757624500E0,5.682773113E0,5.168305635E-1,-4.181385994E0
2.767647500E0,5.613144875E0,1.383075953E0,-3.966952324E0
2.777670500E0,5.523407459E0,2.777783155E0,-3.528683424E0
2.787694500E0,5.980751514E0,4.465575218E0,-2.813901424E0
2.797717500E0,6.638348579E0,5.720708847E0,-1.983649254E0
2.807740500E0,6.659724236E0,6.165137768E0,-1.324351668E0
2.817763750E0,6.058413029E0,5.872881889E0,-8.780577779E-1
2.827786750E0,5.895919323E0,5.508397579E0,-3.180384040E-1
2.837809750E0,5.823400021E0,5.097908497E0,4.645562470E-1
2.847832750E0,5.298855782E0,4.237978935E0,1.185975075E0
2.857855750E0,4.708019733E0,2.663739443E0,1.665886760E0
2.867878750E0,4.064770222E0,7.218647599E-1,1.964741349E0
2.877901750E0,3.729549408E0,-9.379705787E-1,2.139622211E0
2.887924750E0,3.360148191E0,-2.300347567E0,2.016405344E0
2.897947750E0,2.814883232E0,-3.081271410E0,1.444243550E0
2.907970750E0,2.227111578E0,-2.994815588E0,8.404058218E-1
2.917993750E0,1.848761916E0,-2.731531382E0,5.072939396E-1
2.928016750E0,1.591460347E0,-2.346403837E0,2.977196574E-1
2.938039750E0,1.249735475E0,-1.394320846E0,2.680464685E-1
2.948062750E0,9.757158160E-1,1.879139692E-1,3.238427341E-1
2.958085750E0,4.835697711E-1,1.720519781E0,2.958217561E-1
2.968109750E0,8.619862199E-1,2.622663498E0,4.115892351E-1
2.978132750E0,4.317892492E-1,2.024460316E0,7.993217707E-1
2.988155750E0,-1.078872681E0,-1.050337195E0,7.695097923E-1
2.998178750E0,-2.088868856E0,-6.286531925E0,9.387917519E-1
3.008201750E0,-2.503332376E0,-8.698428154E0,1.813382506E0
3.018224750E0,-2.944582224E0,-6.869908333E0,2.497573137E0
3.028247750E0,-2.593429565E0,-4.305367470E0,2.223323345E0
3.038270750E0,-1.602505445E0,-2.399766922E0,1.196701169E0
3.048293750E0,-6.285825968E-1,5.080027580E-1,2.084111422E-1
3.058316750E0,1.193952113E-1,4.140281677E0,-3.437004983E-1
3.068339750E0,-8.204646409E-2,6.070295811E0,-1.306882352E-1
3.078362750E0,-1.113770723E0,6.926696777E0,6.847913861E-1
3.088385750E0,-2.597724438E0,7.323923588E0,1.355014920E0
3.098408750E0,-3.306382179E0,6.534580708E0,1.483973145E0
3.108431750E0,-2.727637053E0,4.385106087E0,1.423622966E0
