"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.130674989E-2,3.189153278E-1,-4.805253518E-1,4.234252444E-1
2.132974984E-2,5.498359072E-1,-4.942991991E-1,1.024554389E0
3.135274979E-2,6.345287329E-1,-3.810895027E-1,1.236988996E0
4.137574998E-2,4.696992320E-1,-3.551306427E-3,9.317865586E-1
5.139974994E-2,-5.502229929E-4,3.669962512E-1,4.356210744E-1
6.142274989E-2,-6.746593434E-1,5.227130127E-1,2.379372382E-1
7.144574984E-2,-1.135085476E0,3.950283878E-1,3.144644272E-1
8.146874979E-2,-1.095471759E0,2.257878935E-1,4.768076921E-1
9.149174998E-2,-6.483141285E-1,1.171290851E-1,6.271910620E-1
1.015147499E-1,-4.428739607E-2,3.664815500E-2,7.204427496E-1
1.115377499E-1,5.162834144E-1,6.646895483E-2,6.253848571E-1
1.215607498E-1,7.522828853E-1,1.487131128E-1,3.382009068E-1
1.315837500E-1,5.749602234E-1,1.880148804E-1,1.775533345E-1
1.416067500E-1,2.061067504E-1,3.007968530E-2,1.943737274E-1
1.516297499E-1,-1.342169881E-1,-1.829649326E-1,3.512802511E-1
1.616527499E-1,-2.853979182E-1,-2.364497066E-1,4.020101094E-1
1.716757498E-1,-2.367297882E-1,-1.076954797E-1,3.875967228E-1
1.816987500E-1,2.442381978E-3,5.763191164E-2,3.556644934E-1
1.917217500E-1,2.736461842E-1,2.488304548E-1,2.453181785E-1
2.017447499E-1,4.821497083E-1,3.131879801E-1,1.457295710E-1
2.117687499E-1,4.589292455E-1,2.430763561E-1,1.115479177E-1
2.217917498E-1,1.749089313E-1,1.030738404E-1,4.348983586E-2
2.318147500E-1,-2.285834473E-1,-2.608150542E-2,-1.070552096E-1
2.418377500E-1,-3.787446231E-1,-1.983977813E-1,-3.252993178E-1
2.518607499E-1,-3.718817461E-1,-4.623570295E-1,-4.256243822E-1
2.618837499E-1,-4.733724529E-1,-5.689413920E-1,-4.187761232E-1
2.719067498E-1,-7.243881583E-1,-5.203612626E-1,-3.526496691E-1
2.819297500E-1,-1.040558803E0,-5.214465058E-1,-1.258069378E-1
2.919527499E-1,-1.330305296E0,-5.682657462E-1,2.096501631E-1
3.019757499E-1,-1.278503058E0,-6.890617664E-1,3.436867645E-1
3.119987499E-1,-1.266526206E0,-4.406796469E-1,4.055862665E-1
3.220217498E-1,-1.344083675E0,1.942012346E-1,6.228810793E-1
3.320447500E-1,-1.017040717E0,3.611364640E-1,3.209831956E-1
3.420677499E-1,-1.043292376E0,-3.533048496E-2,-9.062926984E-1
3.520907499E-1,-8.468990207E-1,2.351998642E-2,-8.305063516E-1
3.621137498E-1,-1.203527720E0,1.723361564E-1,-1.513007981E-1
3.721367498E-1,-9.867100400E-1,1.668709101E-1,6.751201040E-1
3.821597500E-1,-3.866898197E-1,7.365299016E-2,6.790582037E-1
3.921837499E-1,2.575154704E-1,8.038255066E-2,4.879337740E-1
4.022067499E-1,7.344278276E-1,1.669260201E-1,5.407423174E-1
4.122297498E-1,1.107948548E0,2.766475600E-1,8.949964625E-1
4.222527498E-1,1.351360534E0,4.165552045E-1,1.234146665E0
4.322757500E-1,1.715674229E0,5.353643408E-1,1.371148097E0
4.422987499E-1,2.225888819E0,4.747111729E-1,1.324937552E0
4.523217499E-1,2.704938918E0,2.683835439E-1,1.088261558E0
4.623447498E-1,2.993498425E0,3.474678665E-2,8.446273774E-1
4.723677500E-1,3.072508927E0,-1.356827389E-1,5.940174687E-1
