"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.130674989E-2,3.730047670E-1,-5.108896676E-1,-6.363701396E-1,-4.414658845E-1,1.361979023E2,1.514322605E2,-6.779216524E1,1.218974805E2
2.132974984E-2,3.721763339E-1,-5.104433062E-1,-6.373561493E-1,-4.412589382E-1,1.363001996E2,1.513112592E2,-6.765223979E1,1.220666638E2
3.135274979E-2,3.710309959E-1,-5.102287102E-1,-6.386828320E-1,-4.405530180E-1,1.364415690E2,1.513132873E2,-6.744441648E1,1.221302863E2
4.137574998E-2,3.695791976E-1,-5.103901221E-1,-6.401354758E-1,-4.394766797E-1,1.366206647E2,1.514363261E2,-6.718632322E1,1.220623521E2
5.139974994E-2,3.679224867E-1,-5.110567957E-1,-6.414695131E-1,-4.381448419E-1,1.368249028E2,1.516850136E2,-6.690502673E1,1.218354481E2
6.142274989E-2,3.661411132E-1,-5.122393572E-1,-6.426207069E-1,-4.365663529E-1,1.370443487E2,1.520613853E2,-6.661126013E1,1.214472176E2
7.144574984E-2,3.643489212E-1,-5.137966833E-1,-6.436457182E-1,-4.347218619E-1,1.372649606E2,1.525491425E2,-6.631111450E1,1.209332711E2
8.146874979E-2,3.626672409E-1,-5.155161693E-1,-6.446320598E-1,-4.326258359E-1,1.374718179E2,1.531147910E2,-6.601121982E1,1.203508613E2
9.149174998E-2,3.611182362E-1,-5.171397608E-1,-6.456838660E-1,-4.304096097E-1,1.376622267E2,1.536867989E2,-6.571350987E1,1.197863653E2
1.015147499E-1,3.596409866E-1,-5.184582986E-1,-6.468584829E-1,-4.282914804E-1,1.378437012E2,1.541808858E2,-6.541928751E1,1.193233897E2
1.115377499E-1,3.582519186E-1,-5.194119659E-1,-6.480382048E-1,-4.265130440E-1,1.380142418E2,1.545457791E2,-6.514764496E1,1.189964383E2
1.215607498E-1,3.570972083E-1,-5.200656108E-1,-6.490169916E-1,-4.251944088E-1,1.381559354E2,1.547898841E2,-6.492885151E1,1.187825290E2
1.315837500E-1,3.562350866E-1,-5.205255277E-1,-6.497222664E-1,-4.242766690E-1,1.382616820E2,1.549524571E2,-6.476965305E1,1.186387403E2
1.416067500E-1,3.556575483E-1,-5.208312346E-1,-6.502073187E-1,-4.236426540E-1,1.383325013E2,1.550635526E2,-6.466146694E1,1.185422863E2
1.516297499E-1,3.553163617E-1,-5.210249626E-1,-6.505402577E-1,-4.231793416E-1,1.383743306E2,1.551475117E2,-6.459117246E1,1.184741802E2
1.616527499E-1,3.551957400E-1,-5.211234809E-1,-6.507597796E-1,-4.228215122E-1,1.383891174E2,1.552181674E2,-6.455240101E1,1.184248363E2
1.716757498E-1,3.552308352E-1,-5.211308408E-1,-6.509456209E-1,-4.224967839E-1,1.383848152E2,1.552832345E2,-6.453180483E1,1.183915563E2
1.816987500E-1,3.553284657E-1,-5.210149844E-1,-6.511477940E-1,-4.222460760E-1,1.383728468E2,1.553202891E2,-6.452003363E1,1.183937680E2
1.917217500E-1,3.552801865E-1,-5.207980018E-1,-6.514491545E-1,-4.220892687E-1,1.383787653E2,1.553079975E2,-6.449403370E1,1.184430594E2
2.017447499E-1,3.550449860E-1,-5.204765162E-1,-6.518505506E-1,-4.220639173E-1,1.384075970E2,1.552348697E2,-6.445159484E1,1.185466444E2
2.117687499E-1,3.547064362E-1,-5.201217135E-1,-6.523188126E-1,-4.220625950E-1,1.384490928E2,1.551415806E2,-6.439717257E1,1.186689173E2
2.217917498E-1,3.543758890E-1,-5.198118710E-1,-6.528131741E-1,-4.219575967E-1,1.384896022E2,1.550762314E2,-6.433736450E1,1.187687392E2
2.318147500E-1,3.540906813E-1,-5.194987199E-1,-6.533268598E-1,-4.217877027E-1,1.385245507E2,1.550273005E2,-6.427797455E1,1.188599780E2
2.418377500E-1,3.537661505E-1,-5.191140034E-1,-6.538777192E-1,-4.216800597E-1,1.385643129E2,1.549515064E2,-6.421591825E1,1.189785207E2
