"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.569662499E-2,3.922359037E-1,-1.300771594E-2,6.986162630E-1
2.571862494E-2,3.470199698E-1,4.879150629E-2,8.323344836E-1
3.574062500E-2,3.085037756E-1,-8.518457651E-2,9.400422424E-1
4.576262494E-2,2.739508241E-1,-1.771320426E-1,1.043835583E0
5.578462500E-2,2.499275386E-1,-1.556791931E-1,1.067710349E0
6.580662495E-2,3.302355373E-1,-9.105635047E-2,1.004497270E0
7.582862501E-2,4.355836523E-1,3.363084555E-2,8.738117078E-1
8.585162496E-2,4.924548411E-1,1.043283606E-1,7.055922836E-1
9.587362502E-2,3.955144376E-1,7.956598699E-2,5.490500414E-1
1.058956250E-1,2.854727626E-1,3.980725944E-2,3.825067216E-1
1.159176249E-1,1.118051952E-1,4.607138157E-2,1.962892753E-1
1.259396250E-1,5.026851296E-3,6.938890815E-3,3.076804876E-2
1.359616249E-1,-1.262905025E-1,-7.801179707E-2,-1.243679380E-1
1.459836250E-1,-2.745893401E-1,-1.283440447E-1,-2.497953916E-1
1.560066249E-1,-3.312541223E-1,-1.277318412E-1,-2.696829414E-1
1.660286250E-1,-3.750392425E-1,-1.077489817E-1,-2.403135467E-1
1.760506249E-1,-4.713072163E-1,-1.220711517E-1,-1.778266919E-1
1.860726250E-1,-5.172540522E-1,-1.887715101E-1,-1.295930099E-1
1.960946249E-1,-5.883105862E-1,-2.374519193E-1,-6.462284267E-2
2.061166250E-1,-6.609330046E-1,-2.132187188E-1,-4.612868428E-3
2.161386249E-1,-8.025958371E-1,-1.930160040E-1,1.202368802E-1
2.261606250E-1,-9.521465635E-1,-2.032275814E-1,2.211247391E-1
2.361836249E-1,-9.954750162E-1,-1.947409326E-1,2.640924186E-1
2.462056250E-1,-9.463958269E-1,-1.611960411E-1,3.046270716E-1
2.562276250E-1,-8.239791048E-1,-1.361611873E-1,2.879747862E-1
2.662496250E-1,-7.185467899E-1,-1.357688391E-1,2.744039834E-1
2.762716250E-1,-6.190692794E-1,-7.794806242E-2,2.946891439E-1
2.862936250E-1,-5.370919007E-1,2.210189044E-2,2.786274272E-1
2.963156250E-1,-4.324553919E-1,5.968545377E-2,2.134567004E-1
3.063386249E-1,-3.570467752E-1,6.158930719E-2,1.625256979E-1
3.163606250E-1,-3.086780226E-1,8.070970237E-2,1.390929812E-1
3.263826249E-1,-2.470191336E-1,1.436298358E-1,1.247070765E-1
3.364046250E-1,-9.994060993E-2,1.692722154E-1,7.778667927E-2
3.464266249E-1,1.163519901E-1,1.113859499E-1,4.009084940E-2
3.564486250E-1,2.866100460E-1,2.405369103E-2,1.021461797E-1
3.664706249E-1,4.617440951E-1,-1.059199727E-1,1.384462792E-1
3.764926250E-1,5.468538272E-1,-9.022429168E-2,1.059188032E-1
3.865156249E-1,5.071120566E-1,-3.234837574E-1,5.882825196E-2
3.965376250E-1,7.323614216E-1,-6.881354213E-2,4.093869567E-2
4.065596249E-1,7.426010656E-1,2.563776022E-1,1.208561003E-2
4.165816250E-1,5.452902818E-1,2.437938094E-1,4.419325590E-2
4.266036249E-1,4.180712414E-1,1.985474700E-1,8.592191041E-2
4.366256250E-1,3.866851419E-1,1.588881451E-1,6.311426103E-2
4.466476250E-1,4.080859512E-1,1.622099483E-1,4.732911766E-2
4.566706250E-1,4.420015562E-1,1.428626812E-1,4.505045772E-2
4.666926250E-1,4.420442408E-1,1.214858454E-1,5.755706728E-2
4.767146249E-1,3.390279955E-1,1.334948570E-1,5.723547041E-2
4.867366250E-1,2.190893233E-1,1.623263079E-1,4.930956960E-2
4.967586249E-1,1.543390113E-1,1.676484436E-1,3.396998405E-2
5.067806250E-1,1.139072692E-1,1.428135645E-1,3.197959185E-2
5.168026249E-1,9.385775149E-2,1.392789227E-1,4.954111934E-2
5.268246250E-1,1.004674441E-1,1.186861986E-1,5.448844850E-2
5.368476249E-1,1.508283430E-1,3.638488412E-2,7.197805524E-2
5.468696250E-1,1.648792022E-1,4.754137158E-2,8.100381732E-2
5.568916249E-1,1.537993133E-1,1.266927910E-1,1.006153786E-1
5.669136250E-1,1.943386441E-1,1.366886061E-1,1.189265192E-1
5.769356249E-1,2.632398945E-1,8.315617740E-2,1.487344551E-1
5.869576250E-1,3.070776397E-1,1.039652485E-1,1.461944246E-1
5.969796249E-1,3.386906111E-1,9.976928651E-2,1.492595351E-1
6.070016250E-1,4.112124574E-1,6.599635363E-2,1.698943591E-1
6.170246250E-1,4.302480680E-1,7.764283776E-2,1.826085448E-1
6.270466250E-1,3.710052484E-1,1.303888160E-1,1.896713966E-1
6.370686250E-1,3.069799912E-1,1.507160765E-1,2.002735680E-1
6.470906250E-1,2.435224986E-1,1.388631856E-1,1.943222719E-1
6.571126250E-1,1.955975497E-1,1.388830662E-1,2.015125930E-1
6.671346249E-1,1.651668853E-1,9.860978365E-2,2.123685336E-1
6.771566250E-1,1.228441536E-1,6.776864469E-2,2.086076045E-1
6.871786249E-1,6.938072205E-2,5.286584616E-2,1.961851948E-1
6.972016250E-1,2.765557587E-2,-7.915375829E-3,1.806421262E-1
7.072236249E-1,3.598376513E-3,-5.139585614E-2,1.863876003E-1
7.172456250E-1,-2.837946117E-2,-1.360003889E-2,1.793680179E-1
7.272676249E-1,-3.557036698E-2,3.842146933E-2,1.567264295E-1
7.372896250E-1,-2.522956610E-2,3.599545956E-2,1.659474885E-1
7.473116249E-1,-2.863907754E-2,8.981323242E-3,1.685547620E-1
7.573336250E-1,-6.567124844E-2,-2.505356491E-2,1.622690052E-1
7.673556249E-1,-8.207970500E-2,-7.098519802E-2,1.808783537E-1
7.773786250E-1,-8.608621716E-2,-8.810292184E-2,1.959220701E-1
7.874006249E-1,-9.063242733E-2,-9.596450329E-2,2.111324322E-1
7.974226250E-1,-1.266898674E-1,-5.860547304E-2,2.147068352E-1
