"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
6.671916693E-3,9.649989190E0,1.488974737E-1,-1.758308617E0
1.669391664E-2,9.653966466E0,1.501255899E-1,-1.736234355E0
2.671591670E-2,9.656766697E0,1.516788845E-1,-1.720458421E0
3.673791664E-2,9.657944326E0,1.534441132E-1,-1.713674774E0
4.675991670E-2,9.657804578E0,1.550252552E-1,-1.714323230E0
5.678191665E-2,9.656389552E0,1.553024132E-1,-1.722242699E0
6.680391671E-2,9.653468283E0,1.548102969E-1,-1.738579820E0
7.682591665E-2,9.648956571E0,1.541144600E-1,-1.763508400E0
8.684791671E-2,9.643156718E0,1.522807823E-1,-1.795121225E0
9.686991666E-2,9.636393244E0,1.491200790E-1,-1.831333324E0
1.068919167E-1,9.629198245E0,1.467298560E-1,-1.868985300E0
1.169139167E-1,9.622122529E0,1.468943820E-1,-1.905067445E0
1.269359167E-1,9.615415188E0,1.488934080E-1,-1.938486329E0
1.369579167E-1,9.609038215E0,1.513749389E-1,-1.969659443E0
1.469799167E-1,9.602768830E0,1.549666916E-1,-1.999728896E0
1.570019167E-1,9.596384840E0,1.609627007E-1,-2.029681550E0
1.670239167E-1,9.590013129E0,1.695512372E-1,-2.058888246E0
1.770459167E-1,9.584273502E0,1.789993327E-1,-2.084650932E0
1.870679166E-1,9.580088650E0,1.867682540E-1,-2.103126087E0
1.970899167E-1,9.577844489E0,1.917968960E-1,-2.112871788E0
2.071119166E-1,9.576991965E0,1.948353286E-1,-2.116455400E0
2.171339167E-1,9.577049852E0,1.969297281E-1,-2.115992447E0
2.271559166E-1,9.577785432E0,1.979386104E-1,-2.112569925E0
2.371779167E-1,9.579056032E0,1.986405686E-1,-2.106741713E0
2.471999166E-1,9.580461702E0,2.000187939E-1,-2.100202333E0
2.572219167E-1,9.581421815E0,2.018025236E-1,-2.095650568E0
2.672439166E-1,9.581401350E0,2.030044918E-1,-2.095631565E0
2.772659167E-1,9.580002696E0,2.026293564E-1,-2.102043768E0
2.872879166E-1,9.577293681E0,2.007289017E-1,-2.114534882E0
2.973099167E-1,9.573259687E0,1.979702950E-1,-2.132984748E0
3.073319166E-1,9.568160330E0,1.945147915E-1,-2.156062100E0
3.173539167E-1,9.562167519E0,1.905143276E-1,-2.182831530E0
3.273769167E-1,9.555175418E0,1.856762317E-1,-2.213647965E0
3.373989167E-1,9.547769335E0,1.796922643E-1,-2.245861299E0
3.474209167E-1,9.540186666E0,1.698924039E-1,-2.278610969E0
3.574429167E-1,9.531877772E0,1.547454659E-1,-2.314189230E0
3.674649167E-1,9.522839146E0,1.369741513E-1,-2.352212358E0
3.774869167E-1,9.512969046E0,1.170280196E-1,-2.392866733E0
3.875089167E-1,9.502194967E0,9.588809662E-2,-2.436218574E0
3.975309167E-1,9.491041403E0,7.563678141E-2,-2.480026937E0
4.075529167E-1,9.479606588E0,5.388974387E-2,-2.523943912E0
4.175749166E-1,9.467630906E0,3.116114839E-2,-2.568875087E0
4.275969167E-1,9.455386251E0,1.030527562E-2,-2.613749835E0
4.376189166E-1,9.443981257E0,-6.830399840E-3,-2.654671574E0
4.476409167E-1,9.434112327E0,-1.612231302E-2,-2.689492913E0
4.576629166E-1,9.425725080E0,-1.437028050E-2,-2.718742440E0
4.676849167E-1,9.418437696E0,-4.299412844E-3,-2.743924643E0
4.777069166E-1,9.411773624E0,1.016005568E-2,-2.766680253E0
4.877289167E-1,9.404169905E0,3.682052224E-2,-2.792197794E0
4.977509166E-1,9.391911802E0,9.017381377E-2,-2.831949505E0
5.077729167E-1,9.377027130E0,1.356287252E-1,-2.879069292E0
5.177949166E-1,9.363213667E0,1.191903108E-1,-2.924403048E0
5.278169167E-1,9.354056343E0,5.416695214E-2,-2.955466965E0
5.378389166E-1,9.354222988E0,7.567837659E-3,-2.955433052E0
5.478609167E-1,9.362496799E0,-3.204848335E-3,-2.929122920E0
5.578829166E-1,9.372486182E0,3.280993758E-3,-2.896992762E0
5.679049167E-1,9.379430335E0,5.977864377E-3,-2.874435374E0
5.779269167E-1,9.383165537E0,3.210809112E-4,-2.862221125E0
5.879489167E-1,9.385843561E0,-7.533582340E-3,-2.853412002E0
5.979709167E-1,9.388649640E0,-1.451816366E-2,-2.844146797E0
6.079929167E-1,9.390872167E0,-2.241704166E-2,-2.836745976E0
6.180149167E-1,9.391748080E0,-3.301013620E-2,-2.833735829E0
6.280369167E-1,9.391621195E0,-4.513964146E-2,-2.833992814E0
