"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.979291660E-2,1.141780173E0,9.015852805E0,3.694161214E0
2.981391666E-2,1.149397048E0,9.014790950E0,3.694392471E0
3.983491659E-2,1.155863776E0,9.014504437E0,3.693073339E0
4.985591664E-2,1.160293700E0,9.014784518E0,3.690999332E0
5.987691670E-2,1.160667045E0,9.015543487E0,3.689026774E0
6.989891664E-2,1.157502239E0,9.016590139E0,3.687463813E0
7.991991669E-2,1.153025099E0,9.017584750E0,3.686433534E0
8.994091663E-2,1.148934387E0,9.018522059E0,3.685420211E0
9.996191668E-2,1.146687668E0,9.019479833E0,3.683774512E0
1.099829166E-1,1.146233777E0,9.020084435E0,3.682434331E0
1.200049167E-1,1.147801854E0,9.019979185E0,3.682205120E0
1.300259166E-1,1.149840267E0,9.019345347E0,3.683122840E0
1.400469167E-1,1.151629003E0,9.018788107E0,3.683925955E0
1.500679166E-1,1.154416371E0,9.018415639E0,3.683966009E0
1.600899167E-1,1.158938608E0,9.017811037E0,3.684027404E0
1.701109166E-1,1.165198052E0,9.017070195E0,3.683866021E0
1.801319167E-1,1.174984756E0,9.015949284E0,3.683499986E0
1.901529166E-1,1.188622802E0,9.014441872E0,3.682815569E0
2.001739166E-1,1.207143273E0,9.011924645E0,3.682950055E0
2.101959167E-1,1.233808696E0,9.007642729E0,3.684586983E0
2.202169166E-1,1.272513316E0,9.001857494E0,3.685562299E0
2.302379167E-1,1.328388140E0,8.994221615E0,3.684488457E0
2.402589166E-1,1.402977269E0,8.984017054E0,3.681739389E0
2.502809167E-1,1.492967672E0,8.971988747E0,3.675672026E0
2.603019166E-1,1.597014051E0,8.958862917E0,3.663935494E0
2.703229167E-1,1.713891998E0,8.943896969E0,3.647655092E0
2.803439166E-1,1.837224833E0,8.926025539E0,3.631359194E0
2.903649167E-1,1.970201188E0,8.905262076E0,3.612578230E0
3.003869166E-1,2.122246044E0,8.880167581E0,3.588145055E0
3.104079167E-1,2.295994741E0,8.849350415E0,3.557176739E0
3.204289166E-1,2.482416694E0,8.813693510E0,3.520299519E0
3.304499167E-1,2.669068589E0,8.776133920E0,3.477303481E0
3.404709166E-1,2.847831420E0,8.739093563E0,3.428439761E0
3.504929167E-1,3.017506801E0,8.702457833E0,3.376091394E0
3.605139167E-1,3.178994618E0,8.665215747E0,3.323273495E0
3.705349166E-1,3.327820289E0,8.628232693E0,3.273423935E0
3.805559167E-1,3.455481087E0,8.594719961E0,3.229012870E0
